experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 0 	B 	2 	B 	1.0 	0 	0 	0.0 	QPXJOHASWGBDEKRYLFZNIUCTVM	FKQWOYPNAJCLHXDRBSZGMEVITU	-99	-99	-99	-99	-99	-99	0
main	1 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 90 	M 	0 	J 	0.0 	1 	0 	1.0 	LUBTPKJNIHVGQEFSMZAXOYDRWC	RECFOHWDQJMITSUGBKVPNXZYLA	-99	-99	-99	-99	-99	-99	0
main	2 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 0 	K 	0 	Q 	0.0 	1 	0 	1.0 	YLJZABWOEPCVUSNKRDHTFXQIMG	YRHIMTEUCDQKLOSFZVAPGNWBXJ	-99	-99	-99	-99	-99	-99	0
main	3 	charlieConf 	 oneCued 	 0.0 	 right 	 8 	 135 	U 	0 	G 	0.0 	3 	0 	1.0 	HYUOZJTDCQWKNGXVSMFBARIEPL	OAKLHZCBFYPVESNTQIGRMWJUXD	MBPGIJLODQXNUATRKCESHVFWYZ	ANYSJEOBGURXLMDPTQVHWIKZFC	WVDPUFISBQAOTCHEXLGRZYMJNK	PIYEAWNUMBXLDGHZJOVQRSFKCT	EZMGTVPQJAOLSFDINKWYURHXBC	LRAXJKCUBQDWIZGVTMHFSPONYE	1
main	4 	charlieConf 	 oneCued 	 0.0 	 right 	 8 	 0 	C 	0 	X 	0.0 	4 	0 	1.0 	PCVJKRBXONHATUEZLDSFYMQWGI	NWSVFQRMOGLXKDJUTZEHYPICBA	NIBZFGMHEQJUDYVCWOKLXRTSPA	USJQNVBTYOFPXHAEMWKLZGRDIC	WIEUTADKZLXCJNFGPQMOSYRBHV	FDECJNOPXRTUKZBYVHQSWLGMIA	YVRAXWUGPCLZNEFHKIJOBQSMTD	RETQGCVLFANSHMBIJKWOUPDZYX	0
main	5 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 270 	E 	2 	W 	0.0 	1 	0 	-1.0 	FGIRQEZKNJCWXMYSHVUDAPTLOB	XODPUEWZBTFAHMCRINVLKQSYGJ	-99	-99	-99	-99	-99	-99	0
main	6 	charlieConf 	 oneCued 	 0.0 	 right 	 8 	 135 	E 	0 	Y 	0.0 	7 	0 	1.0 	MBOLHYDGIKZQUSCATEXVRJPFWN	YDLWQRKMZCHPFJTEVXNOBUISAG	QYBRNXDLAPGKEJWFIHZCTOMVUS	RUJSALIZNVDMTGWKHEBPYQCFXO	XTUEVMNQPCGABRIJDZHFLKOSWY	NQBVTSAGMOZCHXJILEKWUYFPDR	VCPMHNXJTKZLSDOFQWBYGEIRUA	UVLKIMQYESWGJPHFDRZTBXCAON	0
main	7 	charlieConf 	 oneCued 	 0.0 	 right 	 8 	 0 	C 	0 	V 	0.0 	1 	0 	2.0 	QAPEKCDJIYWGHXRTOUSNBZMFVL	ANJTZQVXCMLESWYOBIHUDFGRPK	HJXLIGBAUPTNQVZWCSYOMKEFRD	SHNVIMJFBDOTCRUYAQLEPWKXGZ	NIUAQCFZHMRGVOEJPDBSLKTYWX	EWKPXVYLQSGZHJNBAORIFDCTUM	IOLNKVUJBQZWEDMGCSXFTYARPH	AZQGYPMVLJRCUNDSIHBXOWFEKT	0
main	8 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 180 	P 	0 	P 	1.0 	1 	0 	0.0 	TNBIPDLGSAZQUHORMXFVKJCEWY	DWMABJPKYUTHINEQZRVLGOXSFC	-99	-99	-99	-99	-99	-99	0
main	9 	charlieConf 	 oneCued 	 0.0 	 right 	 2 	 45 	J 	2 	F 	0.0 	1 	0 	1.0 	MFIPUQEBAYJLKWHGZVSRDXTNOC	WYXNLDBIFJZOVRAUECHSPQTMGK	-99	-99	-99	-99	-99	-99	0
