"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	0	"AH "	" oneCued "	0	" right "	"W "	"L "	0	1	0	3	"DXOMGLAKFHJIUSYCQZVPTWERBN"	"YGVZHSLBNWIQJDCORKAXMFPTEU"	"XBGUWKRTLHMNPIEDAOSQCYZFJV"	"FQCKJMUDVPBXZROLGTWNSAHEYI"	"WJTPLOCNVKSAZGXFUYIEHBQRMD"	"KJUIXPGQHDNEWCOFLRZMTVBAYS"	0	6	9
"main"	1	"AH "	" oneCued "	0	" right "	"D "	"T "	0	3	0	6	"XMQETWCBFHDPIGVORJUANLYSZK"	"ZDXTWHAJECLRBKQPGUFMOSNIYV"	"YIVWNBOARDLHFQEJUZSKXMCGTP"	"XCIWMQVTBNOYJDUHFPGZEAKLSR"	"ZWFUBJODAMKGREVHIXLSQTCYPN"	"OIDTMHXYVQAPBNGRKCWLEFUJSZ"	0	7	13
"main"	2	"AH "	" oneCued "	0	" left "	"H "	"W "	0	4	0	5	"CGASNZPQIJHRKFTBYOXWUDVELM"	"JPBWZNEUMAVIXHYQGKRCFOLTSD"	"QSLCWBGUXYRPJDIEHZMAFTKOVN"	"ZYPJFERTBQDVGOISHUWMLANKXC"	"NZPCEMSVWGAXYHIRUJLFOBQDKT"	"YTVQWAEMULIBHNPDROKFCSZJGX"	0	8	13
"main"	3	"AH "	" oneCued "	0	" right "	"M "	"W "	0	1	0	4	"OBEPCIWALRVHGSTDMNYKUZXFQJ"	"NHOYACWBUXMGZIERTKSDPLJFVQ"	"NRFWUXLQPSGOHDAKMJZIBEYCTV"	"KTXWMLBHSQACJZYFUVOENDRGPI"	"JRASHGVYDEPQTIWMKXUBCOZLFN"	"CBYLGANOURIEXMKZFWQVDHTSPJ"	0	6	10
"main"	4	"AH "	" oneCued "	0	" right "	"K "	"L "	0	2	0	3	"NLUYOQXECIBWRJHTGDPKAZMFVS"	"IXUNTPMSZKWECFAHJRLBOVQGYD"	"UQGAVDHPLTWKEZICSBNRJOXFMY"	"RPIUBCFJOENLSHDYQKTAXVWZMG"	"FNRGZBAUXCWMVETHPLSKODQJYI"	"OTEUQXDCLIMPRBFAZSHKGVWYNJ"	0	8	11
"main"	5	"AH "	" oneCued "	0	" left "	"J "	"E "	0	4	0	4	"PJBMALZGSNWHRQCDXKTUFYIVEO"	"PFSWEYDQIGTJULZXNBVAOMCKHR"	"ALGPDQUSYZTVXKHNCJRFOBEWIM"	"FGELPUMJHTINVSYCWZKAXOBRDQ"	"CXAQWKENPZJHGFIBVMYDORSULT"	"XNAGPDVUKESCRQYIHJMOTZWFLB"	0	6	10
"main"	6	"AH "	" oneCued "	0	" right "	"W "	"U "	0	2	0	7	"AUWKOBDRJHCIQNXVYPETFLZSGM"	"TVYUXJOFDQMECHIBGPSWAZRLKN"	"SCODZKRIPUXFJTNBWVQGEYAMLH"	"HRCJUBDYSZVAGIFXLMKNEWOQPT"	"XSDLCTZHAWVKNBIUPOMEJFGYQR"	"DNAPMKTIQEULSGWRXFJVOCYZBH"	0	9	16
"main"	7	"AH "	" oneCued "	0	" left "	"Y "	"V "	0	5	0	3	"TWPFIJCSEZNGRAUVOMHBYLXQDK"	"WLVZXAQGKHTEUIBJFPYRSMCODN"	"RFAUQTLIBSMZPXYKCNDWGOJEHV"	"HCWXJYQKGOUADLFNREZBSPVTMI"	"CZNTYAWVBERQOIHFUGPXSMJDKL"	"SMWDOIKVELYARQCPHTBGXZNJUF"	0	7	10
"main"	8	"AH "	" oneCued "	0	" left "	"Y "	"H "	0	3	0	6	"EAQPFWNMDYRLGOZVCSJIHBUXTK"	"CKAIHSVTYWUDPFEZJGNBROLXMQ"	"HATSCLQXNKPRDFMEBWUVJYIGOZ"	"UOMPENFTKZHSDXWIYVJBCQAGRL"	"HGWNAIZYJURKBPVCOMTEDSQXFL"	"UOWILBXJYQMETAGZRDSKHNVFPC"	0	10	16
"main"	9	"AH "	" oneCued "	0	" left "	"P "	"W "	0	3	0	6	"DQEVKITWAPJBSRLUCXYHMGNZFO"	"ZBQNFPGAVJHRISMLTEKODXWCUY"	"NUDLXGFPZVTSKMEOIWYCRBQAJH"	"SXJHCLNDWATMQUPYBFKVOZRIEG"	"NBFPQMAVGZDJISEYUCXRLOTHKW"	"HRPLSAGTWVZOXDJUNMCYQFBKIE"	0	8	14
