"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"SH "	" oneCued "	0	" left "	"E "	"L "	0	2	0	-1	"DGJTKNSMQZCWXVPERAOFILUHYB"	"DQWKCTGIJLVNRSEBOAZXUYFMPH"	"DPNVRBUYELMZJGQWHTKFIXCSOA"	"HWVUFKNCZTJODBLAPSYQXERIGM"	"YLQORNSADUCPGEIJKFWVTMBHXZ"	"CQYNIKJHMFDVWUTLXGZBOREPSA"	0	9	8
"main"	21	"SH "	" oneCued "	0	" left "	"C "	"G "	0	3	0	2	"GCEVFYBNJRADXTSOLMZUIPWQKH"	"FWHBPLSDQORIKXAYNJUCTMEZVG"	"RPLXMNJAUBYVFDTWHZKOQEISCG"	"SZAOETJYGQCHWRDIXLBFPVNMUK"	"SJXYKMVRGHZAQFDNCOBWTPULIE"	"VKNQRWSBJHPGZCFTOAXUDIEYML"	0	8	10
"main"	22	"SH "	" oneCued "	0	" right "	"G "	"L "	0	0	0	4	"EUQHNRLBFSGCPAZTDIYMOKJVWX"	"YGURJTOBVSWHLCKPIQXAEFDMNZ"	"UJRGFONEVTDYWLPCAHZBQXISMK"	"BKHAJDXIUQMWOZVSCYFPGNLTER"	"SBIAJFODEVYGMWPRKZCTQNLUHX"	"FEUDHCAPGNTLBWMSZIVKJROYXQ"	0	6	10
"main"	23	"SH "	" oneCued "	0	" right "	"S "	"Z "	0	0	0	5	"HJPXDCEZWAOKSRMBYULQFGTNVI"	"EQVAGIRFUZPTHJWNKBXDCLOSYM"	"XVDKGBUYJNHSMAPCZRLEWITQFO"	"YLRWEKBSFTAJVNMZGUDQCIHOPX"	"OITYNGBFDSCPLWZEKUHMQXJRAV"	"UWCDZRPOMEHNGKBLJQFSIVXTAY"	0	7	12
"main"	24	"SH "	" oneCued "	0	" right "	"R "	"A "	0	3	0	18	"NQPXEDUFROWCYSGZKMAJBLVTHI"	"DPHIKYNQSOCUVXLWJBGERZFTAM"	"CSQAZMGKTLNYEPRWJVHUDXIBOF"	"OHJIFWALEUMNYBGZXQCKPTSDRV"	"OBXJQAUSCGEZFHPNWYRDLTIMVK"	"SITQEJAMPZWCDOUGRNXFYBVHLK"	0	6	24
"main"	25	"SH "	" oneCued "	0	" left "	"V "	"T "	0	2	0	4	"ZFLDKCSWXROMPYHGNJQIUETABV"	"UHLJZNXKWGIFYMESRCOADBTQPV"	"HEDJRMIWNTALKVOFYGSQBPXZUC"	"RAIWHTSJNCQGLVBEZKFMYOXDPU"	"ANWXJLDQFRZPTGVBYSCEHUIKOM"	"CBJQDLOMTVZSFRNXEIKPGWUYHA"	0	9	13
"main"	26	"SH "	" oneCued "	0	" left "	"W "	"A "	0	3	0	-1	"LIFVWRONGJEBDMAZYXQCTSUKHP"	"GIOAZVHEDYQPFTCMWKSNUXRLJB"	"SMAXTYHPLNCEVUDJQORFWIZGBK"	"ZSXRIYWAUMKJQLBCTEOPGFDNVH"	"EIFJOTYQZHNCPRMVXUBAGSLKDW"	"YESLZWRAQXMTNUFBPOJDKGVHIC"	0	7	6
"main"	27	"SH "	" oneCued "	0	" right "	"U "	"E "	0	4	0	6	"EPHGZOCMKTSBQUFLVXRIJNDWAY"	"OQCFSDWVAMNPUJXRLBZIKHTGYE"	"QHUEGJXLTWVKAZSPMIBRNFYDCO"	"WYRZELSOCDHIBXVQKJTMUGFAPN"	"RALGNZJDEXSMBTUIHQOPVKWCFY"	"QMVUFWJRECDNYKXTSLIBHAGOPZ"	0	8	14
"main"	28	"SH "	" oneCued "	0	" right "	"S "	"Y "	0	4	0	3	"JNGUPKMAXIRLBQOYFZDESVTWHC"	"TYZDFGSHWNEVQPXKJMRBOLACUI"	"EHBAGWNXFYSPQDOVZKITJCUMLR"	"JAOLQYVEKCZFUDHTNMBIPGWRSX"	"NBELPCQWXYJZSUAGMKTRFDOHIV"	"TCDFNGQLRWSEKHJVPUYIXBOAZM"	0	9	12
"main"	29	"SH "	" oneCued "	0	" left "	"M "	"S "	0	0	0	16	"UXDYCHSVWRNJFQGPBKILTZMOEA"	"BUAVGXMWSTQKIOHLYNJZFECRDP"	"UDZIXQOLJKWMFSEVACTPYHBNRG"	"TYEJRVBSXCOQMFKGIAZNUDHWPL"	"FEKAHRJOQNUMLPTXSVIDGCYWBZ"	"WYPMBSUVDGZFCOHRNAKLIJQEXT"	0	6	22
