"","ID","crowded","ring","efficacy","latency","precision","val","valGuessing","pLRtest"
"1","CC","Bouma","2",0.9242228228314,-1.20883013397843,999,999,999,999
"2","CH","Bouma","2",0,NA,999,999,999,999
"3","CL","Bouma","2",0.624158448113533,0.888430529386431,999,999,999,999
"4","RN","Bouma","2",0.894516312440038,-0.0994547943949403,999,999,999,999
"5","WN","Bouma","2",0.83261232239773,-0.367253080011458,999,999,999,999
"6","CC","Yes","2",0.741664677024665,-0.807765883466994,999,999,999,999
"7","CH","Yes","2",0.21818198391549,1.55574266330878,999,999,999,999
"8","CL","Yes","2",0.443882137608052,0.750663667173638,999,999,999,999
"9","RN","Yes","2",0.689819725548754,-0.145015109896655,999,999,999,999
"10","WN","Yes","2",1,-0.768941677087967,999,999,999,999
"11","CC","Bouma","1",0.896825698472024,-0.902497440877713,999,999,999,999
"12","CH","Bouma","1",0.197975021547881,0.916824240162258,999,999,999,999
"13","CL","Bouma","1",0.643284056354908,0.538609887529479,999,999,999,999
"14","RN","Bouma","1",0.628618832357552,0.153762405384019,999,999,999,999
"15","WN","Bouma","1",0.894731649618928,0.168353534025077,999,999,999,999
"16","CC","Yes","1",0.829643523448766,-0.0632023924867754,999,999,999,999
"17","CH","Yes","1",0.149460748762205,0.594480302534115,999,999,999,999
"18","CL","Yes","1",0.621217271376406,0.669560218808177,999,999,999,999
"19","RN","Yes","1",0.832944475414818,0.326735266562786,999,999,999,999
"20","WN","Yes","1",0.952666559670649,0.113235002248308,999,999,999,999
"21","CC","Bouma","0",0.914096142863648,-0.75964962567013,999,999,999,999
"22","CH","Bouma","0",0.344167314708007,0.987158763283179,999,999,999,999
"23","CL","Bouma","0",0.694097645009777,0.100457422760382,999,999,999,999
"24","RN","Bouma","0",0.780674335138002,0.403445426634937,999,999,999,999
"25","WN","Bouma","0",0.917846301866401,0.208322676216928,999,999,999,999
"26","CC","Yes","0",0.899271677499707,-0.188242190767667,999,999,999,999
"27","CH","Yes","0",0.482854628956399,1.15629399685238,999,999,999,999
"28","CL","Yes","0",0.512489539184076,0.21439152390903,999,999,999,999
"29","RN","Yes","0",0.725384655972145,1.07112475449319,999,999,999,999
"30","WN","Yes","0",0.895507831174803,0.107835260740924,1.38670266631402e-42,999,999,999
