Participant,Group,BF
CL,Endogenous,2.237944e-01
EC,Endogenous,4.498746e+02
IT,Endogenous,4.147811e+00
KR,Endogenous,1.152591e+01
SH,Endogenous,3.567451e+02
WN,Endogenous,2.245440e+07
CL,Exogenous,1.969466e+41
EC,Exogenous,2.371470e+49
IT,Exogenous,2.010394e+26
KR,Exogenous,2.663675e+07
SH,Exogenous,8.821795e+30
WN,Exogenous,1.315149e+108
