"ID","crowded","ring","efficacy","latency","precision","val","valGuessing","pLRtest"
"CC","Bouma","2",0.924865207119067,-1.24599280061475,1.40528427434802,118.282956635269,184.993274115245,9.9048532108455e-29
"CH","Bouma","2",0,NA,NA,176.933850725696,179.642624044256,0.143654263176221
"CL","Bouma","2",0.606013878462861,0.775259498155233,1.88911021827267,160.50010296346,181.84445930418,2.86548666972184e-09
"KM4SONA","Bouma","2",0.785684077575211,1.25765288816997,1.56332039299028,140.808183146461,182.959561966095,3.66279532636242e-18
"LC1SONA","Bouma","2",0.59367648715903,0.0814552267354076,1.80037811779891,163.373458753292,185.295806134423,1.62828641864247e-09
"LS2SONA","Bouma","2",0.383753405959374,0.746308501597353,1.06013590265339,158.562720817091,172.845023956215,2.7644225262901e-06
"RN","Bouma","2",0.890808576900966,-0.0773114028646023,3,161.711943333151,188.776930047139,1.05268007954152e-11
"WN","Bouma","2",0.825594465614985,-0.455794192979551,1.34901540406558,130.13301029842,182.271021160912,1.87020153263604e-22
"CC","Yes","2",0.735888784671559,-0.795269442242329,1.45411603390906,146.045069113087,186.220754563823,2.58027317966924e-17
"CH","Yes","2",0.201298692889425,1.52331486850278,0.0685769821797586,171.758617026314,180.359229201359,0.00064248741254127
"CL","Yes","2",0.462470573257469,0.819674122986388,0.990451988801845,160.196650909747,181.714642792227,2.41808695651599e-09
"KM4SONA","Yes","2",0.765173047340444,0.964671133169648,1.18974424889694,127.223476041981,175.239234451767,1.10820942922862e-20
"LC1SONA","Yes","2",0.56910634351505,0.16966506577163,1.17127428419854,151.717403036911,179.886624919504,3.55727998050627e-12
"LS2SONA","Yes","2",0.485218735303655,0.338253907053589,0.915631667147276,160.050351312624,185.466117800441,5.31354534007731e-11
"RN","Yes","2",0.719127398893613,-0.327827083196326,2.57621301769043,160.790505335932,182.61172814069,1.79757777769635e-09
"WN","Yes","2",1,-0.801161960644591,2.03184256512203,119.767032311055,178.68868121261,2.2484595358998e-25
"CC","Bouma","1",0.885712923359485,-0.973266292962746,0.612543793146819,83.4022157554598,171.614893878791,5.21653659129204e-38
"CH","Bouma","1",0.189936948267915,0.690471117335928,0.891810301010884,172.891159524766,177.536193226344,0.0256728278995729
"CL","Bouma","1",0.624326879275034,0.457679331790153,1.13964780251262,149.197979977613,183.555200739865,8.04452565100589e-15
"KM4SONA","Bouma","1",0.66940077031869,0.979876898260814,1.07599822584878,142.260345567866,182.810229224685,1.78286522646406e-17
"LC1SONA","Bouma","1",0.705140083369808,0.192256388169032,1.11797796379247,142.135832861946,186.472541604934,4.2214945946741e-19
"LS2SONA","Bouma","1",0.58367914789422,0.88461373902455,1.57228167395199,160.647600349278,184.07327436675,3.73808974558354e-10
"RN","Bouma","1",0.643132879530588,0.0533925970875231,1.75970430714598,159.818647115128,185.035202495183,6.46034563504848e-11
"WN","Bouma","1",0.890241536463593,0.12579991394972,1.11409244878974,113.767837446835,184.993274115245,1.1193754120862e-30
"CC","Yes","1",0.821907370288002,-0.0437741559706307,1.23629385587786,126.231593614054,182.014051757321,5.0527968863447e-24
"CH","Yes","1",0.149460827803657,0.63216907522261,0.104553842945886,184.134799383482,191.316505648206,0.00244999085186821
"CL","Yes","1",0.657324058789077,0.654560992750241,1.25725438736938,150.461619903494,186.05180254259,2.38494242152119e-15
"KM4SONA","Yes","1",0.755652755301306,1.35079369915439,1.10733409834682,125.50407009041,174.792947469139,3.14255221852438e-21
"LC1SONA","Yes","1",0.566695177447277,0.230076112420719,0.920756284940244,146.979072901874,179.615763582038,4.38409902013289e-14
"LS2SONA","Yes","1",0.487066637062511,0.717910422153073,0.865394865556667,153.777528371673,179.717882477163,3.17564375530864e-11
"RN","Yes","1",0.863035861290372,0.178737002255925,2.59492720791298,145.063856131361,175.781348223762,2.90144781873988e-13
"WN","Yes","1",0.949128519003545,0.102741409345591,0.965434474845627,92.5043191494011,177.971001059487,8.0013623119033e-37
"CC","Bouma","0",0.939895720279516,-0.764760970631983,0.944668478794491,98.3238303521596,187.959941392369,1.26657452604597e-38
"CH","Bouma","0",0.367266471490805,0.830729693932333,1.33575434731401,167.098868287607,178.303423698655,5.36165999628923e-05
"CL","Bouma","0",0.645789816771902,0.147334222620307,0.916927489427904,129.401796737783,168.645932030487,6.47533458840329e-17
"KM4SONA","Bouma","0",0.850488830304793,1.0120020055962,0.892922589030026,110.432399386744,182.337451796557,5.6997566142923e-31
"LC1SONA","Bouma","0",0.854592682141181,-0.0505965111285785,1.04833327347343,114.375370332296,179.102020181307,7.09392451373796e-28
"LS2SONA","Bouma","0",0.584348281287868,0.686926892410999,0.731200929097375,140.892987421641,180.226949271921,5.92564078822395e-17
"RN","Bouma","0",0.7900244917426,0.470465163929901,1.16116861528051,127.798355531699,181.363464463789,4.54845000171346e-23
"WN","Bouma","0",0.912165539759055,0.218572343054091,0.509008775981826,74.7611098140851,181.149054649835,7.3152770196188e-46
"CC","Yes","0",0.907309036218898,-0.137478821068687,0.877129663987573,93.4586025770719,172.512835122906,4.69160968485314e-34
"CH","Yes","0",0.476707515768443,1.07608564360822,1.28605971761825,159.769717343681,178.946836920434,2.37815350919422e-08
"CL","Yes","0",0.524724657787196,0.215221558015918,0.485289863573335,152.231219961459,194.723040109395,2.6161808013068e-18
"KM4SONA","Yes","0",0.753645201359326,1.03809583393292,0.586139530703863,116.309732372002,188.674594463774,3.61018010250209e-31
"LC1SONA","Yes","0",0.827521419440415,0.407687556624577,1.0876309711171,119.076990068351,178.771778658784,1.04447722154951e-25
"LS2SONA","Yes","0",0.472260130395246,0.953465020682841,0.506718659999131,151.686342808134,186.06169000239,7.90204629323578e-15
"RN","Yes","0",0.680264625464229,0.827014320795782,1.36514165330318,141.150155831671,176.122064910468,4.38822407512909e-15
"WN","Yes","0",0.886996397774468,0.118892319954972,0.626627271064409,87.1503273473499,177.971001059487,3.89943324483582e-39
"AC5SONA","Bouma","0",0.709301742559016,0.0932936522446151,1.25342841864023,140.719374458706,180.810295135789,2.80563358129973e-17
"DP6SONA","Bouma","0",0.814269667841541,0.199369323737512,0.993158318292039,116.55808954129,176.561506147146,7.6906855096761e-26
"AC5SONA","Yes","0",0.69298809132841,0.420640120592253,1.55911566030849,144.329212070817,175.750059915533,1.45183153477222e-13
"DP6SONA","Yes","0",0.887085099662073,0.234076155149053,1.03418125056966,108.304403873973,178.68868121261,2.58073001046044e-30
"AC5SONA","Bouma","1",0.652437339458081,0.693404915132633,0.883643508765041,140.835315884048,185.400091202296,3.36905468377333e-19
"DP6SONA","Bouma","1",0.81140933311657,-0.128641696367843,1.23048360257774,133.739383505693,187.910518960434,2.49498699611012e-23
"AC5SONA","Yes","1",0.740497892687469,0.805461433368005,0.979585986138922,140.716954333855,195.552348652703,1.29176517189e-23
"DP6SONA","Yes","1",0.759235536595342,0.0885946467750872,1.20755276369203,127.434621237907,172.922423839107,1.35206725267138e-19
"AC5SONA","Bouma","2",0.371859322089782,1.47143371766372,0.639320017871732,162.01919461926,181.173921497639,2.43065604230009e-08
"DP6SONA","Bouma","2",0.860063573123288,-0.168087603387362,1.57399928800692,136.214526076141,187.946094402336,2.79728403769805e-22
"AC5SONA","Yes","2",0.543427066457514,1.13995202764232,0.862102418801154,148.485510394967,180.527660541961,7.87429851798903e-14
"DP6SONA","Yes","2",0.893038862456994,-1.04741233084055,2.17631296273453,143.165081012878,186.345477929722,1.32444685923543e-18
