"","ID","crowded","ring","efficacy","latency","precision"
"1","CB","Bouma","1",0.644829129919421,0.802435517482492,1.11099115552449
"2","CL","Bouma","1",0.669370997411231,0.37384758330065,1.31394098909222
"3","PB","Bouma","1",0.717819126630108,-0.968882032376476,2.24142695541359
"4","WN","Bouma","1",0.841567625139019,-0.0133685908740035,1.08607165576643
"5","CB","Yes","1",0.817580458878601,0.514580917351233,0.996827830767284
"6","CL","Yes","1",0.470155950768058,0.737667132179495,0.705954166211379
"7","PB","Yes","1",0.510243472533582,0.483105166496742,0.981183392233482
"8","WN","Yes","1",0.899640894142899,-0.149152469944082,1.13619089223668
"9","CB","Bouma","2",0.798899070280145,0.0868637306323341,2.37570874051025
"10","CL","Bouma","2",0.71762686302772,0.791594076030421,2.20315558873005
"11","PB","Bouma","2",0.424123421173911,-1.18504461353458,1.16219671798788
"12","WN","Bouma","2",0.796417844340712,-0.322747880873814,1.46741581642097
"13","CB","Yes","2",0.573337652026142,0.921597777716385,0.767671800154497
"14","CL","Yes","2",0.644459385036807,0.431980772868183,1.99959969872309
"15","PB","Yes","2",0.508651241244452,0.562105860584783,1.72076451851857
"16","WN","Yes","2",0.864857833206361,-0.414058905913364,1.69654720796497
"17","CB","Bouma","0",0.829925208425039,0.772709035731786,0.698859537778973
"18","CL","Bouma","0",0.677049302291559,0.748061130793005,1.06832033752849
"19","PB","Bouma","0",0.815846729611437,0.00800038800278975,1.54885299061882
"20","WN","Bouma","0",1,0.232718802315668,1.03216375447102
"21","CB","Yes","0",0.862486489883158,0.657529287816689,0.665131339057946
"22","CL","Yes","0",0.694374467027195,0.5184338515658,1.04288176671315
"23","PB","Yes","0",0.643233125496987,0.584829801206981,0.527539647727165
"24","WN","Yes","0",0.930094861037896,0.185324597420811,0.636099163292286
