"","ID","crowded","ring","efficacy","latency","precision"
"1","CC","Bouma","2",0.924222827629776,-1.20883016187967,1.37354651245841
"2","CH","Bouma","2",0,NA,NA
"3","CL","Bouma","2",0.624158441321688,0.888430613253545,1.9455864601718
"4","RN","Bouma","2",0.929858261717585,-0.163403694964703,3.47891964992731
"5","WN","Bouma","2",0.832612343881551,-0.367253040519449,1.36042918871293
"6","CC","Yes","2",0.741664666133653,-0.807765841383049,1.40465849214471
"7","CH","Yes","2",0.218181985837292,1.55581103688511,0.191602425145609
"8","CL","Yes","2",0.443882133997295,0.750663672108079,1.00904401922687
"9","RN","Yes","2",0.689819719594859,-0.145015138388343,2.51723147709584
"10","WN","Yes","2",1,-0.76894167873176,2.09816536003004
"11","CC","Bouma","1",0.896825698388371,-0.902497442674621,0.65442333458375
"12","CH","Bouma","1",0.19797503069932,0.916824294771682,0.969890342516182
"13","CL","Bouma","1",0.643284052077107,0.538609878952304,1.1246583270019
"14","RN","Bouma","1",0.628618827122429,0.153762357242378,1.79131927576684
"15","WN","Bouma","1",0.894731646848327,0.168353533971723,1.16234503852663
"16","CC","Yes","1",0.829643520756659,-0.0632023837011232,1.21342826175773
"17","CH","Yes","1",0.546614058073506,-1.67305140919776,4
"18","CL","Yes","1",0.621217279764728,0.669560183634419,1.19169100880983
"19","RN","Yes","1",0.832944482850702,0.326735246888769,2.51972213915677
"20","WN","Yes","1",0.952666561381022,0.113235027221818,0.95463844775841
"21","CC","Bouma","0",0.914096147590191,-0.759649639233829,0.91910711765174
"22","CH","Bouma","0",0.344167316912479,0.987158789666034,0.997158713405016
"23","CL","Bouma","0",0.694097642698011,0.10045739526996,1.05411221735361
"24","RN","Bouma","0",0.780674332369651,0.403445413402043,1.20004192347035
"25","WN","Bouma","0",0.917846299633807,0.208322661831285,0.53141508971615
"26","CC","Yes","0",0.899271669446407,-0.188242184567612,0.907012215022152
"27","CH","Yes","0",0.482854620467371,1.15629403296997,1.35931693220788
"28","CL","Yes","0",0.512489536617336,0.214391521943925,0.478188958451312
"29","RN","Yes","0",0.725384644215395,1.07112473396547,1.67714133437082
"30","WN","Yes","0",0.895507831193918,0.107835261062625,0.631996566988285
