"","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest"
"1","Normal",1.5,0.7,0.84,1,0.666690877801916,1.41616758904483,0.92664618176742,484.531681904208,1.59315346198978e-67
"2","Gamma",1.5,0.7,0.84,1,0.713999119996109,2.67995369371044,0.548374808555111,451.471583618934,2.57795906806037e-82
"3","Normal",2,0.7,0.84,1,0.71640249769789,2.06108503766833,0.91475845470704,464.861469458167,3.91214818650921e-77
"4","Gamma",2,0.7,0.84,1,0.685210726278108,7.85429237397049,0.262510918370525,454.468951857975,6.36426506281697e-81
"5","Normal",1.5,0.9,0.84,1,0.911068477063446,1.51201738099501,0.821295075985468,335.084305528266,1.07890109544596e-130
"6","Gamma",1.5,0.9,0.84,1,0.893175278244486,3.36487510964567,0.419013293908574,323.946082672919,2.09865991766731e-135
"7","Normal",2,0.9,0.84,1,0.94009277076478,2.00273437233957,0.905356280872972,327.855065282476,2.69089641866192e-133
"8","Gamma",2,0.9,0.84,1,0.858520999660093,5.87411355088857,0.335021094664701,360.602719026089,4.55990293387282e-120
"9","Normal",1.5,0.7,1.2,1,0.714986327786147,1.46576427163063,1.21481492096073,494.381711797916,2.14615211536748e-64
"10","Gamma",1.5,0.7,1.2,1,0.703198422561517,1.70406354155387,0.794608400133222,470.261118063034,1.70095298233748e-74
"11","Normal",2,0.7,1.2,1,0.741027069392955,1.89455277586212,1.39295013990415,503.155993918518,4.74949229010134e-62
"12","Gamma",2,0.7,1.2,1,0.724600647798431,2.61956978924774,0.857715033995769,488.584014668263,4.03949261399109e-65
"13","Normal",1.5,0.9,1.2,1,0.925524463983509,1.66790023496758,1.24334075521485,392.457649451016,6.92692226745055e-107
"14","Gamma",1.5,0.9,1.2,1,0.935147778200492,1.6138128509951,0.947236534210125,355.210548007291,1.0088779432586e-121
"15","Normal",2,0.9,1.2,1,0.926333445471528,1.97581231038084,1.23112276565183,386.198317250104,5.66574116177841e-108
"16","Gamma",2,0.9,1.2,1,0.877704289847823,2.53445502186103,0.764404816942629,398.18517819593,7.7593229208436e-104
"17","Normal",1.5,0.7,0.84,2,0.771433919312083,1.5023400453936,0.906494183886203,435.164905520063,4.06745699632622e-89
"18","Gamma",1.5,0.7,0.84,2,0.761712055292256,2.48116360071968,0.588906532783599,430.694031811117,1.84183362969641e-90
"19","Normal",2,0.7,0.84,2,0.738107332175668,2.20348652213107,0.894513709362524,447.043301316012,6.54336443311903e-83
"20","Gamma",2,0.7,0.84,2,0.763131216454747,5.86007351569409,0.333431886961518,417.500589479067,8.10682044920773e-96
"21","Normal",1.5,0.9,0.84,2,0.92234667383488,1.50929592811655,0.829176579901758,327.224394923594,9.91323540769981e-134
"22","Gamma",1.5,0.9,0.84,2,0.908045243581147,3.33955142248153,0.419777730189099,315.771461792018,7.75608694996215e-139
"23","Normal",2,0.9,0.84,2,0.893312243225974,2.06235944815194,0.784245932802088,340.632623179016,2.59958488646614e-128
"24","Gamma",2,0.9,0.84,2,0.870894245982501,6.41572612675762,0.31579263131367,351.390324665608,1.08018508858327e-123
"25","Normal",1.5,0.7,1.2,2,0.664239016023943,1.436953955855,1.06572098708889,505.91744431392,1.66318326766687e-61
"26","Gamma",1.5,0.7,1.2,2,0.667935845301192,1.306817364786,1.36064421040751,515.603604682732,1.75771890147434e-54
"27","Normal",2,0.7,1.2,2,0.640131465902158,1.83658948658676,1.04940933657792,505.279620764178,3.28439487749004e-58
"28","Gamma",2,0.7,1.2,2,0.709964768621382,3.81621106509223,0.459332605739598,451.259879030518,7.23797409398161e-81
"29","Normal",1.5,0.9,1.2,2,0.905055986220847,1.49054396001344,1.14234340256011,387.288996906781,1.60119975073356e-107
"30","Gamma",1.5,0.9,1.2,2,0.878404757977779,1.72634366883068,0.783183071743301,373.379806934494,3.50786960619219e-114
"31","Normal",2,0.9,1.2,2,0.911524813034318,1.90508281104843,1.21816404433509,394.725534062904,3.45006053718396e-104
"32","Gamma",2,0.9,1.2,2,0.882684900783462,2.76064216004902,0.716681241127594,389.91965778198,1.66061467941789e-106
"33","Normal",1.5,0.7,0.84,3,0.659217384905612,1.52035427345888,0.758319793841133,473.554137900184,6.11034486339979e-74
"34","Gamma",1.5,0.7,0.84,3,0.713197383643069,4.48108605803752,0.317072508795129,421.23255265211,3.96281454545014e-95
"35","Normal",2,0.7,0.84,3,0.729208861227149,2.03810508430167,0.75129077246236,431.527788108594,1.65927291097044e-89
"36","Gamma",2,0.7,0.84,3,0.717958576035961,6.95848854787489,0.28853357884469,437.36719612427,1.45600010596446e-87
