"X","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest","scale","shape","generativeModel"
1,"Gamma",1.5,0.7,0.84,1,0.661704972506475,2.35990173551788,0.656787726618567,487.542581771821,3.20392420820703e-66,NA,NA,"Normal"
2,"Normal",1.5,0.7,0.84,1,0.680537824031612,1.35483597240129,0.741894488798415,457.833324443845,1.46829381380372e-79,0.548374808555111,2.67995369371044,"Gamma"
3,"Gamma",2,0.7,0.84,1,0.702074438550817,5.1439679836216,0.415740363941104,468.638082229414,1.69030002161015e-75,NA,NA,"Normal"
4,"Normal",2,0.7,0.84,1,0.691241965953675,2.01553153320379,0.733138444301177,453.039691713535,1.52992318835102e-81,0.262510918370525,7.85429237397049,"Gamma"
5,"Gamma",1.5,0.9,0.84,1,0.911383551046938,2.84763306066696,0.54179050788291,343.70990085497,5.92602881183728e-127,NA,NA,"Normal"
6,"Normal",1.5,0.9,0.84,1,0.874286497739577,1.36681013690097,0.673752072081879,330.570298218918,1.56377347838224e-132,0.419013293908574,3.36487510964567,"Gamma"
7,"Gamma",2,0.9,0.84,1,0.938632746579944,4.06481574463795,0.502082398220954,337.177301435034,2.96378002324936e-129,NA,NA,"Normal"
8,"Normal",2,0.9,0.84,1,0.843924497024852,1.92651468277358,0.765456053748035,369.052407778159,2.09857295412237e-116,0.335021094664701,5.87411355088857,"Gamma"
9,"Gamma",1.5,0.7,1.2,1,0.636166421753407,2.51712548174667,0.691170862858659,509.664031493891,8.81842851612906e-58,NA,NA,"Normal"
10,"Normal",1.5,0.7,1.2,1,0.678623140316825,1.15270377590362,0.877020374653571,475.301145504831,2.58910190547603e-72,0.794608400133222,1.70406354155387,"Gamma"
11,"Gamma",2,0.7,1.2,1,0.713339446147328,1.85510242799324,1.11465996566665,509.8487581194,3.74112491145243e-59,NA,NA,"Normal"
12,"Normal",2,0.7,1.2,1,0.691453465478769,2.04806007843348,1.12521992575327,491.586465650348,8.05266493995615e-64,0.857715033995769,2.61956978924774,"Gamma"
13,"Gamma",1.5,0.9,1.2,1,0.87576006738601,2.09865926955951,0.863563132216536,408.437389799719,5.83457988235417e-100,NA,NA,"Normal"
14,"Normal",1.5,0.9,1.2,1,0.911876494877113,1.41333118043514,1.04099578977514,368.637951109326,6.67902286422298e-116,0.947236534210125,1.6138128509951,"Gamma"
15,"Gamma",2,0.9,1.2,1,0.911710751674315,2.33183176739283,0.879162590074357,395.823478556115,8.41229123437652e-104,NA,NA,"Normal"
16,"Normal",2,0.9,1.2,1,0.873468729614216,1.84774248353877,1.12000216832372,404.772008879679,5.55184905054312e-101,0.764404816942629,2.53445502186103,"Gamma"
17,"Gamma",1.5,0.7,0.84,2,0.767616966760038,2.38624880934313,0.670436799564924,445.492422949039,1.21174326841439e-84,NA,NA,"Normal"
18,"Normal",1.5,0.7,0.84,2,0.741265368553314,1.37579153203043,0.798180080804095,434.183338565685,5.98419760597899e-89,0.588906532783599,2.48116360071968,"Gamma"
19,"Gamma",2,0.7,0.84,2,0.728830430798928,6.33439253377007,0.358909989496905,448.683444046232,3.35933003065952e-82,NA,NA,"Normal"
20,"Normal",2,0.7,0.84,2,0.764713030191451,1.91346560491635,0.782745384540692,419.108147706948,4.03117459120916e-95,0.333431886961518,5.86007351569409,"Gamma"
21,"Gamma",1.5,0.9,0.84,2,0.924305369906636,2.86000879003801,0.531018138028205,330.296183758052,2.12870559104531e-132,NA,NA,"Normal"
22,"Normal",1.5,0.9,0.84,2,0.904422676906723,1.39677262959193,0.721779167756686,319.673248678043,3.81522368853125e-137,0.419777730189099,3.33955142248153,"Gamma"
23,"Gamma",2,0.9,0.84,2,0.88406569736512,7.08859188954337,0.294190966508039,342.38003288638,1.48770299205405e-127,NA,NA,"Normal"
24,"Normal",2,0.9,0.84,2,0.880759069680597,1.9826234417571,0.819157358917088,352.841530417469,4.59884095142955e-123,0.31579263131367,6.41572612675762,"Gamma"
