"X","model","latency","efficacy","precision","participant","efficacyEstimate","latencyEstimate","precisionEstimate","val","pLRTest","scale","shape","generativeModel"
25,"Gamma",1.5,0.7,1.2,2,0.618172238195625,2.63942353663156,0.609437894729128,512.340420154503,1.00106659183692e-58,NA,NA,"Normal"
26,"Normal",1.5,0.7,1.2,2,0.678233706221907,1.49608705554895,1.38224938859423,518.815908646851,4.31008826209503e-53,1.36064421040751,1.306817364786,"Gamma"
27,"Gamma",2,0.7,1.2,2,0.63415472367689,3.24485398887733,0.622594870087855,505.169548808245,2.94325225830581e-58,NA,NA,"Normal"
28,"Normal",2,0.7,1.2,2,0.713628780241663,1.68314024694567,0.864514950164862,453.513844096425,6.85308636062672e-80,0.459332605739598,3.81621106509223,"Gamma"
29,"Gamma",1.5,0.9,1.2,2,0.861454776256163,1.99972740176241,0.821120740906989,403.896722099744,2.52434580750825e-100,NA,NA,"Normal"
30,"Normal",1.5,0.9,1.2,2,0.864998027956742,1.23063140056591,0.909255152767842,378.712027013289,7.18432209163246e-112,0.783183071743301,1.72634366883068,"Gamma"
31,"Gamma",2,0.9,1.2,2,0.905143132048428,1.92323764694378,1.03034254652926,408.012113048219,1.97632189212358e-98,NA,NA,"Normal"
32,"Normal",2,0.9,1.2,2,0.876031952899977,1.90062177708172,1.1182963216085,400.273189178833,5.09881084740003e-102,0.716681241127594,2.76064216004902,"Gamma"
33,"Gamma",1.5,0.7,0.84,3,0.679193928396674,2.97874619296386,0.542685054888221,478.247518153824,6.58228807571087e-72,NA,NA,"Normal"
34,"Normal",1.5,0.7,0.84,3,0.694094178371083,1.36857536142404,0.567618602988696,424.828925333021,1.43327275665705e-93,0.317072508795129,4.48108605803752,"Gamma"
35,"Gamma",2,0.7,0.84,3,0.710754802788278,8,0.262277309093441,434.349501225837,2.76955071983827e-88,NA,NA,"Normal"
36,"Normal",2,0.7,0.84,3,0.709444363076789,1.95746311167204,0.70986517410277,439.057521611216,7.86051931966758e-87,0.28853357884469,6.95848854787489,"Gamma"
37,"Gamma",1.5,0.9,0.84,3,0.915312837136523,2.69510106966422,0.563802976889635,341.595532568419,1.05257213681341e-127,NA,NA,"Normal"
38,"Normal",1.5,0.9,0.84,3,0.875586581501541,1.43653956326051,0.660831832998993,326.042613070382,5.62149754087184e-134,0.385213794097669,3.83219111305931,"Gamma"
39,"Gamma",2,0.9,0.84,3,0.909458755114693,5.30304813387149,0.388870272974869,344.532128879805,3.24717798354526e-128,NA,NA,"Normal"
40,"Normal",2,0.9,0.84,3,0.936102500601483,1.999862214171,0.874874571401445,323.531467742251,4.75647028297313e-135,0.406509731342605,4.99418494707108,"Gamma"
41,"Gamma",1.5,0.7,1.2,3,0.689626826792042,2.00827353078283,0.932973504337983,498.928597219613,7.87554377170953e-61,NA,NA,"Normal"
42,"Normal",1.5,0.7,1.2,3,0.723240147647285,1.26906107793712,0.967294442455218,461.409612608695,7.2557966686684e-77,1.11697147655252,1.40591794042545,"Gamma"
43,"Gamma",2,0.7,1.2,3,0.639617833932515,2.9750089509604,0.72357390367861,517.09767621515,6.55068957094114e-55,NA,NA,"Normal"
44,"Normal",2,0.7,1.2,3,0.663786971206257,1.77698625917002,0.944574532669384,489.869548826708,3.71794861024038e-66,0.602481131611346,3.12110755496491,"Gamma"
45,"Gamma",1.5,0.9,1.2,3,0.86602654086675,1.85515582063342,0.849424077757824,400.154028698776,3.32566322542956e-103,NA,NA,"Normal"
46,"Normal",1.5,0.9,1.2,3,0.840453409507052,1.46480834495772,1.04208461109635,415.082249198885,1.86627758693478e-97,0.886092871284624,1.74289182489918,"Gamma"
47,"Gamma",2,0.9,1.2,3,0.881808348705085,2.37312815120912,0.858318906529457,411.284298404474,3.17902424792531e-97,NA,NA,"Normal"
48,"Normal",2,0.9,1.2,3,0.893970830167889,1.78562283496625,0.935509651156636,363.69643144046,7.38736032673798e-119,0.601506465197662,3.16024668349046,"Gamma"
49,"Gamma",1.5,0.7,0.84,4,0.699455664874625,2.76850015129527,0.592917104860584,467.816077774675,3.10130610111986e-74,NA,NA,"Normal"
50,"Normal",1.5,0.7,0.84,4,0.662839695195641,1.50349854594476,0.716869183956456,464.575892981462,2.68221069404205e-77,0.446187378521888,3.59399607894193,"Gamma"
51,"Gamma",2,0.7,0.84,4,0.643880703001787,8,0.251114616163791,468.279334338116,1.49733851804272e-74,NA,NA,"Normal"
52,"Normal",2,0.7,0.84,4,0.703010301120234,1.8512775013837,0.837952786054982,457.161643627673,4.49113423496969e-79,0.4405410967297,4.40006777089327,"Gamma"
53,"Gamma",1.5,0.9,0.84,4,0.895072684270961,2.9967704605752,0.49890690607501,347.636804499269,9.40628220764209e-126,NA,NA,"Normal"
54,"Normal",1.5,0.9,0.84,4,0.873272265047155,1.45628783155852,0.692164242373755,335.955774894295,1.45034715848276e-130,0.463563309012081,3.283675839787,"Gamma"
55,"Gamma",2,0.9,0.84,4,0.902372692835011,7.24454431556284,0.28984829587554,328.184381559976,7.23264257667447e-134,NA,NA,"Normal"
56,"Normal",2,0.9,0.84,4,0.900536251977555,1.93530997377091,0.799929743179612,339.075335225091,1.45648113311114e-129,0.37262670669103,5.28856074602051,"Gamma"
57,"Gamma",1.5,0.7,1.2,4,0.685008214550241,2.44751459362984,0.690993462764251,485.768167138336,6.8914479220931e-67,NA,NA,"Normal"
58,"Normal",1.5,0.7,1.2,4,0.710045869305853,1.27396246287792,1.05707397496397,479.093939368627,6.8920955291361e-70,1.23839563956928,1.27418184943024,"Gamma"
59,"Gamma",2,0.7,1.2,4,0.725283617974504,2.74391900382442,0.801839032414625,485.925500172887,2.46309592394533e-66,NA,NA,"Normal"
60,"Normal",2,0.7,1.2,4,0.663313945317237,1.69991769619769,0.939549890238957,489.21863070416,2.04490062923219e-66,0.870363119192678,2.31146526159762,"Gamma"
61,"Gamma",1.5,0.9,1.2,4,0.759349085655141,2.07835136746455,0.837467089355599,463.053515602493,5.15749638545421e-76,NA,NA,"Normal"
62,"Normal",1.5,0.9,1.2,4,0.884522612966569,1.46837856817745,1.10662424625672,393.368668830882,9.34656829860805e-105,0.959869758248579,1.71683700935349,"Gamma"
63,"Gamma",2,0.9,1.2,4,0.936462237628859,1.91082323097261,1.0351205612714,390.637563935394,2.28385054849404e-106,NA,NA,"Normal"
64,"Normal",2,0.9,1.2,4,0.875864709588307,1.77464810297154,1.03875755911136,391.545507534537,1.35050100406128e-106,0.610794611224375,3.01975575121393,"Gamma"
65,"Gamma",1.5,0.7,0.84,5,0.775008030923596,2.67396197071743,0.597135482074824,433.420288522656,2.14526646475282e-89,NA,NA,"Normal"
66,"Normal",1.5,0.7,0.84,5,0.67139292771569,1.32582045827943,0.731824432252106,461.744474482846,1.09629982968265e-77,0.526829363610111,2.6587557020077,"Gamma"
67,"Gamma",2,0.7,0.84,5,0.713801952697883,6.38970520569559,0.337985208902031,455.553892307513,1.08876357315111e-81,NA,NA,"Normal"
68,"Normal",2,0.7,0.84,5,0.705443371428577,2.09493108003105,0.753917802195764,444.507779097776,1.17410788688554e-83,0.271121047739122,7.82953328659367,"Gamma"
69,"Gamma",1.5,0.9,0.84,5,0.88152387360559,2.42398087617699,0.629585208996282,371.325902577629,3.99756756713755e-115,NA,NA,"Normal"
70,"Normal",1.5,0.9,0.84,5,0.905007000254981,1.54462542626522,0.694877329670151,314.143965837757,5.11527721003748e-140,0.400149324654614,3.96717691207349,"Gamma"
71,"Gamma",2,0.9,0.84,5,0.896421027367967,5.321017152301,0.382814284576445,347.75751654498,5.33194621926659e-125,NA,NA,"Normal"
72,"Normal",2,0.9,0.84,5,0.927539428500141,2.08339886175696,0.799761508539373,317.497693457658,1.19307263592719e-137,0.320449580659136,6.53232928675692,"Gamma"
73,"Gamma",1.5,0.7,1.2,5,0.680633354549573,1.28785232796606,1.18802709217385,502.91103060508,8.74656759602901e-61,NA,NA,"Normal"
74,"Normal",1.5,0.7,1.2,5,0.623154668675436,1.23564953319246,0.886602923407501,499.765969201411,3.57140180865667e-61,0.972929523230028,1.5265413564204,"Gamma"
75,"Gamma",2,0.7,1.2,5,0.667732817307121,3.37115090700597,0.652963327021317,497.494420285148,1.00545416913481e-60,NA,NA,"Normal"
76,"Normal",2,0.7,1.2,5,0.717672151283269,1.91652513688418,1.10723224252971,482.987758472405,5.98088648413722e-69,0.811443846830437,2.55522847881276,"Gamma"
77,"Gamma",1.5,0.9,1.2,5,0.876257056936595,1.89459159033749,0.942144579007975,416.747074498473,1.16738629479495e-96,NA,NA,"Normal"
78,"Normal",1.5,0.9,1.2,5,0.881356533769383,1.32797479121642,0.937098969681886,371.659237160318,1.49919807230577e-114,0.715713539710955,1.98243276507733,"Gamma"
79,"Gamma",2,0.9,1.2,5,0.856614934885201,2.82428667730588,0.729361183353399,417.000499340075,2.37685424936179e-95,NA,NA,"Normal"
80,"Normal",2,0.9,1.2,5,0.816538668418338,1.9906024015578,1.17593145286088,439.912282492064,8.57764539911812e-86,0.995632535590608,2.24062234700625,"Gamma"
81,"Gamma",1.5,0.7,0.84,6,0.714883134731151,2.23110738837847,0.665904208529136,468.658737528232,4.78792024318517e-75,NA,NA,"Normal"
82,"Normal",1.5,0.7,0.84,6,0.688091960119079,1.30509469521505,0.77430599103117,455.604532808613,1.32852308338608e-79,0.472388983376891,2.91992365826886,"Gamma"
83,"Gamma",2,0.7,0.84,6,0.713599386211984,5.75462434521915,0.387890435265306,457.699247341933,5.13477496747888e-79,NA,NA,"Normal"
84,"Normal",2,0.7,0.84,6,0.732989223159512,1.89729154376992,0.741416873871717,429.643884600379,9.34016120626936e-91,0.290743570384576,6.70868374309032,"Gamma"
85,"Gamma",1.5,0.9,0.84,6,0.911490017519665,3.83120837426388,0.413927452920892,325.925566494034,1.87738216938582e-134,NA,NA,"Normal"
86,"Normal",1.5,0.9,0.84,6,0.887464633604034,1.41779421093802,0.75036975590002,334.297914390663,7.06551332099664e-131,0.465842245238541,3.20565731512749,"Gamma"
87,"Gamma",2,0.9,0.84,6,0.870090098933408,6.11276364549929,0.335380943345442,362.702584548204,5.59790289667146e-121,NA,NA,"Normal"
88,"Normal",2,0.9,0.84,6,0.901027652023197,1.95446554995246,0.780465747180373,334.375016842847,3.58315414422051e-131,0.362055864217656,5.52102546303311,"Gamma"
89,"Gamma",1.5,0.7,1.2,6,0.622513154396877,1.89928727053325,0.917369893677454,522.357884904157,6.3718145495135e-52,NA,NA,"Normal"
90,"Normal",1.5,0.7,1.2,6,0.683462629182238,1.28347278712828,1.03647269218768,488.337657604492,1.36519550789462e-65,1.187684357487,1.29092191014629,"Gamma"
91,"Gamma",2,0.7,1.2,6,0.777746308863768,2.25492786116673,0.947854366271213,469.492984675056,1.84860418267692e-73,NA,NA,"Normal"
92,"Normal",2,0.7,1.2,6,0.681369164728273,1.82651586159529,1.10608267835143,492.966941925344,1.37587317558489e-62,0.87010471576796,2.35751853278325,"Gamma"
93,"Gamma",1.5,0.9,1.2,6,0.850758480574935,1.82175222183481,0.958528614950236,426.051015740344,2.20902540972834e-92,NA,NA,"Normal"
94,"Normal",1.5,0.9,1.2,6,0.897155503759382,1.3342274591098,1.06324389864325,380.938458586334,8.58261356562719e-111,1.02007531568899,1.44818649568482,"Gamma"
95,"Gamma",2,0.9,1.2,6,0.848667290193041,3.2372558691062,0.669388124671625,420.013200321062,2.21160214847798e-94,NA,NA,"Normal"
96,"Normal",2,0.9,1.2,6,0.837169386060891,1.81056551756252,1.03282011118394,411.751906435763,1.01287112962983e-97,0.740210762988339,2.61155086510945,"Gamma"
97,"Gamma",1.5,0.7,0.84,7,0.686668693691499,2.81238347117717,0.56627817841724,476.810996429755,8.49549190252487e-72,NA,NA,"Normal"
98,"Normal",1.5,0.7,0.84,7,0.725661697808914,1.44556954817122,0.825861663420139,440.51496736766,7.85993801028732e-85,0.502590261709075,3.04226759427179,"Gamma"
99,"Gamma",2,0.7,0.84,7,0.681087728126495,5.9677128241931,0.33912824573226,463.801885854026,1.38096551140787e-76,NA,NA,"Normal"
100,"Normal",2,0.7,0.84,7,0.683728052465021,1.97127765539462,0.793864754798691,462.542898290288,1.20541247803757e-77,0.32766598030009,6.18283440143052,"Gamma"
101,"Gamma",1.5,0.9,0.84,7,0.90097290181432,2.85533740905327,0.54748954561954,352.061184746102,5.74706494535301e-123,NA,NA,"Normal"
102,"Normal",1.5,0.9,0.84,7,0.89590845726384,1.41926947713566,0.736851232883428,328.287519918413,6.18060259241234e-134,0.448035671893209,3.23477289212476,"Gamma"
103,"Gamma",2,0.9,0.84,7,0.850550551672981,7.05876516900271,0.296936090804884,363.094630720169,4.01696134912805e-118,NA,NA,"Normal"
104,"Normal",2,0.9,0.84,7,0.851384495641365,1.92788219067098,0.693591572518577,350.859381855481,1.26033746206406e-123,0.291497022136582,6.763146053663,"Gamma"
105,"Gamma",1.5,0.7,1.2,7,0.681420904193789,1.63367337985697,1.03880624591167,500.21028402184,2.27188767423637e-60,NA,NA,"Normal"
106,"Normal",1.5,0.7,1.2,7,0.699225715646022,1.31392157551496,1.01193112134188,482.099616522592,9.71169690633489e-70,0.838619851327663,1.7437179984422,"Gamma"
107,"Gamma",2,0.7,1.2,7,0.741135102058092,3.1155185398519,0.682766560564256,469.194328038914,7.07724292430331e-73,NA,NA,"Normal"
108,"Normal",2,0.7,1.2,7,0.63752841742617,1.79079744746591,0.866832130143818,491.19567642466,1.06186619859209e-64,0.679076920368212,3.00876704257647,"Gamma"
109,"Gamma",1.5,0.9,1.2,7,0.890674628483385,1.70679735365307,0.954391045168322,392.763274652958,2.77694933728946e-105,NA,NA,"Normal"
110,"Normal",1.5,0.9,1.2,7,0.902413669625787,1.35699407085972,0.975209179487664,364.023576985493,7.93277045923836e-118,0.801518644801572,1.81029405722257,"Gamma"
111,"Gamma",2,0.9,1.2,7,0.894834806485802,2.1345164198733,0.970989002236857,416.629265859056,1.98077816914578e-95,NA,NA,"Normal"
112,"Normal",2,0.9,1.2,7,0.842616266204164,1.94375221080474,1.0540469606903,412.397288260152,3.28351923557393e-97,0.790342362247338,2.5941667311656,"Gamma"
113,"Gamma",1.5,0.7,0.84,8,0.757359494403535,3.35769928931863,0.486248703674804,432.091353436156,1.97477139356048e-90,NA,NA,"Normal"
114,"Normal",1.5,0.7,0.84,8,0.632978314741432,1.45784480023043,0.791273996501548,486.17542304923,2.38001628737687e-67,0.649724562258165,2.49379634046295,"Gamma"
115,"Gamma",2,0.7,0.84,8,0.712155008223047,5.50066157281402,0.369232734206556,450.862626668207,1.78851761590706e-81,NA,NA,"Normal"
116,"Normal",2,0.7,0.84,8,0.667533170890017,1.77368332304178,0.635075162204886,452.532855765603,1.31958309874278e-82,0.232327577239727,7.87344623455073,"Gamma"
117,"Gamma",1.5,0.9,0.84,8,0.917430379932946,2.90492592325015,0.518622178168587,332.359538768143,9.34471537606138e-132,NA,NA,"Normal"
118,"Normal",1.5,0.9,0.84,8,0.862683439443695,1.50794036451126,0.721837303724122,345.917250146128,5.710804298361e-126,0.444925715628844,3.56429385091401,"Gamma"
119,"Gamma",2,0.9,0.84,8,0.871191717662025,4.61411780641206,0.457165781119877,376.515459626829,1.46117104687142e-112,NA,NA,"Normal"
120,"Normal",2,0.9,0.84,8,0.854927655603075,1.89499082381269,0.790673473137064,367.285907362032,2.33375853690812e-117,0.377723847690103,5.13958234403346,"Gamma"
121,"Gamma",1.5,0.7,1.2,8,0.684740457602463,2.28449988038631,0.772016528369474,491.066260327251,1.87360100963736e-64,NA,NA,"Normal"
122,"Normal",1.5,0.7,1.2,8,0.705502673041214,1.59974052335515,1.21870422834994,499.27998042119,1.55428320124182e-62,1.04925324417,1.69007641512274,"Gamma"
123,"Gamma",2,0.7,1.2,8,0.656832844102526,3.68560368268964,0.633723073247269,505.469023545721,2.6488370462713e-58,NA,NA,"Normal"
124,"Normal",2,0.7,1.2,8,0.697589953165402,1.78206385814603,0.899360914675987,464.093718609282,5.40082316652332e-75,0.567067326929739,3.37230921231841,"Gamma"
125,"Gamma",1.5,0.9,1.2,8,0.871663859789358,2.016262587707,0.795563191496394,396.412190469691,5.86837551022015e-104,NA,NA,"Normal"
126,"Normal",1.5,0.9,1.2,8,0.891771295781242,1.25432165938835,0.922229834854146,362.286232065599,2.2039321312383e-118,0.810403760589175,1.69199637153908,"Gamma"
127,"Gamma",2,0.9,1.2,8,0.912017143190273,2.78230394263361,0.804350262247019,393.95482610577,1.26970057257651e-104,NA,NA,"Normal"
128,"Normal",2,0.9,1.2,8,0.921719576693776,1.93587597094372,1.1627506726124,378.44277448544,1.34569581072106e-111,0.783109910538454,2.5801173739014,"Gamma"
129,"Gamma",1.5,0.7,0.84,9,0.699034664131472,2.4575294520226,0.63726384713203,473.363483978615,1.21590860728013e-72,NA,NA,"Normal"
130,"Normal",1.5,0.7,0.84,9,0.690594233823834,1.39907963391725,0.654223905720389,441.505449002928,6.01105539562011e-87,0.400173995592483,3.6782453522152,"Gamma"
131,"Gamma",2,0.7,0.84,9,0.691892613976885,8,0.269337057854985,450.71955245694,1.81201337763205e-81,NA,NA,"Normal"
132,"Normal",2,0.7,0.84,9,0.63741225045074,2.09231926788476,0.789795982284001,489.089321240036,1.42722729639522e-67,0.327004608325397,6.53653628303324,"Gamma"
133,"Gamma",1.5,0.9,0.84,9,0.930764219867635,2.53617315986314,0.579251636498224,331.207672813771,1.0502792275625e-131,NA,NA,"Normal"
134,"Normal",1.5,0.9,0.84,9,0.916709078917953,1.56666555554045,0.799669715834901,322.323964657829,8.04828050554474e-136,0.424765214344635,3.77170559140895,"Gamma"
135,"Gamma",2,0.9,0.84,9,0.909492442744334,5.89400202055591,0.340127805733663,330.091362349974,1.09027199599616e-132,NA,NA,"Normal"
136,"Normal",2,0.9,0.84,9,0.848429731852938,1.86433952694587,0.754507518818354,364.341172729636,3.00926319778298e-118,0.346253724425162,5.5215487431248,"Gamma"
137,"Gamma",1.5,0.7,1.2,9,0.69527519809595,1.6312985383462,1.0605475750061,500.635311978281,8.27979031737584e-62,NA,NA,"Normal"
138,"Normal",1.5,0.7,1.2,9,0.695952637768628,1.23041120667859,0.858580610593861,462.953599138319,6.25159377751015e-76,0.790336690838561,1.70620949427252,"Gamma"
139,"Gamma",2,0.7,1.2,9,0.638180519801242,2.44191034783581,0.909942661274309,523.637864478419,1.88685841851007e-50,NA,NA,"Normal"
140,"Normal",2,0.7,1.2,9,0.621768294234531,1.76691540760142,0.996425265458927,511.576221851905,1.49925173110884e-56,0.756298162938998,2.5480278044247,"Gamma"
141,"Gamma",1.5,0.9,1.2,9,0.860469457044008,2.05231937795363,0.809106592629358,407.492678596116,7.48965127109746e-100,NA,NA,"Normal"
142,"Normal",1.5,0.9,1.2,9,0.85225152373939,1.27165263179002,1.0201662166297,401.658641926529,1.65600698236087e-101,1.09684890424923,1.31258783524879,"Gamma"
143,"Gamma",2,0.9,1.2,9,0.88103903057756,2.48738091925015,0.810582676994298,411.702775350712,1.90953039003492e-97,NA,NA,"Normal"
144,"Normal",2,0.9,1.2,9,0.881626896724857,1.84537032327506,1.08939443425187,392.988930986379,6.13548339404736e-105,0.750662656933396,2.64922352177381,"Gamma"
145,"Gamma",1.5,0.7,0.84,10,0.631132309024679,3.28150841034068,0.466172534998767,492.752046507948,1.51803757576865e-66,NA,NA,"Normal"
146,"Normal",1.5,0.7,0.84,10,0.707579230577352,1.6075580505773,0.849137050128631,456.156365304627,1.28929311413529e-78,0.527246028140429,3.1561965161331,"Gamma"
147,"Gamma",2,0.7,0.84,10,0.629389934110514,7.07096923427527,0.290595894769095,483.123942224882,1.35333024809108e-68,NA,NA,"Normal"
148,"Normal",2,0.7,0.84,10,0.674549895671138,1.9943195100165,0.710230971470765,459.521242177589,1.59053536126264e-79,0.294174019721844,6.97149950064892,"Gamma"
149,"Gamma",1.5,0.9,0.84,10,0.924363617987397,3.35504372156548,0.481375637932109,326.782662793385,3.32513393445695e-134,NA,NA,"Normal"
150,"Normal",1.5,0.9,0.84,10,0.892689404041652,1.52582593618264,0.820593236505363,343.953121845569,2.35950782095973e-126,0.460654656516733,3.39132342735949,"Gamma"
151,"Gamma",2,0.9,0.84,10,0.865502829977386,5.53762115763784,0.349584621509232,359.904911363165,4.64389570166616e-121,NA,NA,"Normal"
152,"Normal",2,0.9,0.84,10,0.865675512723218,1.9147396748068,0.838671535921237,366.667799805684,7.5107641104985e-117,0.358735038448371,5.40039964428796,"Gamma"
153,"Gamma",1.5,0.7,1.2,10,0.642345386176871,2.00888731397601,0.849860893842621,514.939403810842,1.50856196550942e-55,NA,NA,"Normal"
154,"Normal",1.5,0.7,1.2,10,0.647075843476024,1.11016236923226,0.859342043475069,485.088476103557,7.67754757991678e-67,1.13546348434667,1.31488016004079,"Gamma"
155,"Gamma",2,0.7,1.2,10,0.631139173124372,2.52588281385958,0.901634915678447,531.689353230931,2.84336083922544e-48,NA,NA,"Normal"
156,"Normal",2,0.7,1.2,10,0.620000165367383,1.76820057103821,1.09729608384743,517.109336976224,2.33937000680472e-53,0.781384715875457,2.50058732553788,"Gamma"
157,"Gamma",1.5,0.9,1.2,10,0.79438445322993,2.20763813056266,0.756116791928153,438.777495434842,6.06141292197432e-86,NA,NA,"Normal"
158,"Normal",1.5,0.9,1.2,10,0.852038184527313,1.26709784525565,1.09836073958508,416.147477300245,3.78015247055e-97,1.0932539841242,1.28156272910009,"Gamma"
159,"Gamma",2,0.9,1.2,10,0.868901712289074,2.42696900303638,0.842257634456987,420.287284067518,2.91527469513814e-94,NA,NA,"Normal"
160,"Normal",2,0.9,1.2,10,0.911611769736941,2.01397717122403,1.04279645195754,369.928474912984,9.07255441531563e-116,0.649741630003794,3.18262232205883,"Gamma"
161,"Gamma",1.5,0.7,0.84,11,0.722588798789017,2.25387604222338,0.768064760645939,471.034832724144,1.72513170830502e-72,NA,NA,"Normal"
162,"Normal",1.5,0.7,0.84,11,0.654515708638286,1.4648947410755,0.837426843215303,483.540373978934,1.83811852934231e-69,0.514295092522055,3.01690449229185,"Gamma"
163,"Gamma",2,0.7,0.84,11,0.671518930677666,7.31873270865454,0.283193555559848,463.472773958809,3.63322251002962e-77,NA,NA,"Normal"
164,"Normal",2,0.7,0.84,11,0.703978447281761,1.82265608253999,0.766149273916185,447.730354901295,1.06213880138166e-82,0.340950477984631,5.48379582113674,"Gamma"
165,"Gamma",1.5,0.9,0.84,11,0.903467723854154,2.29053305028709,0.681158918035244,360.93165839705,3.33879785738951e-119,NA,NA,"Normal"
166,"Normal",1.5,0.9,0.84,11,0.863473125027099,1.54134741491825,0.795454380956954,359.644887883032,9.97736698101138e-120,0.509685319418047,3.17058052469014,"Gamma"
167,"Gamma",2,0.9,0.84,11,0.917614018523229,5.01453178771167,0.41432948084697,342.575231327559,1.1282276984408e-128,NA,NA,"Normal"
168,"Normal",2,0.9,0.84,11,0.873169040487434,1.89473045290982,0.759923144566876,349.798606719935,1.24425915719572e-124,0.322619555782057,5.94353230332467,"Gamma"
169,"Gamma",1.5,0.7,1.2,11,0.72102420448657,2.18863062042845,0.845415989560056,478.170311443065,9.67563849437698e-69,NA,NA,"Normal"
170,"Normal",1.5,0.7,1.2,11,0.596941932371782,1.35333332728781,0.855314541978844,507.506100103301,2.3929679111024e-58,0.776529557200104,2.06980456360147,"Gamma"
171,"Gamma",2,0.7,1.2,11,0.62662240607277,3.9171391907927,0.588894950348272,519.91635492384,3.89531264473853e-54,NA,NA,"Normal"
172,"Normal",2,0.7,1.2,11,0.591609564654219,1.75179956872082,0.861726466245083,508.017735122677,7.33089796662235e-57,0.763183898328974,2.71511646001363,"Gamma"
173,"Gamma",1.5,0.9,1.2,11,0.886910417398347,1.83653034939206,0.872994534665881,389.539250460983,1.98613110797239e-106,NA,NA,"Normal"
