"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"CL "	" oneCued "	0	" left "	"Z "	"U "	0	3	0	1	"UBDINGVWPLRESTFOMZYKQHXCAJ"	"BHMVRALIZSOUWECTPJFYNDXGQK"	"RVKWUCLFPOTDIXEAQBHSJGNZYM"	"LDMXSRUZIAWEVQJNOYFKBCHPTG"	"JIYRPSBNULKXFHCMZGQVTDWEOA"	"WAQPRCDHXYTNJMUSLBVGKFOEZI"	0	6	7
"main"	21	"CL "	" oneCued "	0	" left "	"F "	"F "	1	3	0	0	"CKXDSBIMALPNWTGROFHEUQJYZV"	"RXPFSMULWKCODZYQAVGIJBTEHN"	"QUYRNBDGJHCOLTFSPEMIWAVZXK"	"OQUZCJFRKXBHEYVWANPSITLGDM"	"ORWVUQSBALIYDGHPMKJNEXTZFC"	"FAMWHCYIPSTVUDRGOJXBLZKQNE"	2	6	6
"main"	22	"CL "	" oneCued "	0	" left "	"C "	"Z "	0	3	0	1	"WNMGOXPYUEQCZHLADJRTVKFSIB"	"PAIMULZYHQNGFWCXOEBKRJDVST"	"BWPULVJOYTRZDSGNCKMHEAIFQX"	"XEUBOFAZCIVNYTQRMWGJLHPKDS"	"KVZHTYMRJFONDPELGIUQAXSBCW"	"UENWKSFHRZVOPBAMGYCLDJTQXI"	0	7	8
"main"	23	"CL "	" oneCued "	0	" right "	"M "	"V "	0	5	0	-2	"DFJGWSAUERCBHYXNPLTKVOMQIZ"	"WKQEHODAICPBZUSMJTLYGRNVFX"	"UCEWAVGPFXLMDBKHRONZQYTIJS"	"WDAKYUCZILQHJTFSNOXGMBREVP"	"FCRLHVYBXAEIZUQKNPSMTDGOWJ"	"HJOPBKLWMSVREFXQZCYIUANGDT"	0	10	8
"main"	24	"CL "	" oneCued "	0	" left "	"X "	"K "	0	5	0	1	"ZUGCTFWOBMLKJEVPAXRQNHIDSY"	"QMWYUICBANVSZXDLOFPJKTHGER"	"WTXMKFLEIBJUANCPGDHOQZYVSR"	"WZLQGOMARFXJDTCEYHBUKSVIPN"	"YPXRSIWNGVOTBLZFKCMEQJDAHU"	"QITBULFKXNYWDMPVAOCHZREJSG"	1	7	8
"main"	25	"CL "	" oneCued "	0	" right "	"E "	"E "	1	2	0	0	"WDGEXUHKOJMBQYNTIAZRVLFCPS"	"LOACWTZYXFJURKIMDESHQVNPBG"	"JIFOZAELMSHDPXRCWGQBUNVTKY"	"JVPMLEQYHGKBUWOTAXNIRDSFCZ"	"MVBZQKRIOSJCFTHYLNUEPDWXGA"	"YQLPKRCEXTSVOHJUZIFMGWDBAN"	0	6	6
"main"	26	"CL "	" oneCued "	0	" right "	"C "	"C "	1	1	0	0	"JYCZNPIUKRGBLMFWDEHAOSTVXQ"	"RMDOZFCPEKIYAUHGTJVWSXQLBN"	"DZENXUMCFJTPVSIAKOLRYHBQWG"	"ERCQDZJGITBNLSAPYXVWOUFKHM"	"ZPVBORTGXUHDSQMLAFKEWNCYJI"	"HUXEPVZCGRSJNFAWBOIMQDTLYK"	0	6	6
"main"	27	"CL "	" oneCued "	0	" right "	"V "	"L "	0	5	0	1	"KLABXEYIPQFMNHSRGJDTOUCVZW"	"VXEPTGWNBKUDQCSIZYFHRAMJLO"	"WIUXQPBMOJKRTYGFVHAEZCDLSN"	"HWNBPGAUFOYZMLITVJEQSRCDXK"	"CAZVMHFBIOQNUYGDXJWRLPEKST"	"KHZQIMNDWLVEURATOBFJGSCXYP"	0	9	10
"main"	28	"CL "	" oneCued "	0	" right "	"C "	"C "	1	4	0	0	"UPNEVWCTAFOIQRDMKBZXLSHYJG"	"DNWVGCAXIMTQREYPOLZSJUBKFH"	"DMUVLBPZSYTJWFCNAIHORXQEGK"	"HVWJCZAOPYGEQKUFXDMTLNIRBS"	"SQORTVUACZKXIDHWNYFGPBMJEL"	"KLYZRAMVXBFSCJTQDONGHWPIUE"	1	8	8
"main"	29	"CL "	" oneCued "	0	" right "	"P "	"S "	0	3	0	3	"WMSGCRHODBLPEAFNYIJTKQUZVX"	"MEXFPZQJTISHDUCVGNKYBWRLOA"	"KNZUWIPTHOLFDCAEGXSRVQYMJB"	"QODHMYAJTSKRPUGVEZXBLFWINC"	"MVYKOPZXNCHWITJUEBDLGFQARS"	"FEUMYRXODKTWBSICHPVZJQLAGN"	0	9	12
