"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"EC "	" oneCued "	0	" right "	"K "	"C "	0	1	0	1	"PCHNRKSTJBXVIUMYWGLEZAQDFO"	"GBAPUZCKQMETVLIOXDSHRFWYJN"	"CFPXYSTOVDRMBHNZULGJKWEIQA"	"XGEDOCUQKWYSLMPTNRAIJFBHZV"	"FPHMSGAWCBZVNJIDEXLUKRYTOQ"	"PMHFWSZUJVNTQCAEGBLYXIDOKR"	0	6	7
"main"	21	"EC "	" oneCued "	0	" left "	"B "	"T "	0	2	0	1	"XFWRMGQBSOVPHJCAKYNUELZDTI"	"NHYGPXTSBWEIARZVQLOFUCKJMD"	"ZAQSNEJWVXTBCFDUHIROPKLYMG"	"JWFIXSTMABRQUONGVLEDYPZKHC"	"MNKLJVPHWBAIOEYURQZFXGCTSD"	"BNWDOFXTLZSJEHRVPAGIQKUMYC"	0	10	11
"main"	22	"EC "	" oneCued "	0	" left "	"X "	"F "	0	5	0	1	"QOHINEZPLXDGCKTMJFSWAYRUBV"	"FMCWDTLQYVSAPGBUZONJKIHEXR"	"PEGUKFDYRCQZLTXHWSIVJNBOAM"	"JKYBFPUWHGXVAQCILRETODMSZN"	"IBAXMCUPGRJHZVFNSEKYQTLWOD"	"OKEMSYZCDTFXVUJLQHWINBAPGR"	0	10	11
"main"	23	"EC "	" oneCued "	0	" left "	"F "	"W "	0	3	0	1	"SJCHGFIXLQWPBDYMKUTZNAROVE"	"KVIOCXPQYNMWGSEDAUZHBTFRJL"	"OAERCJWYXDMZHFGPQTNBUKSVLI"	"IHNZYVWFQAPKRMSBCGDJEXTLOU"	"PHRKJWIAONBYTSVMCXDGLFQUEZ"	"SKDRNTVEYLQMWXBICUHJAZFPGO"	0	6	7
"main"	24	"EC "	" oneCued "	0	" right "	"W "	"W "	1	2	0	0	"JXEZVWLQPCUKISAMNBRDHOTYFG"	"NPYCQJALIUFKREOTWXZSVGBHDM"	"YXJLTQCWHIVKMBEDSROZGANPFU"	"MUWYIOSPAGRELHTBNVJKFCDXZQ"	"ICESHPDVZRUFYBAOLMGKNTWXQJ"	"QOSJVHPNREXCFYIBTMUAWZDLKG"	0	7	7
"main"	25	"EC "	" oneCued "	0	" right "	"G "	"O "	0	1	0	1	"LNZBOQIDVUPTFCMAKHJXYREGSW"	"NLSPQDXJYTOGKABRWVZHFMCUIE"	"KBHRADXZVUWOGPNLSFCQJMEYTI"	"QLUDHSVMIWBCZNRPEYJXGKTOFA"	"FLXNIKQMEBJGSPZWCYTVDUAHRO"	"VNSYCGFTEALXMWQPOHZDRKUIJB"	0	10	11
"main"	26	"EC "	" oneCued "	0	" right "	"W "	"J "	0	4	0	3	"TXDABLNICOEMFKWHGYPQSRVJZU"	"LYIGTDQVXCJBWUNFKMOPZRAHSE"	"MIUPTNEOSAYBXZKFWCGRDLHJQV"	"AMOFTXIGSULWJBQDCVPZRYNHKE"	"CPFSZQRHXJAVWEBYTILNUOMKDG"	"RWSLICTOJKBVNZAHDXFYGEPMQU"	0	9	12
"main"	27	"EC "	" oneCued "	0	" left "	"G "	"M "	0	3	0	1	"HWMZCYSBIENQVFPKXLTARGJDOU"	"MNPHYOIJDFXLRCKTBSGEZAQVWU"	"PKAUQHLCRVNJXTWEZOYGDFBMSI"	"RZIFEHPJMGCTNOKALXYVQUBSDW"	"DIRGPZHEMTNLQOUFCAKSXJYBVW"	"BRYJSZEQNTUVLDKWGMOIFXAHPC"	0	8	9
"main"	28	"EC "	" oneCued "	0	" right "	"W "	"V "	0	2	0	3	"AGLBQEIHKPRUDSWFMZNVJCXYTO"	"QAPDOJHXCLRTSENFGZWBIYVUMK"	"EMUAZNYCVOKWSRXLGTIHFDBPJQ"	"KRZSTVUIWNYCJQXDPELGAFOMBH"	"FPRUZAOHTJLNYKWGQEXDSBCIVM"	"IMFDQPTBKOLYSJREHAWXUNVZGC"	0	8	11
"main"	29	"EC "	" oneCued "	0	" left "	"M "	"X "	0	3	0	-3	"OENWRYQIPZLKFXHBTVMGSDACUJ"	"TFPJCOMNUKZRYHSBAXWLGDVIQE"	"PMVGEDRYQCTIHXLBWKOASZUFNJ"	"URZAVOMPCXNTEWSJGQBHFLIDKY"	"LKWPOQTSYDHIREMUZNJAGXCVBF"	"UNGPTZOJAWXCVMKEDHBSLQFIRY"	0	9	6
"main"	30	"EC "	" oneCued "	0	" left "	"S "	"P "	0	5	0	1	"PTRBOUJDXVYSLQWZKMHINFGAEC"	"MSFEBYKGOJRXCNZIWDUHQTPLAV"	"TYDXKESGVHPRCUQFWIOZBMLJNA"	"SIZKQBEUFPRMWNCDJYLHVOGTAX"	"BUHGYXTOWPDVZAIEJSKRFNMLCQ"	"HLCIYAJPSODQETWRKNVFMZBUGX"	0	7	8
"main"	31	"EC "	" oneCued "	0	" right "	"A "	"A "	1	4	0	0	"KQINGERWLZJOVAMYHFUXCTDBSP"	"IYACBTLMERZXPKGDHVSNUOFJQW"	"YOHCLETQKISFUBMGXARDWZPJVN"	"JVNLAOXFYCEZDGITKUMHPSWRBQ"	"BDIUZSVPAYOLTNQGWFMHXCJKRE"	"QABDMIGHSJEOTUCLPYRZNFKVXW"	0	8	8
"main"	32	"EC "	" oneCued "	0	" right "	"U "	"U "	1	2	0	0	"XCTRDVEAYPUBNJHQMWOKGLZFIS"	"UJNVSDYILFZTCQRHPAWKBOEGXM"	"YQFMPJSTBUDKROZEXLGHWVCAIN"	"CVQNGASRDPLEKZIFTOXMHBJYUW"	"ETWKVXHSJNCRGZFQBODAUPMLIY"	"CRNYOTLXIUASPMEWQHFGZVJDBK"	0	9	9
"main"	33	"EC "	" oneCued "	0	" left "	"C "	"F "	0	3	0	1	"FTEHWNUIGCOYVRSLXDZJAMKQPB"	"YIPQZBUHNFSXDVGAKMJCLROWET"	"NOYWTRKHFBXLACDPMJZEVUISGQ"	"ARTMYENFCVQUHBSZKJGXDOPILW"	"LHUOCKNAEMFZQSDWBIXTYGJVPR"	"CHQNTAFSZRLGUXPBOEMWKIDVJY"	0	7	8
"main"	34	"EC "	" oneCued "	0	" left "	"S "	"S "	1	4	0	0	"TBMOYJXQAFKGEIRUVWLNDZSHCP"	"ISFYVTCGZPEWQOAUBKMRJHDXLN"	"JSGWEYKOPDMBURIHLAXZCFVTNQ"	"YTJESLZAXGBRMHKWIUQFDVPCNO"	"MLPNICBHSAOGFWUZEQVXTKRDYJ"	"UCYTEGQZDHFXMSNWPKAJVOLIRB"	0	8	8
"main"	35	"EC "	" oneCued "	0	" right "	"W "	"W "	1	4	0	0	"GJROXWKDSVZCNMABHPFLTEQUIY"	"RLIFSOENQBJVCUXAKYDHMGTPZW"	"GOYWRDUQBLIHZSAMXPJCFNKTEV"	"TKWHJXOYINLSBRDQGPZEUMFCVA"	"ORFCJUXSTAWBKINYQPEVZDMHGL"	"VKFXBCRLNTQEHUJYPSIODZAWGM"	0	10	10
"main"	36	"EC "	" oneCued "	0	" right "	"B "	"B "	1	4	0	0	"EQCYRIHGASVWPFDZTOMNXLJBUK"	"NEZCRJTFQDXOVUHWPYLKMBAIGS"	"FXTRLKYWPCQHGOUVJMEZSBANID"	"IKTHLOCESRGPFMXUWNZDJVYBQA"	"DWOTEHBGIYAKSMXPJZULRVQNCF"	"NTYIEQPXFWSARVBOCGJMKHDLUZ"	0	6	6
"main"	37	"EC "	" oneCued "	0	" right "	"M "	"P "	0	3	0	10	"VDSTFYQAICJXGWONRKMEZHLPBU"	"XVUHEYFRPANOTDGBLICMKZQSJW"	"EMJLGDVZUNYOKFBSQARPXITWCH"	"FLGBSOAPHDZKJXWEVMYNIQTURC"	"PNXSMRZJHWCGYIEKVFLDQAUBTO"	"NLUGTMXPCJZFQOEIAVWDYRSBHK"	0	7	17
"main"	38	"EC "	" oneCued "	0	" left "	"X "	"Q "	0	1	0	9	"RQDJEAXUMCHNFWYSLITOPGVBKZ"	"PCDOVUHAMQYKNWGIRZXJSFBETL"	"TNVARXBYSDQLKCZOHGEJWIFUMP"	"CGYMOLNDARQTSUIXFVEBZWHKPJ"	"DPUSHOWMNRKGBCEJTYXIAVQLZF"	"WRZGAEIMQBXUFLPOCSVHJTDYKN"	0	9	18
