"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	13	"WN "	" oneCued "	0	" left "	"Z "	"Z "	1	2	0	0	"SEOUVXDRGWKZLQIAYBFHMNPTCJ"	"NQFAPBOELHVUZJYXGTMSWIRKDC"	"JVBNTCYFRZOSDWGXKMLAIQHEPU"	"QFPTCGDLYNVKSEZURJIBOXAMHW"	"TYWEULXHIGJZRQANOPDBCVMKFS"	"XBGYSCUOFNEDKRZHPQIATVWLJM"	0	9	9
"main"	14	"WN "	" oneCued "	0	" left "	"U "	"U "	1	3	0	0	"EHTZVJQOLIXGFDWMBUCNPYAKSR"	"GDELTPWVZAOBCXFNQYRHJUSIKM"	"HZYSUWIQMTFJONDXEACVGRBLKP"	"ENMKHBRVAJULSTCZIDWOQXGPFY"	"UVXZCQPRFKGDOSNBLWEHTAJYMI"	"KRGBVYHFPLMOEWQNADCJXUSTIZ"	0	10	10
"main"	15	"WN "	" oneCued "	0	" left "	"K "	"Y "	0	5	0	1	"QYZVDWGRJNKFOTBSHUAILCPXEM"	"YBWCFZPQANEKVUXIRMOJGSTLHD"	"MLEFJBSXTYDRGHVPZCAWKUQINO"	"CKUMSLPRQAJVGDOWNFIHXYBETZ"	"OUBQGWLTICVXRAJPFMEKSYHDZN"	"SQPRZEWAYKHNGUODXBMTVJFLIC"	0	8	9
"main"	16	"WN "	" oneCued "	0	" left "	"A "	"A "	1	2	0	0	"DSJWRCQTZMHEOYXIVGLFAKNUPB"	"ZBGPTCWVERAQFUHKMIJYDNSOLX"	"OZYLCKUAIXRVBPMGDTNHSWFJEQ"	"LGJRMTFDAZKXUBOPCEWYHVNQIS"	"PQNURJLWXBECHKMIAZYTSDGFOV"	"OUZGNBMLDCIXPHYAFTKQREVJSW"	0	7	7
"main"	17	"WN "	" oneCued "	0	" left "	"Y "	"H "	0	5	0	1	"FITXYASJEDNVULWBKQRCPZGOHM"	"BFHZJGVLYCXWNAOQPREMUISKDT"	"GPEILHDKBQFVJYSUTOXNRACWZM"	"UIOWQCKDJVTMHLANRPZSXBFEGY"	"IOZSDMTLVXFNKRHWYUBCPEJAGQ"	"BKCQLUVHYOFRMNTGEDIAPWZXJS"	0	7	8
"main"	18	"WN "	" oneCued "	0	" right "	"N "	"K "	0	3	0	1	"POSZTICRJNVEQWFKXMGHADBLUY"	"ZLNCHQPYAJFKRDOVIWTSBGMUEX"	"FXPEMKQGCLWSJONBAIUYZDVRHT"	"WUOQDALXYKNZPITHMESRJFBVCG"	"ERJFIAUDYVOSGXNKMHLCBQTWPZ"	"JMTGYPBWIOXNLHFEUAVZCQRDKS"	0	9	10
"main"	19	"WN "	" oneCued "	0	" right "	"Q "	"Q "	1	2	0	0	"NYPLMKGBJXODTICSZVEFWQHRAU"	"DAROVYXQSFUIHBWGELMKCTNPJZ"	"AEGNHXQYITOZRJVBLSKFMWDPUC"	"CXLYEIZOAQFPMHTSDBNWJKVGUR"	"NUXAMTGREYKWLSOQFDJIHZCVPB"	"HSJONGPWTEVYLZKFBIQAUDRXCM"	0	6	6
"main"	20	"WN "	" oneCued "	0	" left "	"P "	"P "	1	5	0	0	"BVXPNFIOAKUJLEGTHQYSRCMWZD"	"YZMNTKLOBXAPCRFWGIDHQUVSJE"	"XGNCJVZMOBHPSTALYEFQKIURDW"	"FXVKCNGQASYEJRHIPTLOMZDBUW"	"XSCIPKDYVWEQHUJTGOLMBRFNZA"	"ZOEICTFMPDRNVLBJUQHAKXWYGS"	0	8	8
"main"	21	"WN "	" oneCued "	0	" left "	"S "	"S "	1	5	0	0	"MNBPCUJQEHLYXRAGTZOSVWFDIK"	"OJXCHRGZTQBKDYWVPIELFNSAMU"	"GROCLDQZBKXEIUSAMYPJTHFWNV"	"IOEZJSVWYUGBTLPMXRCHFADNQK"	"SDHPWULOFIVAJXYQCGZEKBNTRM"	"CNMYZFVQESALBUIHGTROJKWDXP"	0	9	9
"main"	22	"WN "	" oneCued "	0	" right "	"L "	"L "	1	5	0	0	"QZRABOTKHPNWYMIJEFULCVDSGX"	"ZAGLUNJYWVMQBKCFTOXSDPEHIR"	"NLXVRWAHFGMKUIQTBSCJODPYEZ"	"RYHXQSGUZCLTPVBMEAWIKFJDNO"	"KAVRJQEUDSCPGOBWYHMXIFZNLT"	"RFTGBWYPLDKQNUJSZXIAOMHCVE"	0	8	8
"main"	23	"WN "	" oneCued "	0	" right "	"L "	"L "	1	0	0	0	"WCSOYRQFDLIGTVEZXNBAKJMPUH"	"TNWBDOQUHKPFMLSJVEZGXIACYR"	"TUEVMZFIDOGHJXRWSNYBQLAPCK"	"XSARKQGUOJYFVPNTHLCWDIEBZM"	"UMZLEGHTRFBAIPWJYDSKQXOVCN"	"FKOZDNBGJICEXWQTRPSMAUVLHY"	0	9	9
"main"	24	"WN "	" oneCued "	0	" left "	"R "	"R "	1	1	0	0	"HMWEDSKFCYGNVTIUBJXPQAZLOR"	"ZHEINXQFOGRVBLPUKYJCSAMDTW"	"WCGFLABRJXKTVQIPODSMUENZHY"	"DVKORLUSIFEBYHTGNCJMXWQZAP"	"BWDVHEKQZIFYGJMPXRAOSNCTLU"	"QWRNPHGIVBAELKDSXMZJUTOCFY"	0	10	10
"main"	25	"WN "	" oneCued "	0	" left "	"Y "	"J "	0	4	0	2	"AHUKFDWNJGCEQIMRTPOLVXZYBS"	"DVGXCPHQNJAUZLOIETYRSMFKWB"	"TBPXHNMVJQUIZFAKECSROGWDYL"	"VGINELCJAFWSUMTDKORZPXBHYQ"	"HFIOBCJUYQMGWZSKXDEATLRNPV"	"EIGBMYALOSUQNZFRJHDPXVTWCK"	0	6	8
"main"	26	"WN "	" oneCued "	0	" right "	"M "	"O "	0	1	0	-1	"UDCOTEZBRVKMAGXJIYWLPSQHNF"	"IXNCETGHMOWYKPLDBJZVSURFAQ"	"SIPXETFAOKGJWZLBQHMCYUNDRV"	"LXUWRIKFZTBPHCDMQYOASEJGNV"	"VQAYDNZOMJELWIXRGKTSCFBPHU"	"SATYWFIPOZCUMLDXRJVBHKNEQG"	0	9	8
