"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"IT "	" oneCued "	0	" left "	"X "	"S "	0	0	0	8	"UHNJKTMDSYAPEOLQXBRGVIWFCZ"	"SVWTXABYJCFIUONQDKZMHLPGER"	"NEGIXSWMORLBAPZYFDQUCVTJKH"	"APQNTUZRJKWVDLYSMHIOXBCGEF"	"DMAFPWLUZKTRHYEIJSVCBXOQNG"	"SYXOJGAEDURZVHCKBNMQWILTPF"	0	8	16
"main"	21	"IT "	" oneCued "	0	" left "	"A "	"L "	0	2	0	3	"XHZEAMGRNQPWKFYTLSVODUJICB"	"STWMDGOBKYZIEPXLRCJNVFAHUQ"	"SFDXCNRLTPAVJIEKYUMOBWZQGH"	"YFDWKCNOLHMQGZRUEBTSPVJAXI"	"TNIDXKGEOCHPWZABQLRFUVSYMJ"	"DCOPYWGQRFENATHMJKUZLSBIXV"	0	7	10
"main"	22	"IT "	" oneCued "	0	" left "	"M "	"J "	0	4	0	1	"WOYVLFSIKTNDJZXREPBMGHUQCA"	"KBDLMXCWIUGATVSZJPEFQNRHYO"	"STARZPYJQCBHNEOVUMKLFXGIDW"	"QNYCFVUAZOLIMPRDHJWTXKEGBS"	"UEFVYOBHIJMAXDZQPKRSTGLNCW"	"GLTYDNKSARZXMIBWCPQFVUEJOH"	0	9	10
"main"	23	"IT "	" oneCued "	0	" right "	"S "	"P "	0	5	0	1	"UNMQGOIXSPBHAYJDWZVTKRFELC"	"BPAWVOYGJKQUSXMDNHRCEITZFL"	"FTSUXQKLRVIHJMOBZGWPADYECN"	"PKFSQUNBCIEZVJROLDHTWAMXGY"	"KOALZHJNMXCRQYUVFIEPDBTWGS"	"DTFWJNYPSEKQAMCLHVXOZURGBI"	0	7	8
"main"	24	"IT "	" oneCued "	0	" left "	"D "	"Y "	0	5	0	1	"RFDCPHTVSBXGEYJLWOMNUZQAKI"	"CSXYIRJGUKPNELTMWDABQVFHZO"	"NZTRMDXKBVIFWUQOELHJACPYSG"	"CFJOLXKZINABEYDVUHSMTPWRQG"	"BGHWLRFKVZNMYQTJIXAOSPDCUE"	"HGIOPKSBXYDEJZVMUCTRNQFWLA"	0	9	10
"main"	25	"IT "	" oneCued "	0	" right "	"B "	"Y "	0	2	0	1	"AHWSYJBTEDXZOVQRNILGKCPUMF"	"VDZONUIRWEGSPHAFCMKBXQLTYJ"	"NRGKVFAEYBCIUXDMTZSQLOPJHW"	"RYSUWVKJCQIOPFZEATMHGDNLXB"	"YLXFMGRUZNPSDQOJHBKICWEAVT"	"VFHCWNUOABLIXSDGKMYZPTQJRE"	0	8	9
"main"	26	"IT "	" oneCued "	0	" left "	"P "	"O "	0	5	0	2	"WYSDXCNFUQBPLMGIVKHJZAREOT"	"TIMPVCHODQLZGREXNSBWFAUJYK"	"VZOLRUADPBTFISEWGQXYNHJKMC"	"ZHCJWRKQMLFXGDAOBYVSUPINTE"	"QTEZJWLMIFNHAUOSKVDBYPCXRG"	"KARDIWONPTLJZVXMQUECFGBYHS"	0	6	8
"main"	27	"IT "	" oneCued "	0	" left "	"K "	"S "	0	0	0	1	"HGFULYOWTMSKEBAQVDCPIJXNZR"	"PVEBXALTCMIKOJQHGNRDYFWSUZ"	"LOMUNTXZRCQHABPSJIWVFKDEGY"	"ANEBFXJTRWUMGHKZCDYPILSVQO"	"EQFYBPOKJZLXUINHAMCDRWVTSG"	"UKYOJFMPWZHDQCBIRVNLGEATSX"	0	10	11
"main"	28	"IT "	" oneCued "	0	" right "	"W "	"W "	1	2	0	0	"CWJITQMBEDOHAGVKFRXNYLZSPU"	"BHWUTPLRNSQIAYKJMFXVCDGZOE"	"LQYTHIKNCAWPUSEZOFRMXJGDVB"	"LQKXGFOVBRNPZDETSHIYAWMUCJ"	"YSXKZJHMNFTPAUQDCVOREILBGW"	"ZUVNBHDJLARQWFXKIYGSPOMTCE"	0	10	10
"main"	29	"IT "	" oneCued "	0	" right "	"X "	"K "	0	2	0	-1	"YNOIKSZPBDJXRUVEACTMGFLQWH"	"COIMYSLHGXWBFKAPZNDUQJVETR"	"JRAZUITWXKQMBCNYDLFOGSHEPV"	"HZVBOWJFPRYUKCEGNLIATSDXMQ"	"DCALQVTPJUYGHEMIXKOBRNFSZW"	"FSPYMLGDJIUXQKNBZRCEVOTWHA"	0	9	8
