"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	20	"SH "	" oneCued "	0	" right "	"C "	"B "	0	4	0	2	"LBGYCHOZWINSMAQPEDKTFRXUVJ"	"RWHOAFVCTDZYMKNSQEGLPBJIXU"	"FYBDSELXPTZJHRUNOQVWMICAKG"	"IBPQENAXHRJLFOMGTYVSKDWZCU"	"HZYRIUFBTCJWQGEVOAKPMLNSDX"	"XDKFIOZTMCAGLYRPVUHNSQJWEB"	0	7	9
"main"	21	"SH "	" oneCued "	0	" right "	"A "	"A "	1	1	0	0	"DUNXPHMFKVBLSROEAQIZTWGJCY"	"KTBQDFYGHIAXLSWNRZMECJVUPO"	"VTDLFCHJYIZNSWRUBXQMPGEOAK"	"WPOEJZMUKRNTLYQXVHIGSFDBCA"	"QYJDLKOVWTMAPHFNEISRXUGZBC"	"MAJYTWGPDRVBFZNILKQUOSXCEH"	0	10	10
"main"	22	"SH "	" oneCued "	0	" left "	"R "	"F "	0	5	0	1	"JXHUNYORBTDZALSQEGCVKMWIFP"	"RUXDOBKQPAFCLSYMTIHNWZEVGJ"	"WDQVSFUHNJRCZOXAMGKTLYPIEB"	"TUNGDAEHYOXZSMLWJQBKIPVFCR"	"AOUGLYIWSNDPFZMTHQEKBXRCJV"	"NBDYMIFRVJLPSZHOWGKQCXETUA"	0	6	7
"main"	23	"SH "	" oneCued "	0	" right "	"R "	"O "	0	2	0	11	"SCNXOPZGIVDHJWTMBFERYAULQK"	"RZVFEHDXKWQUAPYOLBGTJNISMC"	"CKZLFGHODVUNXTASQIRMEPBJWY"	"LCBSNIDJGKAHEYZXTMOVFPWUQR"	"VUEBLXOKTZPHAQNGRYFJWSCIDM"	"IUKRDLAJTPQCMVNYBSEWXFHGOZ"	0	7	18
"main"	24	"SH "	" oneCued "	0	" right "	"W "	"L "	0	3	0	-1	"WPSHRGXMAKQFUZDETCBLOVYIJN"	"PCAVROKTWNBFYXGLZHIMJEUQSD"	"XDSORQPKIWLGMBEUJHVZYTANCF"	"FBXSMWLOIETDPVUYACJGNZRHKQ"	"YNMCLOTUADIBVPKHSGEXJWFRQZ"	"HDZYXVWGUOISNCERABPLTMQFJK"	0	6	5
"main"	25	"SH "	" oneCued "	0	" left "	"A "	"A "	1	1	0	0	"GZMOIBPWQYFNVTDKLREUXJCASH"	"UWGXJOBAFIHZRYLDNPVQKCESMT"	"DBWUPQIRZOHKTLMYGASVNCEFXJ"	"KOZYQNCEULVAIWFXSBJHDMRGPT"	"EDGNIJAXPSKRUBMLHQCZVTOFWY"	"SJMHXANLCOGTWREFPIDBYUVZKQ"	0	7	7
"main"	26	"SH "	" oneCued "	0	" left "	"T "	"D "	0	2	0	-1	"VDFBYSOMCEIZAGLHRNXWTKPQUJ"	"TLOYIBWPVDKQJCFUSXMHAZRENG"	"HLQIYATDVBRFSJCWPXGMOEZUNK"	"CMLZGXVQHPWJFEIDRATSUNYKOB"	"DHOMYQULNCXZFEKIPABVTJGWRS"	"TUOZRCVPLQAWJXDBYSKFHEINMG"	0	7	6
"main"	27	"SH "	" oneCued "	0	" left "	"D "	"L "	0	2	0	2	"ZHJNOCQETVUXRLYISFAPGKWDMB"	"JPTOADGVKFEBRSUYCZHLXQWIMN"	"RGWCMTOFVQLPDNAEJXYSBZUHKI"	"FBMIYZERAPVQOLSJDXTNKHCWGU"	"UPWSKJDCGHFBEMXTNYAZLQRVOI"	"UEGWVORBTZAPQLIMXKJYNHCSFD"	0	10	12
"main"	28	"SH "	" oneCued "	0	" right "	"G "	"U "	0	0	0	2	"ZXLOVCKEHPUNGDIYSBMJQWARTF"	"SCKUWIZEHNMVGPLDOYJAQXBRFT"	"VFBWHQRNTLGMSDYZCKEIOJXUPA"	"KVZBDPLOCNFIARSGHYMXQWTEJU"	"JVDUWPMKCGNAFQTOZBXRHIELYS"	"HNBKEOSPTWUZFQMCXJIVDRAYLG"	0	10	12
"main"	29	"SH "	" oneCued "	0	" left "	"Y "	"Z "	0	2	0	1	"SYDHPQBMWAKRJUZTOECVNIXLFG"	"JOTHKVREDMWCQLGNPIYZBFAXUS"	"BKWGREASOCZYPVILJXUDTHFMNQ"	"LUYEIHVQPWRBCOSDKFTAGXMJNZ"	"HAJROZIFSCMTWUNPVDGLQEKXBY"	"XZLESUHVFIJNDQRBKAOGYMPTCW"	0	10	11
