experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	CLEye 	 oneCued 	 0.0 	 right 	 8 	 225 	D 	2 	C 	0.0 	0 	0 	2.0 	HXTZFIWSGCMDKQEOJULNBPVYAR	QTRJVENLXKUWDBPMYOCFGZSHIA	DHPBJTCNLRUQFOGVSYIXKEWAMZ	BYLIAFOTPUHKRGDNJSXVMQWECZ	LGCHYTBPMUJEOFWVANXQZIKSRD	SIPXFJLGZTQMCDAWVOKNRBHUYE	KLWEAUFVRSPQXNOHDITBMYZGCJ	ZONDWCFEUVBYJITHSRLQAMXGPK	0
main	1 	CLEye 	 oneCued 	 0.0 	 right 	 8 	 315 	H 	2 	Y 	0.0 	4 	0 	1.0 	VDHAMBIYSCOXLFKTERQUPGJZWN	OMRWJDLISBZGKAYQFECNHUPTVX	EGHJBLDOMRSQNIAYCXVUTWFZPK	BUCOXVFLDGEWKHRISPTNQJZYAM	VPCLZEKSDXYHRMUWTOBAGFJQIN	PAXWREDVIOHJFKYGNSTCLZMQUB	TECNPGJSKHZBVMWYQUDXLAOIFR	UBXYACHJPIDFMOGNTLWQVSEKRZ	0
main	2 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 90 	I 	2 	I 	1.0 	1 	0 	0.0 	PGBRKMDEUFOYNZSJHWVCAQTXLI	BDGJVZTQIXOAHLKUCESPRFWYNM	-99	-99	-99	-99	-99	-99	0
main	3 	CLEye 	 oneCued 	 0.0 	 right 	 8 	 315 	G 	0 	W 	0.0 	1 	0 	1.0 	XPZEBJDFURKNSMVYCTQOHAGILW	XMIJKRULWGQHAFBDEVSYZOCPNT	OFBSYZEWHKMNVPGJQCUADILRTX	BKXVQRYDUGTFPWNCZAHJEIMLSO	PKRYDHLVXFMOUAGJIQZSBCWNTE	ZGPLXHJVBWKYIRUDNCEQASOFMT	YHLPMUEXIBSWGJQKVDNAFCTORZ	IUZQJACKTXWMDNFBYLOGPSRVHE	0
main	4 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 90 	O 	2 	T 	0.0 	1 	0 	1.0 	WZHMJOFPECBDNTRLXYVAQGISKU	YMEGJAFSTOVCZHIXRPKWULNQBD	-99	-99	-99	-99	-99	-99	0
main	5 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 135 	C 	2 	Y 	0.0 	1 	0 	2.0 	ZOTENRALXUMIHCSYFJQPWVDKGB	AVQUOLXKYECZGWRBMSDIJPNTHF	-99	-99	-99	-99	-99	-99	0
main	6 	CLEye 	 oneCued 	 0.0 	 right 	 8 	 225 	Y 	2 	W 	0.0 	5 	0 	1.0 	OHIBDWNTFPJKRMLZQCEXGYUSAV	CRDNVZXSFBIPELWMUAOJYKGTQH	RGUESOPIQWLHTCNZAFVBJDMYKX	CXZIHVOSNTUQDEBJGRAMWPYKFL	IKUYBFEJZHRCPQXGVDATLOMNSW	AOHTQMUWYILNVDKZRXCESGJFPB	ZVUNOBKFICXHYAERLWQPTSJDGM	MVBKOYUEFXCDGHARWIQTSPNLJZ	0
main	7 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 45 	M 	2 	Z 	0.0 	1 	0 	8.0 	GDZXFOYTVMNHJRLIPEWBCAQSKU	ATGOBKCQRZNVJSHWYMXIDPUELF	-99	-99	-99	-99	-99	-99	0
main	8 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 225 	G 	2 	E 	0.0 	1 	0 	2.0 	AQUKNHBDFOMVRCJXYTIEZGLWPS	YUWAXDSNCEMGKTRJLFBQHPZIOV	-99	-99	-99	-99	-99	-99	0
main	9 	CLEye 	 oneCued 	 0.0 	 right 	 2 	 90 	E 	0 	Z 	0.0 	1 	0 	8.0 	JRWFZQAIYBXLNPUSKCMETGHDOV	LUOFMBXHJIZWGPQAYRECTDNKSV	-99	-99	-99	-99	-99	-99	0
