experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	C 	2 	Z 	0.0 	2 	0 	1.0 	ZIWKHJVPYGFRQUBTOANSLMCEDX	AJSRCPBXDHIMGQVYLTEFKUWZNO	TEMIDVJWAFZCOLPQUYXGSBHKNR	ZVUQPAHEBFIXOCDSLYNTGWMJKR	FOZQJKLASMWRGTYPHUCBVDNEIX	USYHWKJCVPONABGZDLIETQXMFR	DCVYHLAKQFEPSGXWRNZTJBOMIU	LASCEPGIFTBZHORDKYUVWQMJNX	0
main	1 	AOH 	 oneCued 	 0.0 	 right 	 2 	 0 	R 	2 	L 	0.0 	0 	0 	1.0 	XEDHQKTFLRVUWOJYGINPBMCSZA	VPDEZLRGTQWIHFBCXJASOUNMKY	-99	-99	-99	-99	-99	-99	0
main	2 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	R 	0 	M 	0.0 	1 	0 	-9.0 	KXDBMULEZGNWJPSTHIOYACFRQV	KRJHFGUIXOMPCTWBNLYVZESQDA	-99	-99	-99	-99	-99	-99	0
main	3 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	J 	0 	G 	0.0 	0 	0 	2.0 	ZPBQESGAJKUTVDLIFWNROHMXYC	SCAZBPFJTURGXMNIKEDOQWVHYL	-99	-99	-99	-99	-99	-99	0
main	4 	AOH 	 oneCued 	 0.0 	 right 	 2 	 315 	G 	2 	H 	0.0 	0 	0 	3.0 	QFLRKIHCMGBDYENJWXUZAPVTSO	SRMOHZGJBWNTDFEAUXLICQYVKP	-99	-99	-99	-99	-99	-99	0
main	5 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	X 	0 	B 	0.0 	0 	0 	1.0 	TZJYAPUKSBXIVHGFNWCDMOQRLE	HIUNVFBDZYXMPLKRJTQAEWCOGS	-99	-99	-99	-99	-99	-99	0
main	6 	AOH 	 oneCued 	 0.0 	 right 	 2 	 45 	W 	2 	T 	0.0 	1 	0 	2.0 	RUQNCJVDOBZTXEAHPKMYILFGSW	CLZRHGXKFQTVWEUNOJMSYIBPDA	-99	-99	-99	-99	-99	-99	0
main	7 	AOH 	 oneCued 	 0.0 	 right 	 8 	 270 	D 	2 	U 	0.0 	7 	0 	9.0 	NZVUPSQKTHEYJBLWCGIOFDMRXA	WPYFHQTDRAICJUEOKMVSNZLBGX	MAGWKRUPNOEIZLFQTDHVBCXSYJ	YJNTGXRKQDMHZAUOIPBWFVCLSE	ZUSVDOMYQPBLKNFWRATGXEHCJI	GYLCRNBHDPISFTOUQWZJVAMKEX	AMRQUDYWFLCKSBZVGOEIXJPHTN	RKBYGMQUOSWLIFZHDJPCENVXTA	0
main	8 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	W 	2 	J 	0.0 	0 	0 	-4.0 	CGWUQRJPMINSFEXLVDKHOZYTAB	YAPCVGKHTJOFEMILUNWBQXSRZD	ORBLHTYKXSCGVFMAIUJZDWNQPE	QBMETSHCOUPLADXVRGKYFJNWZI	TGAXNQHPRZECDUBFJOIKYSWMLV	SEMCBQVZNOFXYWGJRKPADTHILU	DYXQBMRTOUPSFEAWCJHGLZKIVN	MLBDYEZJFPVQUKCOGSHXNTRAIW	0
main	9 	AOH 	 oneCued 	 0.0 	 right 	 2 	 180 	B 	2 	G 	0.0 	0 	0 	2.0 	RLZYVTODXGQBFUPCKSEHANWJMI	KMJCZGABDQHEOFVXLINYWUPSRT	-99	-99	-99	-99	-99	-99	0
main	10 	AOH 	 oneCued 	 0.0 	 right 	 8 	 180 	V 	2 	L 	0.0 	0 	0 	1.0 	OGDMJWSZXCLVUFQHIAKYNPRETB	CLPQGOKNUTWSJAVYIBXEDHFZMR	PLKGQUXSENYOHIAWTMFBCDVRZJ	WUOYBCXNIZRJHDPLTKFASMQGVE	QBDOIATWHZCEPKLMGUSNVRJXYF	DCJZHOEIQYMSBRTVAWLGPFUKNX	QKXLFOUNAJEPWDTSHRIGVBZYMC	OIFXQGMRHLCWYUABSJEVZNTPDK	0
main	11 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	W 	2 	Z 	0.0 	4 	0 	2.0 	WHJVRQBPLTAFXCNMOZIDGUYESK	JBLEIQMYVDXGHCNPUWSKTFROZA	XFYWQSBJTPZRCDUVEIOAMNHLKG	KBLXJUDCRHSYNPWMZVEGATFIQO	UECIATDZJWVKLNFPMQXBSHYGRO	HRXKLPNMVEOCTYFBSIGAWDQZUJ	VNHXLUFGBKJTPCEZQMAODWYSRI	ZGUROXCPIAWQDKNBYEFTVLMHJS	0
main	12 	AOH 	 oneCued 	 0.0 	 right 	 2 	 315 	P 	2 	O 	0.0 	0 	0 	1.0 	TXSBQRJKEVOPDWLIHCYFAUZNGM	XRBFUQYVCDOHEINSWAJTMGZLPK	-99	-99	-99	-99	-99	-99	0
main	13 	AOH 	 oneCued 	 0.0 	 right 	 8 	 315 	N 	0 	J 	0.0 	1 	0 	2.0 	QCOSVGHXKDENMRZYBTLIPWJFUA	SCMGIUJLNZBKYRFXQPAHOVEDWT	SVEKPUGBORDAZWXMLNCIHJFYTQ	UAYWRVNPMXHDQKLOSEZIGBJCFT	WFIKLSZUCEVPRTJMQGOXDNBYAH	GHDJSWMEAULKQTBNXVYOZPIFCR	ODPTSXJRZVLFNKCYMQBIEHGUWA	TKSOFQDHGCWJVBARZYPELUXNMI	0
main	14 	AOH 	 oneCued 	 0.0 	 right 	 8 	 225 	E 	2 	T 	0.0 	7 	0 	1.0 	FUJLYNODXSVRZQBPICEKGTAWMH	PWSIHFZORTLBQKNVADGCUEJMXY	USENMIDFBCLPGXOYVKARHZTWJQ	FNQTSVXYUCEIGMWPKHLRDOBJAZ	XECANYTBSQJPHGZRMKOVUIWFDL	YWOVGSKPBCLHEQADUNZTRXFMJI	MLKZVSCRDAWUOHYXBJGNQTFIEP	RIVGBQTELDJWHKPOMYUFZSCXAN	0
main	15 	AOH 	 oneCued 	 0.0 	 right 	 2 	 135 	R 	2 	V 	0.0 	1 	0 	2.0 	CDWXNFGVBYZTSJIPLAQHREMUKO	AMLQDYTOSNVURHPBZXGFJCIEKW	-99	-99	-99	-99	-99	-99	0
main	16 	AOH 	 oneCued 	 0.0 	 right 	 8 	 0 	M 	2 	Y 	0.0 	7 	0 	1.0 	UBQTFYLEGXIHNVWCZDAPORMKSJ	QKJTNOSEHAFXYDMWBUPGZLCVIR	MAZCIGFYJTEBSUVNROWDKHLXPQ	AYHXFPVZOUNJLQDETWKMGRCBIS	UWDHYAGILJPFZNBCVSQKOMERXT	GDYVQMCSWJRNPZAOBIEFKHLXUT	OHYXIFLTNCURKZWBMSEVADGJQP	QILEXVHUKYMAZOCTFPGDJSRWNB	0
main	17 	AOH 	 oneCued 	 0.0 	 right 	 8 	 180 	S 	2 	P 	0.0 	3 	0 	2.0 	KCBRFTQGAWIZMVOUYELHJNPDSX	WPKJZURXNMDFHBVTESQCLIAGYO	BRPXYEOWKQIAZHJMGLUNFTDCVS	MLDYOIRPASTEXUZGVQBCHJFKWN	FZDAPQJKLVHXBCOSGEUYNTWRMI	HPIVLKASZTNGRYOXWDQJMUECFB	ZPCUJAYFOXTSELMIQNRBKWDGVH	MHTGNLRZDPXKYCEJBIWQFVOSAU	0
main	18 	AOH 	 oneCued 	 0.0 	 right 	 8 	 180 	Q 	0 	T 	0.0 	7 	0 	2.0 	LGTDNQZPXKAUYHRMBFEOWICSVJ	TLMKHCSDOGEIXVNJFYAWUBRQZP	XBARULHSVYQKZIEPMWTDJGNFOC	UABPKZHLQTDSFXYNWRIVGOCJEM	DHAVULBZJGYWNPFXCQRSMIEKOT	CJDSRVIKYUTZFNAMBHPQLWOXGE	OFZGUWJTPKYLEQMBXRVCADHINS	LDKYSEFBPTMQRJAWOGNIHVXCZU	0
main	19 	AOH 	 oneCued 	 0.0 	 right 	 8 	 90 	A 	2 	B 	0.0 	4 	0 	1.0 	VSIPKBHEZMYCDOXRTNFQALGJWU	VNSEITGUOPCDWYXZFJHMKBRQLA	NBEFTSKOUJDXHPARYVLWQZCGMI	WBSDHUJXCZOKIPAVQMLGNTRYEF	IHWMDGVLBAQSXOYKNECUPRTJFZ	YPADVTOKUZCNLSRBIXWFHQGEMJ	VLOZHYMURNFSAWPKTEBJXCIDGQ	DBEVFNCJKQYPGWMILRZOHUASXT	0
main	20 	AOH 	 oneCued 	 0.0 	 right 	 8 	 135 	R 	2 	I 	0.0 	4 	0 	1.0 	MAZSRVYLIWQBDHNUKGTOEJFPCX	VHJKGRAYPELWOQZSNUCMBXDFIT	RPJTCENOIGWAMVLUXDQFYZSHBK	EUAXZLDGMRIWFOSHJCQKVYTBNP	GPYNZUHCIRBJALEMKOFXVQTDSW	QKATHDIBPWNVRJMELFZCSGUOYX	MIQURBOEAWSJTKXLVZDHNGCPYF	PTJVNKDGBCYLRIAMHEXFUZOSWQ	0
main	21 	AOH 	 oneCued 	 0.0 	 right 	 8 	 45 	E 	2 	J 	0.0 	3 	0 	2.0 	UZHEJDLCRYTGSOIPBWMFXNKVAQ	BYLGPRVNSCJXOWDUIKQZFHEATM	CLGXMKYEVRWIFQPTABJDHSOUZN	WKSZTXLCJIEBYAPRFGQOVNMHUD	ACPRMIZHWDNJYSUXOTBFGKLEVQ	MWVOTSIHDFRGNPUKZXALBEYJQC	COXQEAHUPLZVYWKSJDBTNRIFMG	AWRNUDQEFZSLGKOCHPVIYBJXTM	0
main	22 	AOH 	 oneCued 	 0.0 	 right 	 2 	 225 	H 	0 	N 	0.0 	0 	0 	2.0 	IBTFMUOELKNXHRSWGPVJYDQACZ	OUZSKQIRBHNDLVAPXECWYJFGTM	-99	-99	-99	-99	-99	-99	0
