experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	baseAngle	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	streamLtrSequence18	streamLtrSequence19	streamLtrSequence20	timingBlips
main	0 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 256.458049936 	R 	V 	0.0 	5 	0 	2.0 	YRIPDSOVBXHQCTMGNKFALZUWJE	HGLUXSKROBQVNEDPCIMJZFYATW	PWVJQLUKHNFGOXDCZRSEMIAYTB	TIGUAXRBOHWFSJMCLQENZKDYVP	CYIXUHVJEPKWBMOTSZNDFRGQLA	NSGMOBIDCVKRQZLTJEPXYWUFHA	CVSFEUZGRPQAHOBWTDJKIYXNLM	FQEDIUNZKVPHYSOCBJMWTLRXGA	ZESKOVUFTCRHADQJPGMIYNWLBX	UZBWFYRTVDOPSEQHKJMIACLXGN	CBQRMKZDOXTHNEAGPLIUJYSVFW	SDRTLNVOIKWEPHYUQFBMXAJGCZ	UNGMAHBOCEPYTRVSIFXWLZDJQK	EVKDFJIWPSMYTQCXHRBLZUGANO	AVBCZHGUEMTQPSORKFJILXDNYW	ONMUCZRYVKEQPWTBHSIDFXJGLA	IXGUFWSBOQLZAMCDRHNEPJYTKV	RAXKTGDELVWIFQYMJPNZHOCBSU	UAEBWLXCINYZKJPSQFODHMTGVR	ECUNOSVQJHTADZWXBYLFMKIGPR	KSLQZWPJYUTVHRIODGBAMXFNCE	16
main	1 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 67.1213136881 	K 	T 	0.0 	19 	0 	7.0 	XVOEJLUWDMHYKQBPIGFRCASTZN	CURVYTDNGXIWOPLEFJQMSKHBAZ	CHEJPIQGDTWOXKFUBLVYMRSAZN	MSFLAJONGDUEHXVIWTZRYKPCQB	CAWMFJZHELQNYPTVSKUOBXRIGD	KUVTDHQICMSNOBPWGXFZLRYJAE	FSPOYBKMLECRJTDVWGANXIQUHZ	PFTIHGUDAXKVBQEJZCLNSROMWY	CXHSOVUTRNWYBZKPILJEQGAFMD	BGLXIMDJRQPEYTFKWUAVNOSHZC	WXBGCKDREHJSPTZFVMILAUYOQN	FYXULMKSGJNQBDPAWOVZTEICHR	EAZNQUMKWVYISXCOPBFGTHDRLJ	WABTDNCYEPLJZXIUKFOQGRMVSH	UOAQLRCYTFXDVEZSGHJIKPNMWB	VGIUMSKNPOARZCQYJHTDLWFBEX	ZUIGHNLDFOVWQAPEBKSMYRJCTX	FMDCZNIJEBVYRTLAPUXHGKSOQW	EBVUPJCXFNSWLQKAGHZROYIDMT	RNSOLITXHVCAEKMFYWZBUPDQJG	NIDMCUPLXZWTBFQJEHGRYVSAKO	0
main	2 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 70.8306615031 	L 	S 	0.0 	4 	0 	2.0 	WLHDJZUNRVMOAGKIYEBSTFPXQC	NOSBLQMICPVGAHKYZXUJRTWDFE	WFTROKHUXZSBJYAGDLIPQENVMC	WAYJKMHLNCGODBQZEUFIVTSXPR	FOTZMRAWXSHLIYDKBVQGJCPNUE	AKCOEPHLXZIQGRBUTWMNVJDFYS	JDLZCWFBQUGMPIVRXHOATKYNES	OWLSJNHZXTEKIUVYFDCRGAMBPQ	LSUQHABPZVKDFRJIGYWOMXCETN	GLAEBPQYZCDNFRMSUWITJOVHKX	NMQUFOLKEHSGCBPTAXYIRVJZWD	PVUJKMLENFHAQGCBXWSYRZTIDO	DQRMGTYSZAHJOEPBNLUKFVXIWC	BASPYTEKFJXGUNZOVDWRCIHMLQ	RVPKICQXETYAJOSDMLUNFWGHBZ	RCFESXIPQDHTWAVGMNKJYOULBZ	OQIHYWCMZDLFNTAXVRBUPJGSEK	DYJVMKGRZTAWILPOUNFBCSQXHE	ANDVHQXCPBRJILOGTUFESZWKMY	ROGXNJLIBCEKHDTSMYVWQAZUPF	ZLWUJSTXBEFKCDGAVHOYIMPRQN	0
main	3 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 77.1696481017 	A 	P 	0.0 	4 	0 	1.0 	WIBEXDTJYLQARNOKMHFSVGPCZU	HLUFJROQMYWTDPIAVSBNEKGZXC	MSDNUQKVGYHXOALZPCJEIWRFTB	AUNTDSVPRWZQFMOYKJXHLGCBEI	LMSGOQNPAYJFZHWVXEDRBTIKCU	NMXJCEQZFPAULKGVOBIHSRYDTW	KBOAWHMIEGNQJCLPTSVYRFUXZD	MSPHOJVYXCIFBQNRLGKDZAUETW	MPFDIWNZTXESHRGKCYLUJVAOBQ	PDHVFAZJUCIMRETQNYWLSBGOKX	SGEVDINQJCXATUFOZLBWYKPMRH	MECVNZOGUSQAHIWPFKYLXRJDTB	IDOJLQWXERZMNHUVFBYKAPGTCS	SXZMYRCEITUPGDFOWKBJLVHQNA	PQHLARWCNDEKTUZXISMJBOVYFG	CKTXGPNQJYASVLEIBMFROWHDUZ	EPQXCMZBTGVDUHYFKJROLNAISW	PBRYJIUOMZDSETQXVFAKHNCWGL	YVOIZTGDHAWEPMSLBFJKNQURXC	DHYKBGVCLPQZJUXMFISAWENOTR	KUMTGRZFYOBQCWAVXPIENJLSHD	0
main	4 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 269.104355416 	E 	Z 	0.0 	14 	0 	2.0 	ZUJIQKCTVXBELYRNHAFDSWOPGM	AMSPZLHOIJUBNGWKDRTXVFQCEY	GFLZXQICOUKAYEDTMRVHPWNSBJ	WLDYRFBEQVPUOSZHKMIAJXCNGT	ZTANDOWGECMVJSIKQXLYFURHBP	ZOBPMGCQYJHLSIWRTDXFEANUKV	EMSZWFIKYXRHJBUVTGDLOCNQPA	YVQASJWMCLKNXPOIDGUFZRTHBE	CUFZPVEWGXIYOTSQJKDBMRLNAH	FABTWNHDQUMLKJORCVZGPYEISX	KFVIPJGNBHRTMZDWCEOLQYXAUS	IVQLMGJNWSFEKYDBRHUOTCXAZP	NLJTVRQMIYAPOEZDFHGBWKXCUS	NBPSJRIAEQYUGVKHCLFXMTZDWO	NTQJFRVCZMEBLGOSPKYHXAUDIW	BENPFUTJXKHQIWOYLGMVCDASZR	TPJHOYMFDAVKGNZWLBRQEUSIXC	PHUWJAFIKSTVRYBXQDLGNCZMOE	XVRJCAUIQELYSWMDNPHOZGTBFK	NJBALRWFGXSEOVQIDCMUHYZPTK	JWHCUKOLPMBYESRVADNQZXGIFT	0
main	5 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 271.455936373 	N 	C 	0.0 	16 	0 	3.0 	GMTNHWSJIFRDCQVKBULPXYZAEO	JXEDZISTPHBQFMKGOYANULVRWC	HALUYSFQMVEGKTORICBPXWZNDJ	PQVMUYGJEBINLDRZKAXHWSFOTC	EDYSVLGXOCTINUJZWBRHKFAPMQ	MTNWCEFLXZAQDPOSGIUBKHYVJR	CYTFEIBRPJLGZSKHQWOVDXUMAN	ZVXTUDYPJECGMSFBHIQKNARWLO	MBEJWQHRTFLSDCGYNPVUXAOIZK	YNQEOWIJPUSRMTDGXKHCBFLZAV	VYUKTHFJZABDSWNRECLOGXQMPI	ZDRSPNMFCKUQBOHVYGIWJAXTLE	OAQPDFLSKYZBMCNWRUTJEVHXGI	SKNUAJOPQBHVLIGWCTMDXREYZF	LOFUHREXVAGKYNDQPJIMZBTSCW	FJLYGBSAZQHECUXNMOKPTDWIVR	PREAKXCIVNLBSGQFJOWDYTZMHU	IVGWNEFJUSOMQBLRCAXTDPYZHK	UYHIDCFXTVMRLGOSEZPQWJBNKA	JFYDINAHUXVGMBKLPSEQCTOZWR	CVMHJYWINEOGFUBXKSPLARDQZT	0
main	6 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 80.35268866 	R 	B 	0.0 	3 	0 	1.0 	BYFUZSAMOPVIEXDQCTJLHGRKNW	PBIUYVGHEFTXQKJMDOZCWLNSAR	GTZJCBNFORAWUIEVYSLQHPXKDM	XLHYTFNBRZKMJOIUAGVSPEQCWD	TFPKZIDWJUOBQSELYXMHGRANCV	MSDWFJBOXLAKCRYNVGTIZQPHEU	KWNJVEHFRAQBYOXCUGPMLDZTSI	RLNCOPQXUTMHJIFZBGSAWYKDVE	EANZSOLYMHXKFQUJRIBPDGCWTV	MCPTSWRLQIZUVEAGHNOFXJKDYB	OWAVRIJSDKFXMNHUGQCTYZBLEP	OPETKVYBCQHZNRIJDWASUFGLXM	ZFSAQUGLYTVRJXDNKMBPWHICOE	ZHQEYXIBSWVAMKPGCDJUOTFLRN	OEQIGVDSTYPNKFRHAJMXUBZLCW	RBYVKAEQFXUTNDJHWSILCZOGPM	AFYUOXRBQDNSVTIWKGEZHCLPJM	AUYVGRHNBOLFXWSITPMCJEKQDZ	GWZTNRJHMAUQFKDXCPSIBVOEYL	MPDQHNZGYRKXFEBSWUALJCVITO	FXGHLDJRMWUQTZNAEOCKSPVIBY	0
main	7 	AH_smallerCue 	 oneCued 	 0.0 	 right 	 165.455723784 	G 	E 	0.0 	2 	0 	-6.0 	UHMPQBDKVSRXNTCJAGWZOEIFYL	IJKTREOPXBQMDSVYHNWULAZFGC	SGZMWRKEDXCNOAJLUQHYVFBTPI	ISMHJBNEPOUGVYLKRFXDZQATWC	KWROEHDQTVYCPMSZGINUBAJXFL	UZRKYFNXWMDQCLVHPAGTOEJBSI	TLXYDJGAWSNKQZHFEPMOUVRICB	BNTOYHMCDSEFURXGJWKILPAZVQ	XLUZARIQYHWCPMSEDOTJKBVGFN	UBITFKLAPDQRMYOGNSZJHWXECV	FCMSJADNVOHPBIKWLUYZXETGRQ	CDSNOHVFAJERGXBWQYUKZMTIPL	GAFXYORSQJWKDECZUBNPHVMLIT	RAETDYJPOUBHKWFCLZXMSVQNIG	CNBISAGTULOHMFEKDPRYVWZQJX	XALEJHNVCPZORBTQFUKGSDIMYW	BCKJAPESUFQYDNGMLZXIORHTVW	ZJBYKQFUXHSPILTWEORAVNMGCD	WVLANYHDROESBQTJZUKPCXFIMG	VRSJDFPYGOZTQWIEHUCLKMXNAB	YRHQAZWLKJUIDOBSVTPFCMNGEX	0
main	8 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 220.927049036 	N 	W 	0.0 	14 	0 	-7.0 	HAKWNDMYXETRIUJFQOCGZPLVSB	RJOEINWLHSZDXVUQPAGCKBYFTM	YZLCQMTJBUDAEFRVGNWIOSKHXP	DBTHKZIQMUWENFPYXVJAGROCSL	MTSWXPBOVGKLHYRNCUJDZEQFIA	ZMIRNDBPSOYKATLUCGEJQHFWXV	JLUGSOPHZKAYEWVRDCQXIMNBTF	JOHYRPQUKGTDZFILNMCXASEBVW	AXUIQDSZFNEGVORJHTYMBPCWKL	SQBROLHNZCFYXJGPWKAUVEDTMI	DWCMSKRFAZTIQYNBUVLEOHJPGX	WYSQTGRKCIJPUFBOZXDAMVEHNL	NEZSYTAMGJHPQCWOBRXUIFDVLK	XRGIAZVFSWMQDTCYOUHNJEKLBP	OGNIEFTSBWQRLXMUKHVZAJDYCP	OYMDXHTKWVQJURSECGPIZALFBN	HLCZRMAYKFQXITWEUSNBVGJDOP	MCWSEUNGHRVIFXJLOBYPZKDTAQ	NQFHTGMRJSUZKDIBCPOLYXEVWA	FPEGARDUXSMJYVOITBWZQHCLNK	GKMXYFAZSBNDQJTHVRPIUCLEOW	0
main	9 	AH_smallerCue 	 oneCued 	 0.0 	 left 	 132.843075312 	E 	N 	0.0 	11 	0 	3.0 	YXWHFADPISVQLRNOBMZUEJKTCG	LAIWROQTCKEBNVDHZUXFJSYPMG	OTJBDYXFGLUMIVHSWPERKNAZCQ	AKWUBSXCQLYMGEVDFOPTZRIHJN	PKYZMEIOADFHSWGCXNULQBRVJT	AXOGESFKRZMTLDYHUWJCIBVPQN	MQKRDLEHSCPXBYZNOGAWJVUITF	BRVDNMWGHFCZOTAUYEJLXPQSKI	IXWYQMAZCUHBJGNDKOSLRPFVET	RUNCVILPJTBQGYWKHFMZASEOXD	LRXPASNHWZKQFTVCIUMYEBJODG	LUOVRSPJNFDEIBAGQHXMZWCKTY	DBJMZANSRFVXWLPECOUYKQHTIG	UNFPQEKAGWTHOVCYDRMSJXZILB	RFLMHKISVWDBYQPJGNACTEXUOZ	YQKTGFRNWZXDJSBHUVACPLEMIO	TPGZJKELDNFOCURMXSWYAVBHQI	NLPFURVSWEYXDKOJAHMCZTQIGB	BRFITVJZGACKYEHLMUPWSNDOXQ	EHVKIPFUWCRJOBZNGYTLSQMDXA	YFSPJDEZXIAUWOHMBRNQTCLKVG	0
