experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	0 	CBTest 	 oneCued 	 0.0 	 right 	 8 	 270 	A 	2 	Z 	0.0 	4 	0 	1.0 	STKWMNUVLHXBCQAPOERJFYDGIZ	PNJKBCAUSHMZXVRGTELQIDYWFO	SXNLUEJDFAYKGOTBMWIRVPQHZC	THLUPQASVIKFGWXRMBZDNJCYOE	BPGHLUQXTSZAIRJENMVOYWKDCF	UTXHVIGNZEWLCDKSYPAQBOJMFR	AUZDETVWHJSMLCGFIKPXBQRYNO	KLZFNBSYITMVJDHPEUWAXGQCRO	0
main	1 	CBTest 	 oneCued 	 0.0 	 right 	 8 	 0 	X 	2 	V 	0.0 	5 	0 	2.0 	JOLQNBTYZMFGDWXVKREUPHCIAS	XCHVJDOILNRAPTWKUBYGZEFMQS	JPXLNFCRODUWIHYESVZAGQKBTM	AHGVNPBSDCMEWLQTFZOXRKYUJI	BNHEDTQOPIGMWCXLVFUAZKJSRY	UEQRNJCVLXOFAYZIWGTPDHSMKB	PJEKUOMHDGFLABCYRTSWIVZXNQ	MNEXATQZUYPCJOIFSWKVLRGBDH	0
main	2 	CBTest 	 oneCued 	 0.0 	 right 	 8 	 135 	O 	0 	E 	0.0 	7 	0 	-7.0 	HNDCJAWPFTOIZSVKBREYGXULQM	ZXAHNROESBQWIKTYUJDCPGFVML	VMCOKIGRLHDUBTAXQFJENZWPSY	XCREOIFALNHVUZMJSWQKPBYTDG	KOVZLYUJDGQPFINCHTXAWRMSEB	ZVHFWLTCDAEKPOJUBMQIGXRYNS	ZCPGXJBISQVLUNWYERMKHODAFT	XOSKLUHDEQJWCBYPNZAFTGMRIV	0
main	3 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 270 	A 	2 	S 	0.0 	0 	0 	1.0 	QPIZEBYMCGSAJRDONFTHLXWKVU	KQTOWLYMPCSAHVJUXBRFDGINZE	-99	-99	-99	-99	-99	-99	0
main	4 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 0 	F 	0 	I 	0.0 	1 	0 	1.0 	RUPSZEDYJTILXQCWVONFHBAKGM	GMKAWRPUHIFQSZEBYTJOCVLNXD	-99	-99	-99	-99	-99	-99	0
main	5 	CBTest 	 oneCued 	 0.0 	 right 	 8 	 225 	O 	0 	X 	0.0 	4 	0 	11.0 	OUQISETMVZDXCRYGFWHALKBNJP	YZLONRMVCIBQESAUGKPXHWDFJT	IRYWOCJXBTAULQSVGDFHEKMNPZ	KLOJBFURTWEQNZADPCSYIXGHMV	FRKVUWXQDJCZEITNSOBPAHGYML	JHQENKYIDMTBURLOPWXCGVZFSA	DSTOVFCWUNGHBEQARYZXIJMPLK	XIPMHQLUZBEFTOWADGJVNSCRKY	0
main	6 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 270 	X 	0 	L 	0.0 	1 	0 	4.0 	GLFVBIRDZSJHQOTMNPWECXUKYA	UNWKEILYOSXCDPHTJGBQZFMARV	-99	-99	-99	-99	-99	-99	0
main	7 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 0 	U 	0 	K 	0.0 	1 	0 	1.0 	SJROHZBKTYCUAGQWVFXPMIENLD	FGSYQDKUEBHCAOJXMPIRTVNWZL	-99	-99	-99	-99	-99	-99	0
main	8 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 270 	X 	2 	Y 	0.0 	1 	0 	2.0 	YRIBWXNSLQZMUFVCTGPKDHAJEO	SNTMJIVGYWXRDCUHLEOFKZQABP	-99	-99	-99	-99	-99	-99	0
main	9 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 180 	G 	0 	G 	1.0 	1 	0 	0.0 	ARBCTDQWOUFNXGLIHZKJEMVSYP	PBZQRJLGEMCTVUODAKSIYFHXWN	-99	-99	-99	-99	-99	-99	0
main	10 	CBTest 	 oneCued 	 0.0 	 right 	 2 	 0 	F 	0 	K 	0.0 	0 	0 	1.0 	WNQLRSVOKFHDTUECXMJBAIZYPG	SMCVKXBQZHANDRUOYTLFIWJEGP	-99	-99	-99	-99	-99	-99	0
