experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	18AW12	2	2	G	0	8	P	False	120	120.0	0	0	0	8	RZQVNYKEPMOHDBSLGUXIJAFT	JEAYLGOVUKSIRDNBHTQZPXFM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	18AW12	2	1	K	0	9	S	False	120	150.0	0	0	0	-4	TGFANKUIVSJZRMDPBHYEXLQO	UGPJYVERFIHOSDTZLKNMAXBQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	18AW12	2	1	E	0	6	Z	False	60	90.0	0	0	0	2	SKNLGHZAEBYVIFOPDMQJXTRU	KESQDRFPMHXGTUYIZAONBLJV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	18AW12	2	1	S	0	10	I	False	60	90.0	0	0	0	-2	KPZDVLYASOIQMJUETBGNRXFH	JXVIYLBNTZHFEMKOUSRPQGDA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	18AW12	18	0	F	0	6	U	False	120	120.0	0	0	2	16	QDSEJIARLYZGXONPMHTVFUBK	NZJXLGBAYVEQRTHOMKDFIPSU	KDZYIAUNMXJETOVGPQLRSBFH	VYTQUGEMDBOIKPNALFHRSXZJ	POSELKQHRVIFJGTYDBXNUMZA	HGVJAXYSDLKBNPZMIQFUTOER	BEKZITRHMSUAPNQJVYFLOXGD	HFBSXZLGIJVTRNEKYAOMDUPQ	FZYIDGPLSARTMBOKJHUEXVNQ	IUTQKEVYGAPSXJFMOHRZLNBD	LFUINOBYSDEZXHKRPMJVQATG	GJEBKNRYPMTUHSZAVOQXFDIL	XFZGDVOTMEPKHNJASURLQYIB	PQVXHRUKAIGJETLSNDBMZOYF	ZUOMJQXGFAKIYDHVTNPBRELS	BJYSOADMIHLXVZQRTENGUKPF	QKRTXLZFIANHEJSVGPODMYBU	KMTFLVINYEJXSORBGQAZPUDH	0
main	5	18AW12	2	2	P	0	10	M	False	60	60.0	0	0	0	-9	FPGBDRNKQOMYAZUJHEILXTVS	SVRGQHTBMNDOIJKLFYEUPXAZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	18AW12	2	1	K	0	9	Q	False	0	30.0	0	0	0	1	ERPDFYOMIQKNAXHBGLJUSZVT	BHRUFZVTNPEIJAYXQSMKLOGD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	18AW12	2	2	V	0	6	B	False	60	240.0	0	1	1	5	OIBUNZSVJATHMDKPGLFYERXQ	MLZNOUBXKRFVTPGSAJHDYQEI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	18AW12	18	0	K	0	9	Y	False	0	0.0	0	0	0	3	TXQMDRSNOYHUKLJVPGFAIBZE	ALKUOJVERZHYDGXPIFMBNQST	ODKRESQMPUNAYVLXJFBHZTGI	HDNKZOUSGEIRYXMQTVBALPFJ	ZIJTRDFGKYXQPMEOABNHVLSU	DSEKQNMIOGLAVBFHYUZTPJRX	OYUDHGLNBFIETVSZXKJAMRPQ	DMJSKFZEIVRYGTNAPXHBQUOL	OSHYEIUTBPFQKJZNLXRMVAGD	JBIVHOZLXDUPMQGYNREAKTFS	YFBRIESPMZLGUAKJVOQXHTDN	YNORKVZXBASDFGLHUMQPEJTI	VLJTBMRNUQIPGYAHOXKZEFDS	MXNDUROGQIFPYZBHEAJLKVST	PYEZHNIBSJLATUFQOGRMKXVD	GJXNZADTBYOKPSRVLIQEFHMU	RMLJOEPBZHXYKQFAIVNUDGTS	JVUBZSHQROAIEPKGTXYLMDFN	1
main	9	18AW12	2	1	K	0	10	K	True	120	150.0	0	0	0	0	JLTNDVYQRIKPHAGOEZMUSXFB	VOGSUFZDTQHKNJBREAYLXPMI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	18AW12	2	0	M	0	6	I	False	0	0.0	0	0	0	2	DNSQYUIJMAFVERBGXZLKHPOT	DLXPFTIAYJQGMHUBORSNKVEZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	18AW12	2	1	S	0	8	U	False	0	30.0	0	0	0	14	FQTKIMLZUNORVHEPYGXADJSB	LNAMKFHUZRYVPDEIOBXJSTGQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	18AW12	18	2	X	0	6	Z	False	0	180.0	0	1	15	2	ZBRNAKQGIFLHMDOEJUPTYVXS	GFKSXLBPIONQEMZTVYHDJUAR	EHSBLQKFOZUVAYINDTMRGPJX	NAYDZMXOBHRSGUQTEJLKIFVP	OMLAVBRIPTSZDGUEHNJFQXYK	YHNFIJPZXRTOGBVDUKELSMAQ	RZDAHKQTSXVBOMFUGNILEYJP	AKXBRTSYEHPOQZVFJIULDNMG	TDABJQZLUKVMHFEGOSYRIXPN	MZGRUNYAOKSBQVLTDIPHFJEX	JQFMGLBRPHTVSKAOZUNYIDEX	LEZKBTGFAJUVXMQROSYPDNHI	UTGLXFBSMQJEPODZIAKVRNHY	TKQHPVAFGESRXJIMOZBUYNDL	VNXAHURTZIEJOLKBFMQSPDGY	ALKTYNZMXIVGRJDBPQOHFUES	LVHXZPQIDSYKABTUENRFGMJO	KMLBIOSNGDRQPYFZJATHEUXV	0
main	13	18AW12	18	0	F	0	6	M	False	0	180.0	0	1	3	2	XTEOASVIPMDZNLKHFRGBQYJU	KTHNEIMYZGLFOAVUDRSPJQBX	OQJUVFANBYREIPHLXDKTGSZM	BGQKTPMVFROZDUASYEIXJNHL	IYOKDZRFQBVJEPGSHXAMNLUT	MNFQKOHAGXUEDRZBLJPVSTIY	ALOZTEKSJMUDNVPHGXRQBIFY	LDPEJHVSKQBZIFUXTYANMOGR	GHFAXUMQNSDZYLRITEBVOPJK	GQHVZIEDPLBFXMTNYSOAJURK	SZXVUMQPOHKDIENYFBRJALTG	LQSIZPDUTKJVYHRANGMFBXOE	BSVKYTNORMZQIPAHFXULDGEJ	PVAKMTLIUGXRQJEYHSNDFOBZ	IHLNQORSJGTMFXPYDUKVBAEZ	FGUBQIDKZTONAHRYPLXMEJSV	UEGFMZJKRXDVSINQOATYHBLP	MIQSBGJZYDXNVTEARHOPFLUK	0
main	14	18AW12	18	2	H	0	10	R	False	120	120.0	0	0	14	-2	VHBOFQLRPZSXADNUETGYKMIJ	RTYZIEQVKFBJXULOAGHSPNMD	KRTHALYFQDVPSIXNEJUBGZOM	GTDJOIBXFPZUSELVNYKMRHQA	MJVNAUHOYGLXPTFZIKRQDEBS	KNVADOZHTQBSEYIGMFRLJPUX	SZOFMHLPXUIJDQBYVARETKGN	YFOBLZKRGPUNXISEAHVTMJDQ	PERLQOXZAUTKFNVHGJSIDMBY	VEMONXPQGBIHTUDZYSFLJRKA	ZYXMUHTPLSANVQRIBJOFDKGE	USVONMRGHIBDALJQXTYZFEPK	PZYXNKRDQAGEFUHLOTJBVMSI	IELDBNPGSTRQAVZUFMOHKJXY	EOFYDQLBHARPXIUGMNSZTKJV	BUMVKXZNHPFJOLIGRDTEYAQS	SBFEQRUHDPGLYTVAXKOZIJMN	LHKYRBEMSJQVPZNXDOTIFGUA	1
