experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	11	18LS4	18	1	T	0	9	G	False	0	30.0	0	0	6	1	DHMPTLXVYEJSBUOGFAKQZINR	JVHFOSZMNIPAEQTLKDRYUGBX	ZPDVTMLINJGKUYSXBEHRQFOA	NKXSOYFIEQJVULMTARDPGHZB	PGBRJMQNLTOVFYIUSZEKXADH	USORFHEIAGLNMXDKQVTPBYZJ	NRHBEMQYVGTOSDZPUFKIXJAL	RUZJDLNOBAYPXKIMQVESHGFT	YLDMUHPABIZTSXFQERKGOVJN	MEYXPNJUDZGBQKRIATFSLHOV	KLRSZOUJEPAHTQIVXYBMDFNG	OPGFKEZJIDRSXBYULQTVAMNH	XTHYGQROVLBENASDKFPIMUZJ	BRZXHADVPJQNKILUGYOETSMF	QPNEAUVMLGZYSIHKFRXBOTJD	EAKOTPNRYQVBJXGUDSMFIHZL	HRQIYZBLTPFVSOUJXDMGEKAN	LPNSIOJTFQERMBZVKDYGXAUH	0
main	12	18LS4	2	1	A	0	7	O	False	120	330.0	0	1	1	-5	LYQIJERFTHDOMNSABPVUKGZX	PEAJUGROINFQVHYXTMLBZKSD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	18LS4	2	1	R	0	9	I	False	0	210.0	0	1	1	-9	IZYRJSHBMXDNFQKOGLPVATEU	RVXQJSBLFIYPMGNOKDZUHATE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	18LS4	18	1	X	0	6	H	False	60	270.0	0	1	10	2	BYLZQKTPHGFARIMEOVJXUNSD	NBPJZSXRUYKGDMTIHAQFOELV	ZKUDENLQSVPHYJIRFTGAOMBX	IBVUARKFPTQGXNHOZSEDJYML	RZYPJNHVOTEDAISQFUXLBKMG	OVJBQSMERKNTLYPIUXFHAZDG	VXHPQUYZDLSNBMETKGOFJRAI	XQAKZNRYMTUEGJOBVHDLPFSI	BHSTAQOYXRLVNMDUKGIEZPJF	ROSTMAKEIDFBPVGZYXQLHUNJ	AGREUNHFXBJYIKLOMZQTPVSD	BZQGHTIMRJLOXUNESVYADPFK	JHUOGAIXQDVBESLNPZRYKTFM	KUJEPTFRXDIQOHNMLBZAYGSV	UYINHSTJBKMGAODPXRELQVZF	DVEIQLBXZYPTHSNRAUFOGJKM	FNHKAGSXDROQPLIZYMVUTEJB	YBMZJNUFXRTPSGIKAHQVOEDL	0
main	15	18LS4	2	2	R	0	8	Q	False	60	240.0	0	1	1	15	JZBTSDEYQGLUARIFONPVHXKM	VGIZSXDNQTUYLKAFPEBJHOMR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	18LS4	18	0	E	0	10	A	False	120	120.0	0	0	2	2	BMRLGQUXFEHPINYAODZKVSTJ	HQNDBGSZPTOXVKLIERMJYFUA	UDGRBNHSJXAVEPLYIFQTOKZM	FEBOZPUKGNRQVSXIDLJHYAMT	BDLSGXAUQKYHZRVJTENFPMIO	GQUHXIFEVOJAZPDBRLTNSYKM	KUHITZYGMBXODRLVJPAQSNFE	PNXLBREVAMIJHQFSYGTOZUDK	EFBVYNGJZMOILXHKAUPTRSDQ	ZJDAVSBLFNQTEMRGXOIPHYUK	GISTHMJUPXBFVLDEQOYKRZAN	VSKDRPHXQYEONZFTUAGILBMJ	LGDZSQEUOYJVNHKFXPRMITBA	TFRKJXVGAEZDULBIHSOPNYMQ	MVPFJSZHIKQNYLAODTXEUGRB	IHKOGZRBFAUNMYEPDQLVJSXT	PFQVBJSDYKULGXIROTEMNAHZ	FGBMATKYSDENOVRPLHZIUXQJ	1
main	17	18LS4	18	1	N	0	8	R	False	60	270.0	0	1	10	1	XAKTSMRLYPDBENIJUGVOZQFH	TKXNLDPBHEYGQAMSORZVJFIU	TIAYRSBJLODVZEFQKXPNHMGU	RAZKXHFYQLUVTGBONJDEPISM	TYPBIHRUVGQOXKSFDLAMNEZJ	OJYBDZKGIEQXMVPUTHRSNALF	EYGBFSZHKVPJMOXIATNQULDR	DQYGZKRHSXNUPALIFBVTMEJO	GJYXUDHPQRVMSLAENZOBFKIT	ZKPXVAMYQERTIHGSFULBDJON	VMPAJUTERNFOLGXDISYQKBZH	JXFOLAEDINBVKRHZGSTMYPUQ	GOZPJTYALRFVEDKNSMIBUXQH	UDBXJAOIQSVLFHYRNPKGTZME	HFNYSJZLXIVKRQOUEMTDGABP	LDEMJGTXABSPIOKRNFVZQYUH	ZJSEIGFTNKPUYORDVHAQBXML	KFVGZENUJLAYROSMQTPBXIHD	0
main	18	18LS4	6	1	M	0	9	X	False	120	150.0	0	0	2	7	NKQIGLMVHBTZPESYORAFUDJX	ZFVEKJLHPRMQXDUAIOYBGSNT	PSYBLDQJVXTNAIKUMOEZRGHF	ZXVBAEMJUGHPIDTFLKSNYQOR	ZIVPYSDUQKFTJBNRLXMOGEAH	DYHNQGRZVLPEOTUSMJXIKFBA	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	18LS4	6	1	Z	0	9	I	False	0	210.0	0	1	3	1	FGKABQYXTZPRVNJILOMEDHSU	IFEDBKMPXJAVQSUOLYHRZTNG	QPTROYEAHMXIDSLNFBKGZVJU	KFUVSXDHOIZNQGTJMPAYLBER	NBSZMRPKIHODJALTGUEVYFQX	DSZMBOIJHQTUNLAPFYEGRVKX	999	999	999	999	999	999	999	999	999	999	999	999	0
main	20	18LS4	18	2	R	0	8	D	False	120	300.0	0	1	17	-3	NRXKEBOJZHSYMDTGPLIFQVUA	IEXZJLRNGADKVSOMQUPYTFBH	FPEQOBIMASYLTUXJVDRZGKHN	GSFEDJOVBAUZPRMYTQLXIKNH	OEGHQIAXMFSRTDLPVKBJNYUZ	TNVKBYISDAOPJHGFRQXUZLME	SDVHAIOEGFBNJPQMTZLKYURX	HGRBINFEULAYZOVSJXTDPMQK	QEIPOLGDUKVRZHTBMXFJYSNA	YKSPBLZJXRQFEATDGOIMVNHU	YLREDFQMSAGJPHVZNOKBTIXU	LHZXDFBSOQVTGUKAJYPIMRNE	FRXSZNUGJVKDBAOQEILMHTYP	HIYKDBPEFOSUNGTXAQZLJRMV	SGPYZRBFQILUMDOTXNEVHAJK	XZGNATLDPJQHIVOKEBRUSFYM	QSUIXLZVRAMTOHDKBNPYFGEJ	UNSOBRAJDFIXEGPMYLVKHQTZ	1
