experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	10	18TM5	18	1	T	0	9	V	False	60	90.0	0	0	7	1	MVBERYDXGIPKNFHSQJZAOTLU	ZALQUGPOJHMVRNFSIEBKYTDX	RATBKLODPXJIUVHNFGEQYSMZ	KZBXUDJAHMOTGQRYPSIVFLEN	UHPATDKNLGVYOXSZRMIFJEBQ	FLPDXOJVQAEKSMBZUITNRGYH	LBRAKVMQGHDSUOZEYJXPINFT	XANOLQSFDVTKRMUIJGEBHZPY	PKXNQRSYTOGIDLHUEZFMABVJ	MAYJKFRTZESONVIQBLGHXPDU	QEMTLIVSFOUYHKBNXJRPZAGD	EGHSKMLTZRBIAQNUXPYOFJDV	PEOKQDZJGMSTIBURVLNAXFHY	ZKEQFMONVXLDYIRAGJSBHPTU	UBKLIEVQPGARTHOZMJDNFYXS	MALINYDVXQEBHPGTFKROZSUJ	ABLXGSZERMDIUTJPQFYKNHOV	HRDQAYOIKNJUBVTPSGXFMLZE	0
main	11	18TM5	6	2	U	0	10	T	False	60	60.0	0	0	1	1	LIDYTPJUXNEAQMZOBSHGFVKR	DBPSKJXEVFTUZGLIRQOYHNAM	SNHXZUQBRGLFOEATIVPJDMKY	ZIFAOHBPQKDJNUEGMVXSRTLY	NYBOVISFMZKEHAJUXGTDQLPR	UPEBLONTXAFSDRZMJIHGVYQK	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	18TM5	6	1	S	0	10	Q	False	60	90.0	0	0	1	4	QFTINPZBVOKHMARSJUXYLDEG	AMKVEPIDOTQRFBSNLYHUXZJG	NKGEYOTUQPRSFJBZMVAXILDH	XFYJSDHZOMTPBVIQRKNAULEG	KVSMTDBHXGNIOFUERJQZPYAL	EYPRIOBQJXTDAUKLVNSHFZMG	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	18TM5	2	1	L	0	7	Y	False	0	30.0	0	0	0	-6	OLVBMSPYEJNZARFTHUGXDIKQ	KFYZENDHTGIJMUPBVAXQSRLO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	18TM5	6	2	B	0	6	X	False	0	180.0	0	1	3	1	IJMSLGAVPKZDEONUXQYFRTHB	EDVYOIUNZGMASXRQHPJTBFLK	RMGPLIJQHZXTNVDFOAUEKYSB	RHJKLMXBFZIQAVUTYESGDPNO	ZYFMHSKDQTLUIPRBNGVEOXAJ	SGZKYIVHQOUEXJNBLRMPFDTA	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	18TM5	2	2	I	0	7	J	False	120	300.0	0	1	1	-5	XESTJBHARPVNKUZLGIQFOYMD	YTIKUGQJFNAOMDVPBHSXLERZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	18TM5	18	1	A	0	8	P	False	120	330.0	0	1	11	1	QDSYMXTRINUJZKBVLGHAPOFE	MXQFOTILZYJERUKGPDBNASVH	TPQHRFVJGYZBDKINLMOSXUEA	IERZOUGJBVHSYAFTXMQKDLNP	OVGKAPTBRUNJXFSIMZHLEQDY	UNHVYAMQKIBLOTPFGDEXJZRS	ZNDSMYRKLEHPUQJGFOTVBIAX	ENAOVLKYZXPSUQBIJRTGDHFM	YPIFUKMJTNAELROGXSVZDBQH	RQXIHTOJVZFNYBGASLPMDEUK	PRTEJYXIDHGMOLKFNSBVUZAQ	UFZQJLBVPASHNXKEMGROIDTY	IOYTAUJLPGQDNZBRXMHVKESF	LSADBRUIXZPEYFMKHOVJQGNT	AZKFLIDEPMVGXYNHRUTOBSJQ	UINQRKTDZBYGEHXPJMFVLOSA	AQZBDFMLKNOSPIYJVGTREXHU	QITNJRYPDGHZEOMXFLBUVASK	0
main	17	18TM5	2	2	P	0	6	R	False	60	60.0	0	0	0	-1	TDQEXPRUHSJIGKMOYNALFZVB	NDXGQOKPSMIFHJALUBEYTZVR	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	18	18TM5	6	1	N	0	7	K	False	0	30.0	0	0	0	1	EABGSZYKNMUQRVXPTFHDLIOJ	BFKGEHTOZVAQDLISXPRYMUNJ	UIXHRONTFLBZYKSJPMDAQGVE	LAONEGHSRVBMZXIFJQUPKTYD	JEZTBQDKOHMIUYNRAXFGLVSP	ORUISEDAFBLGYJNQXZVHKMPT	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	18TM5	6	0	O	0	7	I	False	60	60.0	0	0	1	10	YHUKDNOVMRGIJZXBFQPASELT	GTLKJNPIQXVZDAEHMOBFSURY	PNZYHSOLAJQGBEDXUMFKTRIV	VGXZTJLEHKAOSQFMPYDURBNI	IMKHJZOABEQULPVFNRSGYTXD	MJGXEQRKFYBOSZVHAUTDIPNL	999	999	999	999	999	999	999	999	999	999	999	999	0
