experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cue0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	Hubert	2	2	P	0	True	A	True	60	240.0	0	1	1	NA	R	P	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	Hubert	2	2	K	0	True	A	False	0	180.0	0	1	1	NA	B	L	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	Hubert	2	1	O	0	True	A	False	120	330.0	0	1	1	NA	M	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	Hubert	2	2	S	0	True	A	True	120	300.0	0	1	1	NA	X	S	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	Hubert	2	0	K	0	True	A	False	60	60.0	0	0	0	NA	L	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	Hubert	2	2	A	0	False	A	True	0	0.0	0	0	0	NA	A	J	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	Hubert	2	0	D	0	False	A	False	60	60.0	0	0	0	NA	A	D	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	Hubert	2	1	T	0	False	A	True	60	90.0	0	0	0	NA	T	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	Hubert	2	1	X	0	True	A	False	0	30.0	0	0	0	NA	Q	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	Hubert	2	1	P	0	False	A	False	0	30.0	0	0	0	NA	L	P	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	Hubert	2	2	O	0	True	A	False	0	0.0	0	0	0	NA	M	I	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	Hubert	2	0	U	0	False	A	False	120	300.0	0	1	1	NA	U	H	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	Hubert	2	2	O	0	False	A	False	120	120.0	0	0	0	NA	Q	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	Hubert	2	2	M	0	True	A	False	60	60.0	0	0	0	NA	G	M	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	Hubert	2	2	G	0	False	A	True	60	240.0	0	1	1	NA	L	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	Hubert	2	0	Y	0	True	A	True	0	180.0	0	1	1	NA	V	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	Hubert	2	2	R	0	False	A	False	120	300.0	0	1	1	NA	R	Z	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
