experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	18RC3	18	1	G	0	8	O	False	120	150.0	0	0	8	1	HKZNIMDSPGABVUELOTXYFRJQ	LFGYMVKJQNZSEIXPDOUHTRAB	GNEPFSUBMOIVQJZYHARKLTXD	PYHZJSUXAFMVKLNQDGEOTIRB	PIKHXJDVUTSEZFMALGBYORQN	DMQNJHIXOFEARUSKTPBYVZLG	HGPQBXOTRLVEYJIDAFZMUNKS	JUOTAEBYSHDNFZKQPXRLMVIG	NVIKLZEPOGMSQBJYRFATXDUH	SBNAQYIMHUOTFXEJDRKZLPGV	SXBHTNKEVZRQOYFIJMGUPLDA	VDRUYJAOXQTZBSPILMGFNHKE	JNHFKPLIXUOBZVEAYDTMGQRS	JMKDRETPYBQNOILFZHUSXVGA	KVSRTZDQIPMGEAFBXYOLUHNJ	PNZMQDFIUGXYOKHLTBEJARSV	FYSNEMLUXZTQHOIBVDRAPGKJ	ALQUZFIKYPGDXSOMEBJTNHRV	0
main	1	18RC3	18	0	H	0	7	S	False	60	240.0	0	1	4	6	HNOVTIEYFJRZSUAXBLQPKGMD	VDMOJSGQPLTHIXRFYNAKZEBU	JDHRKVQNSXEYGUBZPMTIAFOL	RUJETMODLAYVSIZFXGPHKNQB	JZTDOYASIQUFKHXLMNPBGVRE	DRFGXBYOHEJZTPMSLUIKQNVA	THJUYELRPXDVMNOSQIKBFAGZ	VNLMQXTAGPDERKHFYSJZUBIO	DUYLBIKTVFAZRMSHJPEGONQX	HSAGTOKYXIBELUMFZQDRNJPV	JSAQMLTGPDEIXFKHORZVBNUY	NDBLHMXAVUKOPJRSIQZFETYG	GNMKHRXPTIUDLJBOQSEFAZVY	DJYRSVAQFPBHIGKLNZTUMEXO	VFAQMRIJYSONDEPLZGUBXTHK	IFGEXPOLKHTJYSZVMUNRAQDB	RZKGNIHLOTAUBMDSVYXFPEQJ	RYIPTOHZKSGAQMEBJFNXVLUD	0
main	2	18RC3	2	1	R	0	7	T	False	120	150.0	0	0	0	-2	PXSBNRYTFQUIOAEGJLZMVKDH	BIPXUHZGDYNOKRAFVLEJQMST	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	18RC3	6	0	K	0	6	B	False	0	0.0	0	0	0	5	TEFJYABZHVUKSMQLDPXRGION	NJRYKBOMGQPALVUITXEDFHZS	ALZTPHJSONVQYXUFBRDKEIGM	NQUSYORDHBELMIJXTKAPZVFG	DNHIAUXRKVBQFSTOPYLEGZJM	FZKERQDOPYUGSHJAMBTXVLNI	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	18RC3	2	0	O	0	8	O	True	0	0.0	0	0	0	0	AXHQUSEYOJZNFMDIGKVLTPBR	TUBFRKXSJDOZLGVNMIQAPEHY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	18RC3	6	2	A	0	9	I	False	0	180.0	0	1	3	1	SAOYFGVXBRIDJNMPQUEKTHZL	ZTIFGUJSNEMHQKXLVPYOBDRA	YKPORSMGVFDLQNBTEIJUAXZH	RNMDGFOXYIAELQBUJPKTSHZV	KQNOPDAMFYSURIGTZBVHJLEX	XEGFPZLMKITYQHBJSDNUVROA	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	18RC3	6	2	P	0	7	Q	False	0	0.0	0	0	0	12	NIFHOUEQBGVSJYXAKZTPLRDM	PIHYMQNXBOJGTFVASEUZRDKL	QAMTIVXLKHDGPUYJNEOBZRSF	GETNXQDMJHOLYIAUVBFRKSPZ	QOSPYUVFGNDZRMALHBJTKXEI	AFUPOXBZMVHDGLEKIYRNQTJS	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	18RC3	6	2	Z	0	6	V	False	120	300.0	0	1	5	-2	XJGTPFUZYSAODIHMRBEQVLKN	MNBAOGYZLPJUIEKSQTHFRDXV	JDHGXITLNRQEBKZPUYVAOFSM	KZLNTGHXYFQPIAERDOJMSBUV	QFHXGYOEMJKANZVUDPBLISTR	HBRSZEVXIGAFTLYNQKPDOUMJ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	18RC3	6	1	H	0	7	D	False	120	330.0	0	1	5	16	TKBJOHIUDQRFMXEVNYPGSLZA	OATFSDQVEPZJGXNRMUBIYLHK	ARMPVBETYILDSZNUJKOGHQXF	YJBQAPOHRNLFSUMDKXETZGVI	EXOLZPAFMRJVKIQBYTNDSUHG	RJMXQVGDISNBPOKZTLEFAYUH	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	18RC3	6	2	S	0	7	E	False	60	60.0	0	0	1	1	XNZABPGKSLRIUYMHOTVFDQJE	IXLMPQZESKAGFHDBVUNYJTRO	LFJBNEZVYMKSTRQIPGXHDAOU	NHGPZODRTXSFKVAMJYQLBUIE	VLRBDMFQYUXKIHJOANPGSZET	IOBPGXMHJVLNSQFYZURKTDAE	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	18RC3	6	0	N	0	8	J	False	120	300.0	0	1	5	1	SAJBIZYMKOHVGFXQNTERDUPL	JNVFAZXSHMQRYOTLDGPEUIBK	TRFYSUNAPEXHQGODJLVIZBMK	IOJDULNHMEPVYKBTFSXAZQGR	TZLQFBOAIHNPXRMKYSJVUDGE	QMRABYTGJNOZHFKIVXPDSUEL	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	18RC3	18	2	H	0	6	N	False	60	60.0	0	0	13	1	NLEHYDTFIAKRUBGVMSXJOZQP	RVNAHSKQIGYPTLXZBMJODUEF	TPDFXJBVKRYULAEOIHGMQSZN	JDSEFRGOHBUVXNPILKMAYQTZ	JUEXPLMVKROHZTAIBSQDNFYG	BYTNKXEDALMOVRPUGJISZQFH	TXKRHYVBFGNUIAJEPMOZDLQS	BLGAYDXREZOQVIPSJNFMHUTK	HUAQPBMYSGJNDEZLVIRTKXOF	JNEMDXFZHTBOVYILURQSPKAG	OYTHRKMXQLBSPNGVZIDFUAEJ	ETYUPFVHZKXAIDSJLNOGQBRM	OTBPFDRNMYAQVJEIUSLKGHXZ	PRFIUYNHTOXKVZJELADGSBQM	LTOSJMADBGXEQVYNUZIRFHKP	VZJMOTLNISUHKXRAEQDGFBYP	FUMSVDARTNIYJQXLZBEGPHKO	ZUJASHPYDMTQFXLIKNRVOGEB	0
