experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cue0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	Hubert	2	2	S	0	False	A	True	120	120.0	0	0	0	NA	S	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	Hubert	2	2	L	0	True	A	True	120	120.0	0	0	0	NA	P	L	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	Hubert	2	0	M	0	True	A	True	0	0.0	0	0	0	NA	M	M	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	Hubert	2	2	P	0	False	A	True	120	300.0	0	1	1	NA	B	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	4	Hubert	2	0	I	0	False	A	True	0	180.0	0	1	1	NA	B	I	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	Hubert	2	2	F	0	True	A	True	0	180.0	0	1	1	NA	D	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	Hubert	2	1	D	0	False	A	True	0	210.0	0	1	1	NA	D	M	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	Hubert	2	1	S	0	True	A	True	120	150.0	0	0	0	NA	I	S	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	Hubert	2	2	S	0	False	A	True	0	180.0	0	1	1	NA	S	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	Hubert	2	2	Z	0	True	A	True	60	60.0	0	0	0	NA	Z	T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	10	Hubert	2	2	D	0	True	A	True	120	300.0	0	1	1	NA	D	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	11	Hubert	2	2	M	0	False	A	True	60	240.0	0	1	1	NA	S	M	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	12	Hubert	2	0	L	0	False	A	True	120	300.0	0	1	1	NA	L	L	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	13	Hubert	2	2	V	0	False	A	True	60	60.0	0	0	0	NA	V	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	14	Hubert	2	1	K	0	True	A	True	0	210.0	0	1	1	NA	K	Z	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	15	Hubert	2	1	J	0	False	A	True	120	330.0	0	1	1	NA	J	A	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	16	Hubert	2	0	E	0	False	A	True	60	240.0	0	1	1	NA	Y	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	17	Hubert	2	0	F	0	False	A	True	0	0.0	0	0	0	NA	L	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	18	Hubert	2	0	K	0	False	A	True	60	60.0	0	0	0	NA	V	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	19	Hubert	2	1	L	0	False	A	True	120	150.0	0	0	0	NA	L	U	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	20	Hubert	2	1	Z	0	True	A	True	120	330.0	0	1	1	NA	Y	Z	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	21	Hubert	2	1	V	0	True	A	True	60	270.0	0	1	1	NA	U	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	22	Hubert	2	1	B	0	True	A	True	0	30.0	0	0	0	NA	L	B	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	23	Hubert	2	0	Y	0	True	A	True	120	300.0	0	1	1	NA	I	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	24	Hubert	2	0	O	0	True	A	True	60	60.0	0	0	0	NA	Q	Q	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	25	Hubert	2	0	E	0	True	A	True	60	240.0	0	1	1	NA	Y	E	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	26	Hubert	2	0	O	0	False	A	True	120	120.0	0	0	0	NA	O	O	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	27	Hubert	2	1	K	0	False	A	True	60	270.0	0	1	1	NA	O	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	28	Hubert	2	1	R	0	False	A	True	0	30.0	0	0	0	NA	R	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	29	Hubert	2	0	F	0	True	A	True	0	180.0	0	1	1	NA	O	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	30	Hubert	2	2	B	0	False	A	True	0	0.0	0	0	0	NA	F	B	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	31	Hubert	2	2	L	0	True	A	True	0	0.0	0	0	0	NA	R	I	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	Hubert	2	1	K	0	False	A	True	60	90.0	0	0	0	NA	K	K	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	Hubert	2	2	S	0	True	A	True	60	240.0	0	1	1	NA	S	H	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	34	Hubert	2	0	Y	0	True	A	True	120	120.0	0	0	0	NA	Y	T	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	Hubert	2	1	R	0	True	A	True	60	90.0	0	0	0	NA	F	R	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	36	Hubert	2	2	D	0	False	A	True	0	0.0	0	0	0	NA	N	D	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	Hubert	2	1	S	0	False	A	True	60	90.0	0	0	0	NA	G	S	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	Hubert	2	1	F	0	True	A	True	0	210.0	0	1	1	NA	T	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	Hubert	2	1	H	0	False	A	True	60	270.0	0	1	1	NA	H	Y	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	40	Hubert	2	0	E	0	False	A	True	0	180.0	0	1	1	NA	E	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	41	Hubert	2	0	A	0	True	A	True	120	120.0	0	0	0	NA	Y	A	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	42	Hubert	2	0	F	0	False	A	True	60	60.0	0	0	0	NA	O	F	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	43	Hubert	2	0	N	0	True	A	True	60	60.0	0	0	0	NA	O	N	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1
main	44	Hubert	2	2	P	0	True	A	True	60	240.0	0	1	1	NA	Z	P	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	45	Hubert	2	0	Z	0	True	A	True	0	0.0	0	0	0	NA	Y	Z	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	46	Hubert	2	2	O	0	True	A	True	0	180.0	0	1	1	NA	H	G	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	47	Hubert	2	1	Y	0	False	A	True	120	150.0	0	0	0	NA	Y	X	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
