experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	0	18PG8	2	1	N	0	8	L	False	120	150.0	0	0	0	-4	KOZINHDSLPTVBXJQMEGRYFUA	OVXJFYBNUGLTASEIMZHDPRKQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	1	18PG8	6	2	E	0	9	S	False	120	300.0	0	1	5	10	NLRPXGEFVMDIKYHUJABOQTZS	OBUKJZMQSEANLVYGIPHDFRXT	PBHVZRXDIFLTAQUEGSNOYMJK	FGAZMHNDUKJVIOYRSQLPTEBX	RHUAQSJPEZYOIXMDKVFBNLTG	IYUXNMTAGSBVFKRLPHOEQDJZ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	2	18PG8	2	1	Z	0	10	J	False	120	150.0	0	0	0	-10	ZPBQONFAXHJISUYTKVMDERGL	PSUKOBMJDVHRZNAFGIXYETQL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	3	18PG8	18	1	B	0	6	I	False	0	30.0	0	0	6	3	JGFZUSYILQDBTPKEOXHNVAMR	OSRPGBLEHAJZYUDTQNFKXVMI	IXNLJEQSTVGUBZKOAMRYPFDH	ADXIBFZKJLRSHEUNOVMGQYTP	VKSHJXRQPUFIMETANZLGYODB	FBHKYATUSPVZOXDINJQRMLEG	XLKADRIHQBYSMPOTNUFVJZEG	BAOPTNGKZXDLFJYMVHSUIRQE	QKMLIFDYOVEJBSXGHNTAZRUP	TPGEKOFRUSVXLQMZDAIHJNYB	BGMHXUOPTSZVQDNERAKFJILY	QGTUAYHVKFZSBJNMXLPEOIRD	VRAJPBENFOGUQDYLMZHTXIKS	VNDSFAKRXLGBTQJIMZHEPOUY	EYVOLTSNDBFJQRIHXGPZKUMA	DKPRVOLSQMIYFXABUENTZGJH	GHLONPYVRKZMISTBEUQFJDAX	ELYUZAOSVIJFKTHBDPGNMRQX	0
main	4	18PG8	6	2	E	0	6	U	False	0	0.0	0	0	0	-3	VOSEJMUBXARDGKYFQHNZIPLT	EJAHZRQTOMPKIUSGDNLVFYBX	ZINGDSYRKLXOUHMPFJVTQEAB	NULAJHOXEKYQPMIBTZGRFDSV	FBZJXHDYALTRVGPEKQSOMNUI	UQBHKTDLNZAJRIYFVSMEGPXO	999	999	999	999	999	999	999	999	999	999	999	999	0
main	5	18PG8	2	2	I	0	8	V	False	60	240.0	0	1	1	13	XKTBQGPJDFOYLZUNHVSIAERM	EZBQLPAOVFKRHNDMYGSUJITX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	6	18PG8	2	1	R	0	7	D	False	120	330.0	0	1	1	-1	NVPRJUHEISMFOAGXYDQTZBKL	JKFUAORDBYSNIXGQMZTELPVH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	7	18PG8	2	2	Y	0	9	A	False	120	120.0	0	0	0	-2	XKHZJUPYBAVIQODNSERFLMTG	EGPDSIBMJUOTYRFLKAZQXVNH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	8	18PG8	6	1	T	0	8	F	False	120	150.0	0	0	2	1	EKPJYLTADHXQOFNVSRUBMZGI	ABEUHNIOZTJPRMQDFSYLXGVK	KDPVSIHGFTYENLMBAJOQXZRU	PJUQFAHXGDNYVBROSTMKLIEZ	RZNYAGTOBEJXUDPQKVSMHILF	ZABDFERJSHUOXIMKVNLGQTPY	999	999	999	999	999	999	999	999	999	999	999	999	0
main	9	18PG8	6	0	D	0	10	Z	False	0	0.0	0	0	0	1	QJIPMYSGUNZDHAFTOVKXERLB	XIQJSRPLBGVNHZYDEFMUTAOK	EQXMLBZUJHFGOAVTNPSKDIRY	NTXPLERBIJKZDOAUQFYSHGMV	RODVQKBJGHZLSPAIUFXEYNTM	XBPFMOQUSZHKIJGDRLTEANYV	999	999	999	999	999	999	999	999	999	999	999	999	0
