"","ID","Bouma_0","Bouma_1","Bouma_2","Yes_0","Yes_1","Yes_2"
"1","CB",0.829925198371449,0.644829177709827,0.798899857028714,0.862484912182484,0.81758043741895,0.573337647793037
"2","PB",0.815846984730818,0.717819328644075,0.424123524479785,0.643233105098378,0.510243366369744,0.508651181193081
"3","WN",1,0.841568011675878,0.796417792936075,0.930094916070343,0.899640259939221,0.864857363178226
