"","Central","Peripheral"
"1",80.31779,2.174743e-14
"2",343.7646,5.528063e-41
"3",0.0007098748,5.607332e-49
"4",47.51134,4.766946e-26
"5",0.2691466,5.683653e-07
"6",3.214227e-06,1.021725e-107
