RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION
AM3	43	AFTER	517.30	383.70	.	7	649	643
AM3	43	BEFORE	505.50	378.40	.	843	1058	216
AM3	43	NONE	523.60	381.70	.	1081	2297	1217
AM3	43	NONE	596.60	376.70	.	2331	2835	505
AM3	44	NONE	512.80	374.00	.	7	2831	2825
AM3	45	NONE	514.80	383.60	.	7	285	279
AM3	45	NONE	474.80	374.60	.	306	539	234
AM3	45	AFTER	508.10	372.90	.	562	974	413
AM3	45	BEFORE	498.20	388.20	.	1116	2830	1715
AM3	46	NONE	522.00	379.20	.	7	2829	2823
AM3	47	NONE	511.10	379.80	.	7	289	283
AM3	47	NONE	511.70	321.50	.	312	579	268
AM3	47	NONE	509.10	359.60	.	602	1687	1086
AM3	47	NONE	503.60	298.60	.	1711	2829	1119
AM3	48	NONE	515.60	384.40	.	7	311	305
AM3	48	NONE	490.50	400.30	.	332	603	272
AM3	48	NONE	513.30	394.30	.	623	2836	2214
AM3	49	NONE	514.10	392.80	.	7	1341	1335
AM3	49	NONE	500.40	334.20	.	1364	2834	1471
AM3	50	NONE	504.30	384.80	.	7	427	421
AM3	50	NONE	516.50	370.50	.	451	2830	2380
AM3	51	NONE	510.20	364.70	.	7	2830	2824
AM3	52	AFTER	513.30	384.80	.	7	521	515
AM3	52	BEFORE	512.10	387.70	.	768	1168	401
AM3	52	NONE	526.10	385.00	.	1182	2836	1655
AM3	53	AFTER	515.80	370.60	.	7	599	593
AM3	53	BEFORE	516.50	350.00	.	875	1102	228
AM3	53	NONE	501.70	364.20	.	1115	1772	658
AM3	53	NONE	510.60	330.20	.	1804	2838	1035
AM3	54	NONE	505.80	382.30	.	7	264	258
AM3	54	AFTER	485.30	368.70	.	282	548	267
AM3	54	BEFORE	507.30	372.10	.	799	1556	758
AM3	54	NONE	478.10	372.30	.	1579	2838	1260
AM3	55	AFTER	498.40	378.20	.	7	878	872
AM3	55	BEFORE	500.00	362.00	.	1122	1498	377
AM3	55	NONE	502.80	373.20	.	1512	2817	1306
AM3	56	NONE	507.80	383.70	.	7	296	290
AM3	56	NONE	473.20	379.70	.	320	1114	795
AM3	56	NONE	507.60	375.10	.	1137	2830	1694
AM3	57	NONE	511.50	392.60	.	7	1245	1239
AM3	57	NONE	497.60	358.60	.	1263	1691	429
AM3	57	NONE	525.00	366.30	.	1716	2831	1116
AM3	58	NONE	511.90	381.10	.	7	2838	2832
AM3	59	NONE	513.70	382.70	.	7	1477	1471
AM3	59	NONE	505.50	378.50	.	1495	2830	1336
AM3	60	NONE	531.40	388.90	.	7	251	245
AM3	60	NONE	491.50	374.20	.	273	1016	744
AM3	60	NONE	521.80	381.20	.	1035	2829	1795
AM3	61	NONE	512.50	370.80	.	7	756	750
AM3	61	NONE	525.40	378.60	.	765	2830	2066
AM3	62	NONE	508.50	372.80	.	7	2829	2823
AM3	63	NONE	498.50	370.10	.	7	2832	2826
AM3	64	NONE	509.40	378.50	.	7	2831	2825
AM3	65	NONE	505.10	388.40	.	9	373	365
AM3	65	NONE	517.20	378.90	.	383	2834	2452
AM3	66	NONE	508.30	374.60	.	7	2832	2826
AM3	67	NONE	517.60	373.80	.	7	2830	2824
AM3	68	NONE	512.00	382.50	.	7	2833	2827
AM3	69	AFTER	511.70	380.50	.	7	794	788
AM3	69	BEFORE	505.20	392.10	.	1031	2831	1801
AM3	70	NONE	505.70	389.10	.	119	628	510
AM3	70	NONE	516.20	377.10	.	646	2830	2185
AM3	71	AFTER	505.50	381.20	.	7	302	296
AM3	71	BEFORE	484.50	378.70	.	485	753	269
AM3	71	NONE	497.30	382.00	.	769	2836	2068
AM3	72	NONE	531.40	379.50	.	7	2833	2827
AM3	73	NONE	511.10	376.00	.	7	1984	1978
AM3	73	NONE	470.50	330.90	.	2008	2393	386
AM3	73	NONE	578.10	423.80	.	2436	2830	395
AM3	74	AFTER	517.40	381.20	.	7	248	242
AM3	74	BEFORE	508.80	373.60	.	537	668	132
AM3	74	NONE	518.20	380.50	.	690	2829	2140
AM3	75	AFTER	534.90	380.30	.	7	239	233
AM3	75	BEFORE	513.70	330.50	.	444	748	305
AM3	75	NONE	536.30	352.20	.	769	1035	267
AM3	75	NONE	515.30	354.20	.	1056	1392	337
AM3	75	NONE	524.90	371.10	.	1402	2842	1441
AM3	76	AFTER	493.80	389.80	.	7	69	63
AM3	76	BEFORE	490.00	378.40	.	323	2832	2510
AM3	77	NONE	520.30	391.10	.	7	2830	2824
AM3	78	NONE	517.90	388.10	.	7	2839	2833
AM3	79	NONE	513.30	378.50	.	7	2831	2825
AM3	80	AFTER	517.10	384.70	.	7	571	565
AM3	80	BEFORE	515.10	381.60	.	791	2834	2044
AM3	81	AFTER	503.90	374.20	.	7	395	389
AM3	81	BEFORE	508.00	380.00	.	599	2830	2232
AM3	82	NONE	518.00	373.20	.	7	2828	2822
AM3	83	NONE	522.80	386.60	.	7	2829	2823
AM3	84	NONE	516.70	380.60	.	7	2835	2829
AM3	85	NONE	513.40	375.90	.	7	309	303
AM3	85	NONE	493.00	366.40	.	331	559	229
AM3	85	AFTER	518.90	359.70	.	573	1071	499
AM3	85	BEFORE	523.00	343.50	.	1304	1476	173
AM3	85	NONE	524.60	356.60	.	1490	2830	1341
AM3	86	AFTER	512.00	382.30	.	7	565	559
AM3	86	BEFORE	502.70	365.90	.	768	1041	274
AM3	86	NONE	515.20	375.50	.	1054	2831	1778
AM3	87	NONE	512.10	380.00	.	7	2830	2824
AM3	88	AFTER	524.50	377.10	.	7	611	605
AM3	88	BEFORE	503.50	344.20	.	817	1065	249
AM3	88	NONE	525.90	370.60	.	1086	2829	1744
AM3	89	AFTER	507.40	387.80	.	75	405	331
AM3	89	BEFORE	506.90	386.70	.	570	1131	562
AM3	89	NONE	504.90	391.50	.	1149	2840	1692
AM3	90	AFTER	513.20	383.60	.	7	354	348
AM3	90	BEFORE	509.80	376.10	.	545	2830	2286
AM3	91	AFTER	517.00	379.30	.	7	524	518
AM3	91	BEFORE	517.10	365.90	.	718	1038	321
AM3	91	NONE	512.80	380.00	.	1047	2830	1784
AM3	92	NONE	511.20	372.00	.	7	2834	2828
AM3	93	NONE	528.40	378.60	.	7	252	246
AM3	93	NONE	499.20	340.30	.	274	816	543
AM3	93	NONE	539.20	349.60	.	838	1034	197
AM3	93	NONE	522.80	364.30	.	1046	2831	1786
AM3	94	AFTER	510.40	384.10	.	7	471	465
AM3	94	BEFORE	526.80	375.10	.	737	1036	300
AM3	94	NONE	509.80	379.30	.	1045	1554	510
AM3	94	NONE	510.90	327.30	.	1582	2269	688
AM3	94	NONE	503.70	442.00	.	2312	2754	443
AM3	95	AFTER	509.90	377.90	.	7	817	811
AM3	95	BEFORE	513.00	361.50	.	987	1169	183
AM3	95	NONE	503.20	368.00	.	1176	2830	1655
AM3	96	AFTER	514.50	385.30	.	7	403	397
AM3	96	BEFORE	514.00	367.30	.	679	1022	344
AM3	96	NONE	514.20	383.90	.	1030	2833	1804
AM3	97	NONE	507.70	384.90	.	7	818	812
AM3	97	NONE	471.10	393.30	.	841	1063	223
AM3	97	NONE	495.10	378.20	.	1082	2839	1758
AM3	98	NONE	513.40	379.40	.	7	277	271
AM3	98	AFTER	474.80	383.20	.	300	473	174
AM3	98	BEFORE	508.90	372.10	.	733	838	106
AM3	98	NONE	538.00	385.50	.	863	1103	241
AM3	98	NONE	516.70	379.10	.	1117	2837	1721
AM3	99	AFTER	512.90	390.60	.	7	368	362
AM3	99	BEFORE	517.30	375.00	.	561	1024	464
AM3	99	NONE	508.00	395.30	.	1047	1347	301
AM3	99	NONE	534.90	376.70	.	1381	1682	302
AM3	99	NONE	502.50	377.00	.	1714	2829	1116
AM3	100	AFTER	513.30	374.10	.	7	546	540
AM3	100	BEFORE	518.00	354.70	.	787	1047	261
AM3	100	NONE	502.50	372.80	.	1059	2828	1770
AM3	101	AFTER	509.80	381.40	.	7	456	450
AM3	101	BEFORE	512.70	385.80	.	770	1157	388
AM3	101	NONE	501.00	388.00	.	1165	2835	1671
AM3	102	AFTER	515.30	382.30	.	7	417	411
AM3	102	BEFORE	512.50	327.70	.	589	954	366
AM3	102	NONE	509.60	377.10	.	981	2830	1850
AM3	103	NONE	507.10	382.10	.	7	2831	2825
AM3	104	AFTER	509.60	385.10	.	7	268	262
AM3	104	BEFORE	490.10	364.20	.	483	835	353
AM3	104	NONE	509.80	376.40	.	853	2841	1989
AM3	105	AFTER	511.80	377.10	.	7	568	562
AM3	105	BEFORE	499.20	365.10	.	818	1316	499
AM3	105	NONE	508.50	388.40	.	1331	2834	1504
AM3	106	AFTER	513.20	381.40	.	7	458	452
AM3	106	BEFORE	514.30	370.80	.	712	1075	364
AM3	106	NONE	519.80	373.90	.	1084	2830	1747
AM3	107	NONE	518.60	372.10	.	7	2830	2824
AM3	108	NONE	507.30	374.40	.	7	255	249
AM3	108	NONE	457.30	381.50	.	279	621	343
AM3	108	NONE	485.30	382.80	.	641	2830	2190
AM3	109	NONE	526.00	389.00	.	7	1086	1080
AM3	109	NONE	499.90	368.40	.	1106	1375	270
