"RECORDING_SESSION_LABEL"	"TRIAL_LABEL"	"TRIAL_INDEX"	"CURRENT_FIX_BLINK_AROUND"	"CURRENT_FIX_X"	"CURRENT_FIX_Y"
"IK4"	"Trial: 1"	1	"NONE"	513	392.3
"IK4"	"Trial: 1"	1	"NONE"	506.1	396
"IK4"	"Trial: 2"	2	"NONE"	515.5	377.1
"IK4"	"Trial: 3"	3	"NONE"	513.3	380.2
"IK4"	"Trial: 4"	4	"NONE"	513.3	379.5
"IK4"	"Trial: 4"	4	"NONE"	532.1	304.6
"IK4"	"Trial: 5"	5	"NONE"	509.4	385.3
"IK4"	"Trial: 6"	6	"NONE"	514.9	383.9
"IK4"	"Trial: 6"	6	"NONE"	515	382.8
"IK4"	"Trial: 6"	6	"NONE"	527.6	388.9
"IK4"	"Trial: 7"	7	"NONE"	509.6	389.4
"IK4"	"Trial: 7"	7	"NONE"	493.9	390.8
"IK4"	"Trial: 7"	7	"NONE"	519.5	393.1
"IK4"	"Trial: 8"	8	"AFTER"	520	389
"IK4"	"Trial: 8"	8	"BEFORE"	507.8	392.5
"IK4"	"Trial: 9"	9	"NONE"	512.9	381.6
"IK4"	"Trial: 10"	10	"NONE"	506.7	389.6
"IK4"	"Trial: 11"	11	"NONE"	504.8	377.4
"IK4"	"Trial: 12"	12	"NONE"	516.3	387.6
"IK4"	"Trial: 12"	12	"NONE"	502.4	390.4
"IK4"	"Trial: 12"	12	"NONE"	526.3	390.7
"IK4"	"Trial: 12"	12	"NONE"	516.5	383.7
"IK4"	"Trial: 13"	13	"NONE"	513.4	393.3
"IK4"	"Trial: 14"	14	"NONE"	513.7	384.6
"IK4"	"Trial: 15"	15	"NONE"	507.9	382.7
"IK4"	"Trial: 16"	16	"NONE"	509.3	390.1
"IK4"	"Trial: 17"	17	"NONE"	517.6	379.8
"IK4"	"Trial: 18"	18	"NONE"	516.5	378.4
"IK4"	"Trial: 18"	18	"NONE"	516.1	375.6
"IK4"	"Trial: 19"	19	"NONE"	515.1	378.9
"IK4"	"Trial: 20"	20	"NONE"	514.1	376.5
"IK4"	"Trial: 21"	21	"NONE"	502.2	384.8
"IK4"	"Trial: 22"	22	"NONE"	513.4	374
"IK4"	"Trial: 23"	23	"NONE"	502.4	370.4
"IK4"	"Trial: 24"	24	"NONE"	512.1	367.8
"IK4"	"Trial: 25"	25	"NONE"	517.7	380.7
"IK4"	"Trial: 26"	26	"NONE"	517	385.8
"IK4"	"Trial: 27"	27	"AFTER"	503.8	392
"IK4"	"Trial: 27"	27	"BEFORE"	505.8	390.9
"IK4"	"Trial: 28"	28	"NONE"	507.3	370.9
"IK4"	"Trial: 29"	29	"NONE"	509.3	384.5
"IK4"	"Trial: 29"	29	"NONE"	510.6	392.1
"IK4"	"Trial: 30"	30	"NONE"	504.4	389.1
"IK4"	"Trial: 30"	30	"NONE"	502.6	384.1
"IK4"	"Trial: 30"	30	"NONE"	516.8	305.3
"IK4"	"Trial: 31"	31	"NONE"	514.6	397.4
"IK4"	"Trial: 32"	32	"NONE"	509.8	379.7
"IK4"	"Trial: 33"	33	"NONE"	513.6	381.4
"IK4"	"Trial: 33"	33	"NONE"	512.3	381.5
"IK4"	"Trial: 34"	34	"NONE"	514.4	380.3
"IK4"	"Trial: 35"	35	"NONE"	507.5	376.6
"IK4"	"Trial: 36"	36	"NONE"	507.3	381.4
"IK4"	"Trial: 37"	37	"NONE"	503.4	379.6
"IK4"	"Trial: 38"	38	"NONE"	514.3	384.5
"IK4"	"Trial: 39"	39	"NONE"	517.2	383.7
"IK4"	"Trial: 39"	39	"NONE"	518.6	378.4
"IK4"	"Trial: 39"	39	"NONE"	512.2	375.8
"IK4"	"Trial: 40"	40	"NONE"	518.2	383.3
"IK4"	"Trial: 41"	41	"NONE"	507.8	383
"IK4"	"Trial: 42"	42	"NONE"	517	383.7
"IK4"	"Trial: 43"	43	"NONE"	516.6	386.4
"IK4"	"Trial: 43"	43	"NONE"	510.2	384
"IK4"	"Trial: 43"	43	"NONE"	516.5	382.1
"IK4"	"Trial: 43"	43	"NONE"	517.7	391.9
"IK4"	"Trial: 44"	44	"NONE"	517.7	377.4
"IK4"	"Trial: 45"	45	"NONE"	519.5	384.3
"IK4"	"Trial: 45"	45	"NONE"	808.7	376.5
"IK4"	"Trial: 46"	46	"NONE"	509.2	374.8
"IK4"	"Trial: 47"	47	"NONE"	519.9	382.8
"IK4"	"Trial: 48"	48	"NONE"	510.4	381.4
"IK4"	"Trial: 49"	49	"AFTER"	520.5	378.6
"IK4"	"Trial: 49"	49	"BEFORE"	566.5	378.5
"IK4"	"Trial: 50"	50	"NONE"	515.6	378.8
"IK4"	"Trial: 50"	50	"NONE"	509.3	373.8
"IK4"	"Trial: 50"	50	"NONE"	516.6	374.5
"IK4"	"Trial: 51"	51	"NONE"	520.4	385.1
"IK4"	"Trial: 52"	52	"NONE"	509.3	384.7
