RECORDING_SESSION_LABEL	TRIAL_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
YZ15	Trial: 32	32	NONE	527.00	371.60
YZ15	Trial: 33	33	NONE	518.50	372.90
YZ15	Trial: 34	34	NONE	514.60	388.20
YZ15	Trial: 34	34	NONE	519.50	353.60
YZ15	Trial: 34	34	NONE	517.40	374.30
YZ15	Trial: 35	35	NONE	501.90	375.60
YZ15	Trial: 35	35	NONE	549.80	365.90
YZ15	Trial: 35	35	NONE	588.40	366.20
YZ15	Trial: 36	36	NONE	515.50	364.70
YZ15	Trial: 37	37	NONE	501.90	391.30
YZ15	Trial: 37	37	NONE	508.80	411.80
YZ15	Trial: 38	38	NONE	509.60	383.40
YZ15	Trial: 39	39	NONE	519.20	365.80
YZ15	Trial: 40	40	NONE	513.50	376.50
YZ15	Trial: 40	40	NONE	551.70	397.00
YZ15	Trial: 40	40	NONE	515.40	374.40
YZ15	Trial: 41	41	AFTER	511.80	386.10
YZ15	Trial: 41	41	BEFORE	520.80	385.50
YZ15	Trial: 41	41	NONE	513.50	388.40
YZ15	Trial: 41	41	NONE	513.10	385.80
YZ15	Trial: 41	41	NONE	480.70	403.30
YZ15	Trial: 41	41	NONE	505.00	355.90
YZ15	Trial: 42	42	NONE	515.00	377.40
YZ15	Trial: 43	43	NONE	511.30	370.00
YZ15	Trial: 44	44	NONE	511.80	375.80
YZ15	Trial: 44	44	NONE	554.30	344.40
YZ15	Trial: 44	44	NONE	523.00	356.80
YZ15	Trial: 45	45	NONE	508.90	380.70
YZ15	Trial: 46	46	NONE	520.50	372.80
YZ15	Trial: 47	47	NONE	523.80	369.80
YZ15	Trial: 48	48	AFTER	510.40	381.00
YZ15	Trial: 48	48	BEFORE	502.20	368.10
YZ15	Trial: 48	48	NONE	505.50	381.30
YZ15	Trial: 48	48	NONE	543.10	324.20
YZ15	Trial: 49	49	NONE	505.00	388.70
YZ15	Trial: 50	50	NONE	505.30	381.90
YZ15	Trial: 51	51	NONE	520.30	382.10
YZ15	Trial: 52	52	NONE	510.60	371.00
YZ15	Trial: 53	53	NONE	516.90	401.00
YZ15	Trial: 54	54	NONE	550.20	374.10
YZ15	Trial: 54	54	NONE	532.30	391.10
YZ15	Trial: 54	54	NONE	535.70	422.60
YZ15	Trial: 54	54	NONE	541.90	460.00
YZ15	Trial: 55	55	NONE	508.40	380.30
YZ15	Trial: 56	56	NONE	510.10	384.10
YZ15	Trial: 56	56	NONE	515.60	381.40
YZ15	Trial: 56	56	NONE	501.00	394.50
YZ15	Trial: 56	56	NONE	550.60	441.60
YZ15	Trial: 57	57	NONE	517.00	380.70
YZ15	Trial: 58	58	NONE	508.40	379.80
YZ15	Trial: 59	59	NONE	506.70	378.90
YZ15	Trial: 59	59	NONE	518.90	375.00
YZ15	Trial: 60	60	NONE	512.50	385.20
YZ15	Trial: 61	61	NONE	509.30	382.00
YZ15	Trial: 61	61	NONE	539.50	376.70
YZ15	Trial: 61	61	NONE	508.90	379.50
YZ15	Trial: 62	62	NONE	512.00	383.60
YZ15	Trial: 63	63	NONE	505.70	371.00
YZ15	Trial: 64	64	NONE	506.20	380.10
YZ15	Trial: 65	65	NONE	509.80	378.10
YZ15	Trial: 66	66	NONE	516.00	381.50
YZ15	Trial: 67	67	NONE	513.30	383.80
YZ15	Trial: 68	68	NONE	528.80	387.00
YZ15	Trial: 69	69	NONE	515.50	387.90
YZ15	Trial: 70	70	NONE	514.70	382.80
YZ15	Trial: 71	71	NONE	521.70	386.50
YZ15	Trial: 72	72	NONE	517.50	398.10
YZ15	Trial: 73	73	NONE	507.00	384.30
YZ15	Trial: 73	73	NONE	553.50	388.00
YZ15	Trial: 74	74	NONE	509.80	382.80
YZ15	Trial: 75	75	NONE	505.70	374.80
YZ15	Trial: 76	76	NONE	517.30	371.30
YZ15	Trial: 77	77	NONE	513.80	377.70
YZ15	Trial: 78	78	AFTER	516.30	388.10
YZ15	Trial: 78	78	BEFORE	516.10	382.50
YZ15	Trial: 78	78	NONE	529.80	388.80
YZ15	Trial: 79	79	NONE	512.20	390.00
YZ15	Trial: 79	79	NONE	503.70	370.60
YZ15	Trial: 80	80	NONE	514.00	380.10
YZ15	Trial: 80	80	NONE	516.30	361.50
YZ15	Trial: 81	81	NONE	504.10	363.70
YZ15	Trial: 82	82	NONE	522.40	376.60
YZ15	Trial: 83	83	NONE	510.30	377.30
YZ15	Trial: 84	84	NONE	517.20	386.90
YZ15	Trial: 84	84	NONE	537.70	408.20
YZ15	Trial: 84	84	NONE	589.40	423.50
YZ15	Trial: 85	85	NONE	514.90	390.30
YZ15	Trial: 86	86	NONE	509.40	379.70
YZ15	Trial: 86	86	NONE	538.70	356.70
YZ15	Trial: 86	86	NONE	524.60	360.60
YZ15	Trial: 86	86	NONE	510.80	357.80
YZ15	Trial: 87	87	NONE	512.70	377.00
YZ15	Trial: 87	87	NONE	520.70	428.60
YZ15	Trial: 88	88	NONE	519.10	380.80
YZ15	Trial: 89	89	NONE	518.80	387.60
YZ15	Trial: 90	90	NONE	519.00	372.80
YZ15	Trial: 91	91	NONE	518.90	374.00
YZ15	Trial: 91	91	NONE	485.80	356.30
YZ15	Trial: 92	92	NONE	503.00	383.60
YZ15	Trial: 93	93	NONE	510.20	385.60
YZ15	Trial: 94	94	NONE	504.60	384.00
YZ15	Trial: 95	95	NONE	526.00	386.10
YZ15	Trial: 96	96	NONE	514.50	379.20
YZ15	Trial: 97	97	NONE	509.80	370.30
YZ15	Trial: 98	98	NONE	519.40	368.30
YZ15	Trial: 99	99	NONE	514.70	379.50
YZ15	Trial: 100	100	NONE	519.00	384.10
YZ15	Trial: 101	101	NONE	510.40	383.80
YZ15	Trial: 102	102	NONE	513.10	368.00
YZ15	Trial: 103	103	NONE	521.70	369.40
YZ15	Trial: 104	104	NONE	516.00	382.20
YZ15	Trial: 104	104	NONE	509.40	380.10
YZ15	Trial: 104	104	NONE	532.70	418.20
YZ15	Trial: 105	105	NONE	510.40	388.90
YZ15	Trial: 106	106	NONE	514.10	381.60
YZ15	Trial: 107	107	NONE	525.10	390.30
YZ15	Trial: 107	107	NONE	521.00	360.40
YZ15	Trial: 108	108	NONE	497.70	391.00
YZ15	Trial: 109	109	NONE	508.10	372.80
YZ15	Trial: 110	110	NONE	514.60	384.80
YZ15	Trial: 111	111	NONE	505.00	374.40
YZ15	Trial: 111	111	NONE	549.40	389.40
YZ15	Trial: 112	112	NONE	513.70	369.80
YZ15	Trial: 113	113	NONE	516.40	395.00
YZ15	Trial: 114	114	NONE	509.90	391.10
YZ15	Trial: 115	115	NONE	507.10	375.40
YZ15	Trial: 116	116	NONE	521.00	384.10
YZ15	Trial: 117	117	NONE	518.80	368.60
YZ15	Trial: 117	117	NONE	521.70	366.80
YZ15	Trial: 118	118	NONE	510.40	391.60
YZ15	Trial: 119	119	NONE	513.90	378.90
YZ15	Trial: 119	119	NONE	560.70	402.30
YZ15	Trial: 120	120	NONE	521.60	382.80
YZ15	Trial: 121	121	NONE	512.00	372.40
YZ15	Trial: 122	122	NONE	514.60	366.30
YZ15	Trial: 123	123	NONE	513.20	369.40
YZ15	Trial: 123	123	NONE	464.90	421.00
YZ15	Trial: 124	124	NONE	519.40	375.70
YZ15	Trial: 124	124	NONE	477.00	362.30
YZ15	Trial: 124	124	NONE	517.10	364.30
YZ15	Trial: 125	125	NONE	512.80	367.40
YZ15	Trial: 125	125	NONE	486.50	366.20
YZ15	Trial: 126	126	NONE	517.30	387.50
YZ15	Trial: 127	127	NONE	511.20	384.30
YZ15	Trial: 127	127	NONE	480.30	385.70
YZ15	Trial: 127	127	NONE	519.70	363.70
YZ15	Trial: 128	128	NONE	499.80	382.50
YZ15	Trial: 129	129	NONE	532.30	402.00
YZ15	Trial: 130	130	NONE	512.40	383.70
YZ15	Trial: 131	131	NONE	511.60	375.80
YZ15	Trial: 131	131	NONE	586.10	388.50
YZ15	Trial: 132	132	NONE	556.50	367.80
YZ15	Trial: 132	132	NONE	544.10	367.00
YZ15	Trial: 132	132	NONE	534.90	387.70
YZ15	Trial: 133	133	NONE	518.20	390.70
YZ15	Trial: 134	134	NONE	537.70	352.20
YZ15	Trial: 135	135	NONE	507.70	390.30
YZ15	Trial: 135	135	NONE	505.20	374.40
YZ15	Trial: 136	136	NONE	511.00	388.90
YZ15	Trial: 137	137	NONE	523.00	381.70
YZ15	Trial: 138	138	NONE	521.30	354.70
YZ15	Trial: 138	138	NONE	588.80	346.00
YZ15	Trial: 138	138	NONE	531.90	347.60
YZ15	Trial: 139	139	NONE	509.80	362.10
YZ15	Trial: 140	140	NONE	512.30	389.20
YZ15	Trial: 141	141	NONE	529.50	399.00
YZ15	Trial: 142	142	NONE	515.10	377.60
YZ15	Trial: 142	142	NONE	455.50	371.70
YZ15	Trial: 143	143	NONE	519.40	365.60
YZ15	Trial: 144	144	NONE	508.30	357.70
YZ15	Trial: 145	145	NONE	533.30	389.70
YZ15	Trial: 146	146	NONE	522.20	387.70
YZ15	Trial: 147	147	NONE	514.70	386.00
YZ15	Trial: 148	148	NONE	526.70	357.30
YZ15	Trial: 149	149	NONE	501.50	359.70
YZ15	Trial: 150	150	NONE	526.20	401.90
YZ15	Trial: 151	151	NONE	540.30	409.50
YZ15	Trial: 152	152	NONE	510.40	366.80
YZ15	Trial: 153	153	NONE	528.10	403.40
YZ15	Trial: 153	153	NONE	487.40	430.20
YZ15	Trial: 153	153	NONE	529.90	388.40
YZ15	Trial: 154	154	NONE	509.10	383.00
YZ15	Trial: 154	154	NONE	568.80	411.80
YZ15	Trial: 154	154	NONE	517.00	395.90
YZ15	Trial: 155	155	NONE	494.90	386.20
YZ15	Trial: 155	155	NONE	527.90	389.80
YZ15	Trial: 155	155	NONE	599.30	425.20
YZ15	Trial: 156	156	NONE	519.00	403.10
YZ15	Trial: 157	157	NONE	516.70	381.40
YZ15	Trial: 157	157	NONE	556.80	386.60
YZ15	Trial: 158	158	NONE	495.60	397.30
YZ15	Trial: 158	158	NONE	507.20	340.50
YZ15	Trial: 159	159	NONE	520.10	393.60
YZ15	Trial: 160	160	NONE	521.70	390.60
YZ15	Trial: 160	160	NONE	505.60	368.30
YZ15	Trial: 161	161	NONE	548.30	368.80
YZ15	Trial: 161	161	NONE	535.20	373.70
YZ15	Trial: 161	161	NONE	542.90	384.40
YZ15	Trial: 162	162	NONE	503.70	381.30
YZ15	Trial: 162	162	NONE	515.60	391.90
YZ15	Trial: 163	163	NONE	513.20	363.60
YZ15	Trial: 163	163	NONE	549.60	334.10
YZ15	Trial: 163	163	NONE	520.80	350.40
YZ15	Trial: 163	163	NONE	509.40	354.50
YZ15	Trial: 164	164	NONE	512.10	360.20
YZ15	Trial: 165	165	NONE	526.00	388.30
YZ15	Trial: 166	166	NONE	514.20	391.70
YZ15	Trial: 167	167	NONE	509.30	393.30
YZ15	Trial: 168	168	NONE	506.40	388.50
YZ15	Trial: 169	169	NONE	525.90	378.20
YZ15	Trial: 170	170	NONE	526.80	383.00
YZ15	Trial: 171	171	NONE	508.40	382.30
YZ15	Trial: 171	171	NONE	524.00	399.20
YZ15	Trial: 172	172	NONE	507.90	392.90
YZ15	Trial: 172	172	NONE	548.70	436.40
YZ15	Trial: 173	173	NONE	516.10	373.60
YZ15	Trial: 174	174	NONE	532.40	362.80
YZ15	Trial: 175	175	NONE	526.80	379.10
YZ15	Trial: 176	176	NONE	515.90	390.30
YZ15	Trial: 176	176	NONE	537.10	380.20
YZ15	Trial: 176	176	NONE	525.10	384.40
YZ15	Trial: 177	177	NONE	514.90	382.00
YZ15	Trial: 178	178	NONE	521.60	371.40
YZ15	Trial: 178	178	NONE	486.80	387.70
YZ15	Trial: 178	178	NONE	512.90	357.90
YZ15	Trial: 179	179	NONE	515.90	384.90
YZ15	Trial: 180	180	NONE	508.60	371.40
YZ15	Trial: 180	180	NONE	633.40	337.10
YZ15	Trial: 181	181	NONE	519.10	380.10
YZ15	Trial: 181	181	NONE	529.60	377.40
YZ15	Trial: 182	182	NONE	521.40	366.10
YZ15	Trial: 183	183	NONE	523.90	373.40
YZ15	Trial: 184	184	NONE	518.80	375.60
YZ15	Trial: 185	185	NONE	523.00	370.50
YZ15	Trial: 186	186	NONE	507.90	376.00
YZ15	Trial: 186	186	NONE	286.60	359.90
YZ15	Trial: 187	187	NONE	513.40	377.40
YZ15	Trial: 187	187	NONE	505.20	375.40
YZ15	Trial: 187	187	NONE	504.70	384.70
YZ15	Trial: 187	187	NONE	516.00	379.50
YZ15	Trial: 188	188	NONE	524.80	389.20
YZ15	Trial: 189	189	NONE	513.40	369.20
YZ15	Trial: 190	190	NONE	515.20	364.80
YZ15	Trial: 190	190	NONE	467.60	355.20
YZ15	Trial: 191	191	NONE	512.60	390.40
YZ15	Trial: 192	192	NONE	512.10	389.40
YZ15	Trial: 193	193	NONE	524.30	386.70
YZ15	Trial: 194	194	NONE	514.40	359.40
YZ15	Trial: 194	194	NONE	534.50	343.10
YZ15	Trial: 194	194	NONE	517.50	348.50
YZ15	Trial: 195	195	NONE	511.70	413.70
YZ15	Trial: 196	196	NONE	504.80	385.10
YZ15	Trial: 196	196	NONE	525.30	377.10
YZ15	Trial: 196	196	NONE	522.80	377.30
YZ15	Trial: 196	196	NONE	575.40	362.80
YZ15	Trial: 196	196	NONE	610.30	385.00
YZ15	Trial: 197	197	NONE	506.90	380.40
YZ15	Trial: 197	197	NONE	552.50	423.00
YZ15	Trial: 198	198	NONE	514.30	383.50
YZ15	Trial: 198	198	NONE	528.60	382.10
YZ15	Trial: 199	199	NONE	509.30	382.30
YZ15	Trial: 199	199	NONE	200.60	384.70
YZ15	Trial: 200	200	NONE	511.50	369.70
YZ15	Trial: 201	201	NONE	513.30	358.30
YZ15	Trial: 201	201	NONE	523.20	351.10
YZ15	Trial: 201	201	NONE	532.40	347.90
YZ15	Trial: 202	202	NONE	512.00	383.60
YZ15	Trial: 202	202	NONE	519.40	366.70
YZ15	Trial: 202	202	NONE	528.70	378.20
YZ15	Trial: 203	203	NONE	515.40	370.00
YZ15	Trial: 204	204	NONE	505.40	334.00
YZ15	Trial: 204	204	NONE	493.00	330.90
YZ15	Trial: 204	204	NONE	514.90	371.20
YZ15	Trial: 205	205	NONE	513.70	368.90
YZ15	Trial: 205	205	NONE	520.70	349.10
YZ15	Trial: 205	205	NONE	527.60	341.00
YZ15	Trial: 205	205	NONE	582.50	336.60
YZ15	Trial: 205	205	NONE	614.80	347.30
YZ15	Trial: 205	205	NONE	687.20	355.90
YZ15	Trial: 205	205	NONE	720.70	355.30
YZ15	Trial: 206	206	NONE	513.50	371.50
YZ15	Trial: 206	206	NONE	509.50	349.60
YZ15	Trial: 206	206	NONE	525.20	335.70
YZ15	Trial: 207	207	AFTER	509.00	384.60
YZ15	Trial: 207	207	BEFORE	510.60	341.70
YZ15	Trial: 207	207	NONE	521.50	369.70
YZ15	Trial: 207	207	NONE	538.30	345.30
YZ15	Trial: 207	207	NONE	537.90	344.50
YZ15	Trial: 208	208	NONE	516.50	378.20
YZ15	Trial: 208	208	NONE	515.40	389.40
YZ15	Trial: 208	208	NONE	516.00	407.70
YZ15	Trial: 209	209	NONE	507.50	386.10
YZ15	Trial: 209	209	NONE	517.60	381.50
YZ15	Trial: 209	209	NONE	531.70	371.10
YZ15	Trial: 209	209	NONE	222.00	401.60
YZ15	Trial: 210	210	NONE	515.00	377.80
YZ15	Trial: 210	210	NONE	534.40	361.10
YZ15	Trial: 210	210	NONE	539.10	395.50
YZ15	Trial: 211	211	NONE	511.60	390.70
YZ15	Trial: 211	211	NONE	509.50	376.10
YZ15	Trial: 211	211	NONE	517.00	364.20
YZ15	Trial: 211	211	NONE	477.60	365.00
YZ15	Trial: 211	211	NONE	482.20	365.70
YZ15	Trial: 212	212	NONE	513.60	391.10
YZ15	Trial: 213	213	NONE	524.70	377.90
YZ15	Trial: 213	213	NONE	580.90	382.70
YZ15	Trial: 214	214	NONE	531.50	365.60
YZ15	Trial: 214	214	NONE	525.70	367.40
YZ15	Trial: 214	214	NONE	570.90	349.70
YZ15	Trial: 214	214	NONE	528.40	354.00
YZ15	Trial: 215	215	NONE	510.40	376.50
YZ15	Trial: 216	216	NONE	492.90	381.80
YZ15	Trial: 216	216	NONE	493.30	376.10
YZ15	Trial: 217	217	NONE	517.40	377.80
YZ15	Trial: 218	218	NONE	520.10	374.80
YZ15	Trial: 219	219	NONE	500.50	374.20
YZ15	Trial: 220	220	NONE	516.80	361.00
YZ15	Trial: 220	220	NONE	528.20	361.20
YZ15	Trial: 220	220	NONE	507.70	378.20
YZ15	Trial: 221	221	NONE	521.80	361.50
YZ15	Trial: 221	221	NONE	551.80	346.00
YZ15	Trial: 222	222	NONE	507.70	365.30
YZ15	Trial: 222	222	NONE	556.90	334.30
YZ15	Trial: 223	223	NONE	505.40	389.60
YZ15	Trial: 223	223	NONE	552.80	369.20
YZ15	Trial: 223	223	NONE	517.30	377.80
YZ15	Trial: 223	223	NONE	584.20	374.20
YZ15	Trial: 224	224	NONE	514.40	391.90
YZ15	Trial: 225	225	NONE	503.70	382.60
YZ15	Trial: 225	225	NONE	502.10	383.90
YZ15	Trial: 226	226	NONE	503.90	382.70
YZ15	Trial: 226	226	NONE	575.10	364.50
YZ15	Trial: 227	227	NONE	516.30	387.50
YZ15	Trial: 227	227	NONE	521.50	390.00
YZ15	Trial: 227	227	NONE	491.30	391.40
YZ15	Trial: 228	228	NONE	524.40	388.40
YZ15	Trial: 229	229	NONE	519.30	366.50
YZ15	Trial: 229	229	NONE	469.50	390.80
YZ15	Trial: 230	230	AFTER	518.40	388.30
YZ15	Trial: 230	230	BEFORE	534.20	377.00
YZ15	Trial: 230	230	NONE	487.60	426.10
YZ15	Trial: 231	231	NONE	512.50	389.30
YZ15	Trial: 232	232	NONE	522.40	393.40
YZ15	Trial: 233	233	AFTER	518.90	366.70
YZ15	Trial: 233	233	BEFORE	519.20	355.70
YZ15	Trial: 234	234	NONE	520.50	368.00
YZ15	Trial: 235	235	NONE	520.20	406.70
YZ15	Trial: 236	236	NONE	510.30	381.40
YZ15	Trial: 236	236	NONE	518.10	385.30
YZ15	Trial: 237	237	NONE	511.60	372.80
YZ15	Trial: 237	237	NONE	550.30	368.50
YZ15	Trial: 238	238	NONE	512.70	389.70
YZ15	Trial: 239	239	NONE	515.70	387.60
YZ15	Trial: 240	240	NONE	511.00	389.80
YZ15	Trial: 241	241	NONE	512.10	378.20
YZ15	Trial: 242	242	NONE	531.80	383.10
YZ15	Trial: 242	242	NONE	518.40	377.30
YZ15	Trial: 243	243	NONE	509.80	384.20
YZ15	Trial: 244	244	NONE	521.90	383.30
YZ15	Trial: 245	245	NONE	514.00	379.60
YZ15	Trial: 245	245	NONE	527.60	364.90
YZ15	Trial: 246	246	NONE	526.00	385.30
YZ15	Trial: 247	247	NONE	510.60	388.60
YZ15	Trial: 248	248	NONE	513.00	390.30
YZ15	Trial: 249	249	NONE	535.30	359.90
YZ15	Trial: 249	249	NONE	519.90	372.40
YZ15	Trial: 249	249	NONE	516.80	383.60
YZ15	Trial: 250	250	NONE	504.30	384.50
YZ15	Trial: 250	250	NONE	556.80	373.80
YZ15	Trial: 251	251	NONE	525.60	390.10
YZ15	Trial: 252	252	NONE	518.70	368.40
YZ15	Trial: 253	253	NONE	505.70	389.10
YZ15	Trial: 254	254	NONE	528.00	382.40
YZ15	Trial: 255	255	NONE	513.70	378.70
YZ15	Trial: 256	256	NONE	518.40	372.50
YZ15	Trial: 257	257	NONE	528.00	390.90
YZ15	Trial: 258	258	NONE	510.80	387.20
YZ15	Trial: 259	259	NONE	522.10	389.50
YZ15	Trial: 260	260	NONE	512.00	381.20
YZ15	Trial: 261	261	NONE	522.70	376.00
YZ15	Trial: 262	262	NONE	515.70	376.80
YZ15	Trial: 263	263	NONE	511.90	377.20
YZ15	Trial: 264	264	NONE	524.80	371.40
YZ15	Trial: 265	265	NONE	514.80	381.20
YZ15	Trial: 266	266	NONE	507.10	383.00
YZ15	Trial: 266	266	NONE	507.00	374.10
YZ15	Trial: 267	267	NONE	517.80	376.90
YZ15	Trial: 267	267	NONE	506.20	379.00
YZ15	Trial: 268	268	NONE	518.30	376.50
YZ15	Trial: 269	269	NONE	516.70	381.80
YZ15	Trial: 269	269	NONE	515.80	377.10
YZ15	Trial: 270	270	NONE	519.30	381.00
YZ15	Trial: 271	271	NONE	529.60	373.70
YZ15	Trial: 271	271	NONE	332.30	368.10
YZ15	Trial: 271	271	NONE	243.20	382.00
YZ15	Trial: 272	272	NONE	517.20	390.80
YZ15	Trial: 272	272	NONE	577.60	385.40
