"participant","exp","pool","efficacy","latency","precision","val","valGuessing","pLRtest","pBetween","nReps","date"
"EL","Exp2","Experienced Observers",0.887858637385566,53.7260631614274,69.0828700901413,176.160874683856,176.160874683856,7.54096711997354e-62,0.447512544355919,100,"2019-04-10 13:26:04"
"FJ","Exp2","Experienced Observers",0.740275189410428,76.1317810193067,97.6871619114657,241.243115322131,241.243115322131,2.39319024358852e-35,0.311494710438849,100,"2019-04-10 13:26:04"
"LS","Exp2","Experienced Observers",0.650417805240203,72.2049947882691,62.5987242449824,241.907817845865,241.907817845865,2.39437348933204e-36,0.446187982132447,100,"2019-04-10 13:26:04"
"PG","Exp2","Experienced Observers",0.905592413391521,3.12060707612368,77.9754245172546,179.255877120009,179.255877120009,3.14899520622128e-60,0.364149443494106,100,"2019-04-10 13:26:04"
"SY","Exp2","Experienced Observers",0.651957256291537,24.1801774527353,89.9396226640216,255.771783716541,255.771783716541,2.5746786460608e-29,0.350611117315203,100,"2019-04-10 13:26:04"
"WC","Exp2","Experienced Observers",0.547338609454651,11.4963545092107,78.8629590293985,274.450768288823,274.450768288823,4.41192628774142e-23,0.376779365078359,100,"2019-04-10 13:26:04"
"JA","Exp1","SONA",0.849707566417849,69.4110375908904,53.4261817980189,170.176691924401,170.176691924401,7.71573483252494e-64,0.505856932395267,100,"2019-04-10 13:26:04"
"JB","Exp1","SONA",0.829686499984105,18.1170691916493,82.7635977094562,207.284025999295,207.284025999295,3.70714885344128e-49,0.371283100544693,100,"2019-04-10 13:26:04"
"JC","Exp1","SONA",0.803911464151652,54.4953957582926,38.1347072277986,171.166886813303,171.166886813303,2.38525900452833e-65,0.698740334793914,100,"2019-04-10 13:26:04"
"JD","Exp1","SONA",0.756168022598692,21.5912418220306,81.7742787208233,223.309488788006,223.309488788006,2.9750317398193e-41,0.379008105866118,100,"2019-04-10 13:26:04"
"JE","Exp1","SONA",0.873926547359229,28.9532693417103,51.9992895786712,161.83612877916,161.83612877916,7.67220616899554e-68,0.563338172454927,100,"2019-04-10 13:26:04"
"JF","Exp1","SONA",0.855479932492972,54.951479531799,63.263002536082,178.673729861205,178.673729861205,2.77084149462991e-60,0.480624057688141,100,"2019-04-10 13:26:04"
"JG","Exp1","SONA",0.799677645588841,21.5243374856913,57.0430269441551,193.4619133273,193.4619133273,3.02658584415872e-55,0.507755620728717,100,"2019-04-10 13:26:04"
"JH","Exp1","SONA",0.912552786518024,12.6065663489968,93.441865950301,189.903409620359,189.903409620359,1.19587740184295e-55,0.329106950868447,100,"2019-04-10 13:26:04"
"JI","Exp1","SONA",0.655929056791172,35.1643017277897,80.7547644018983,251.504865083257,251.504865083257,7.2906308904248e-32,0.392954939872573,100,"2019-04-10 13:26:04"
"JJ","Exp1","SONA",0.838666760836361,27.0081267400777,66.9276340315454,192.475667486123,192.475667486123,4.67137210708602e-56,0.456714807837693,100,"2019-04-10 13:26:04"
"JK","Exp1","SONA",0.756861588281059,45.913781190743,162.975308586379,265.359179192064,265.359179192064,1.89193099965512e-24,0.201721479743315,100,"2019-04-10 13:26:04"
"JL","Exp1","SONA",0.860643650890537,15.9475824443104,43.9601922074148,154.395165030907,154.395165030907,4.52560515313106e-71,0.57896029947755,100,"2019-04-10 13:26:04"
"JM","Exp1","SONA",0.63171422182978,15.7673107397706,60.2999621428047,242.428737860076,242.428737860076,3.50978260262834e-35,0.471888628135617,100,"2019-04-10 13:26:04"
"JN","Exp1","SONA",0.607784006657283,29.7613824414647,81.926145754268,264.24610892252,264.24610892252,2.84802125208907e-27,0.385212354798046,100,"2019-04-10 13:26:04"
"JO","Exp1","SONA",0.711065196106521,40.680620171257,70.0490524306864,226.673066872378,226.673066872378,3.12562542312069e-40,0.447997660270945,100,"2019-04-10 13:26:04"
"JP","Exp1","SONA",0.588038674809987,75.7366357949122,85.3599604627898,266.102605344703,266.102605344703,3.85635908465735e-25,0.347988495096962,100,"2019-04-10 13:26:04"
"JQ","Exp1","SONA",0.822394547401004,56.9098638566829,53.1975304322781,178.915737850966,178.915737850966,3.09219879544932e-60,0.547943100750431,100,"2019-04-10 13:26:04"
"JR","Exp1","SONA",0.416741258322494,49.7037504916429,64.8489276649652,292.784203018224,292.784203018224,3.31453133419681e-16,0.476271419092758,100,"2019-04-10 13:26:04"
"JS","Exp1","SONA",0.218929065715361,56.2881854317675,49.8944005721645,315.000612165131,315.000612165131,2.27839995842903e-06,0.576478135871949,100,"2019-04-10 13:26:04"
"JT","Exp1","SONA",0.588353341040275,50.373955966134,79.3665155078276,263.913740409341,325.921976422131,1.05270217564805e-26,0.398219834628599,100,"2019-04-10 13:26:04"
