"twoStreams","eightStreams"
36.7338,90.3689
52.4438,78.9633
66.0117,132.6853
27.8059,55.2731
73.5362,100.7591
9.6493,71.2692
76.7608,104.344
35.5074,93.5463
59.3658,80.7503
69.4983,79.5895
