Participant,Group,Parameter,Model,Estimate
AJ7,twoStreams,Latency,Normal,36.7338
AN14,twoStreams,Latency,Normal,66.0117
BB6,twoStreams,Latency,Normal,27.8059
IK4,twoStreams,Latency,Normal,73.5362
JA8,twoStreams,Latency,Normal,9.6493
LH9,twoStreams,Latency,Normal,76.7608
LS2,twoStreams,Latency,Normal,35.5074
LT5,twoStreams,Latency,Normal,59.3658
RN12,twoStreams,Latency,Normal,69.4983
YZ15,twoStreams,Latency,Normal,41.3150
AJ7,eightStreams,Latency,Normal,90.3689
AN14,eightStreams,Latency,Normal,132.6853
BB6,eightStreams,Latency,Normal,55.2731
IK4,eightStreams,Latency,Normal,100.7591
JA8,eightStreams,Latency,Normal,71.2692
LH9,eightStreams,Latency,Normal,104.3440
LS2,eightStreams,Latency,Normal,93.5463
LT5,eightStreams,Latency,Normal,80.7503
RN12,eightStreams,Latency,Normal,79.5895
YZ15,eightStreams,Latency,Normal,97.5518
