Group,Estimate
twoStreams,0.2536
twoStreams,0.1805
twoStreams,0.2815
twoStreams,0.1884
twoStreams,0.2868
twoStreams,0.1892
twoStreams,0.2320
twoStreams,0.2574
twoStreams,0.1286
twoStreams,0.1495
eightStreams,0.1591
eightStreams,0.0692
eightStreams,0.2518
eightStreams,0.0682
eightStreams,0.1805
eightStreams,0.1275
eightStreams,0.1008
eightStreams,0.1544
eightStreams,0.1206
eightStreams,0.0815
