"participant","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model","BF","favouredModel"
"AB14","twoStreams",0.74607755280062,2.60408237852166,0.196154070010471,198.868686336402,346.411963428751,1.15119271487426e-63,"Gamma",26822.5481118673,"Normal"
"BN12","twoStreams",0.781976511335884,1.78486137882526,0.403844235728975,208.216017477642,359.120055709321,4.04060391793922e-65,"Gamma",0.469761657625514,"Neither"
"EF6","twoStreams",0.615103469644382,3.25839497941641,1.16675675740381,317.635204154116,361.725642710938,5.38563572551602e-19,"Gamma",1.57966938589021,"Neither"
"FC21","twoStreams",0.660122735844134,4.69887062525706,0.1,192.662683843358,298.043206715712,1.99389269835642e-45,"Gamma",2.12969990673296,"Neither"
"GR13","twoStreams",0.663460661829893,1.94078910961509,0.419649171253455,233.504968164056,333.877502256144,2.91187205131505e-43,"Gamma",2.73801187119701,"Neither"
"HT5","twoStreams",0.71453976203439,2.0378184131584,1.04646754573486,229.676724174854,295.375969420334,2.70199049298145e-28,"Gamma",0.089978371842047,"Gamma"
"JW8","twoStreams",0.553252925393786,1.3531120064121,1.23223925740949,275.851607202224,322.387773547503,4.79229270894249e-20,"Gamma",19.6596229900783,"Normal"
"KH18","twoStreams",0.842880135652993,4.03572404331946,0.222619551546946,112.692838318222,233.723421071398,3.41013486068088e-52,"Gamma",1.21665475840082,"Neither"
"MC10","twoStreams",0.598713518268811,2.25862992705901,0.283835342412636,147.902121004208,203.257455865125,7.71594810620254e-24,"Gamma",14354.2307922649,"Normal"
"NC21","twoStreams",0.786455158879208,1.36820707879085,1.01824889821127,186.744020991569,271.932829879024,1.05473571754142e-36,"Gamma",1.009456401414,"Neither"
"RL11","twoStreams",0.606122196868302,1.4290845539612,0.375863227172525,249.706976269343,349.475003818027,5.31382574680179e-43,"Gamma",26149.7570193153,"Normal"
"SH20","twoStreams",0.806352533950887,1.84929842007038,0.528350448868987,198.092714953752,334.190704099585,1.03362272727874e-58,"Gamma",22.3421962572313,"Normal"
"ZZ9","twoStreams",0.490179604420338,1.58421666491991,1.02834613425962,315.262578574296,358.908026763674,8.3625683753297e-19,"Gamma",114.236935560406,"Normal"
"AB14","eightStreams",0.839557451787162,4.64732641355683,0.1,150.26843715116,327.681513630447,1.34476554066766e-76,"Gamma",7.57227786776788,"Normal"
"BN12","eightStreams",0.852139710667865,1.61505274450396,0.47008874656976,176.815218260471,340.281911683087,1.47166552567381e-70,"Gamma",0.0800686031321751,"Gamma"
"EF6","eightStreams",0.51284312735349,3.29764725265694,1.19014479461421,327.447005744821,356.939948458752,9.68001031231394e-13,"Gamma",2.15664698985415,"Neither"
"FC21","eightStreams",0.66435178186559,1.43777131961383,0.673072662466126,196.85033331459,271.544517952999,3.57030028051736e-32,"Gamma",0.420009745571572,"Neither"
"GR13","eightStreams",0.693632553913588,1.88160837073091,0.509151373555212,251.553984886224,363.656343759229,2.47600100495352e-48,"Gamma",3919.12821474188,"Normal"
"HT5","eightStreams",0.506089945961202,2.02646965435355,1.13282851223738,314.764731219678,352.258472009044,3.64577310765511e-16,"Gamma",18.7636673285018,"Normal"
"JW8","eightStreams",0.624825144469871,2.71429295019908,0.709669489464243,279.81937099619,348.971520585973,8.77137527840619e-30,"Gamma",5.55721518123882,"Normal"
"KH18","eightStreams",0.856573582596826,2.95794573697745,0.413478788652426,140.778663221561,260.886121558753,8.55126650153697e-52,"Gamma",0.330903118530469,"Gamma"
"MC10","eightStreams",0.613351265148246,2.71558990243519,0.403647382725868,170.563428653363,229.993480263569,1.35807400822819e-25,"Gamma",1.69361149362554,"Neither"
"NC21","eightStreams",0.68013810929537,1.81516927690239,0.917642456816523,222.553382165345,288.215213987375,2.8042091921282e-28,"Gamma",42.1477049106452,"Normal"
"RL11","eightStreams",0.726159095312104,2.13760350518302,0.364164076538231,232.550049386616,365.385080441248,2.66818514699127e-57,"Gamma",92.3461486880902,"Normal"
"SH20","eightStreams",0.807016869704422,2.44148483471629,0.451059847660829,209.010170038141,354.107667852863,1.31744132796115e-62,"Gamma",1.84898943801323,"Neither"
"ZZ9","eightStreams",0.450159011049612,2.92596367595482,0.76093655198356,304.011011239255,338.217568999507,9.33264863707336e-15,"Gamma",1.36185124468863,"Neither"
"AB14","twoStreams",0.839927856455091,0.304682863664294,0.639816146094238,188.67168817618,346.411963428751,4.43675417554995e-68,"Normal",26822.5481118673,"Normal"
"BN12","twoStreams",0.78086038458473,0.621133764816622,0.56672634901586,208.971547301979,359.120055709321,8.5799738475592e-65,"Normal",0.469761657625514,"Neither"
"EF6","twoStreams",0.66725647751973,3.42304905864523,2.16706947474648,317.17798857841,361.725642710938,3.42658940811625e-19,"Normal",1.57966938589021,"Neither"
"FC21","twoStreams",0.681608237668272,0.359076772960609,0.436917081078466,191.90670276242,298.043206715712,9.3955263007232e-46,"Normal",2.12969990673296,"Neither"
"GR13","twoStreams",0.679050630138735,0.726642587544644,0.645482240451853,232.497736101481,333.877502256144,1.06876931953098e-43,"Normal",2.73801187119701,"Neither"
"HT5","twoStreams",0.740782574512645,1.92389927301562,1.50352626149108,232.084910125252,295.375969420334,2.94821808635172e-27,"Normal",0.089978371842047,"Gamma"
"JW8","twoStreams",0.666189272953076,1.15445056033109,1.76990062683165,272.873040264185,322.387773547503,2.5128570177096e-21,"Normal",19.6596229900783,"Normal"
"KH18","twoStreams",0.843130883664968,0.916660535399254,0.462181667570018,112.496733226959,233.723421071398,2.80512930924625e-52,"Normal",1.21665475840082,"Neither"
"MC10","twoStreams",0.731635241691463,0.366857018846691,0.747911128532051,138.330320997745,203.257455865125,5.81404586132237e-28,"Normal",14354.2307922649,"Normal"
"NC21","twoStreams",0.776678817150728,1.17867131992053,0.97525036964311,186.734609022028,271.932829879024,1.0449122000721e-36,"Normal",1.009456401414,"Neither"
"RL11","twoStreams",0.702635679914693,0.278543190006201,0.694469169050773,239.535381091698,349.475003818027,2.13217347852282e-47,"Normal",26149.7570193153,"Normal"
"SH20","twoStreams",0.82141798522369,0.824227584697178,0.706747388153954,194.986237854414,334.190704099585,4.67844679183339e-60,"Normal",22.3421962572313,"Normal"
"ZZ9","twoStreams",0.601588920082561,1.19380707779929,1.58876582558819,310.52430390064,358.908026763674,7.69912348793604e-21,"Normal",114.236935560406,"Normal"
"AB14","eightStreams",0.864376648897012,0.347040441975202,0.422947539527903,148.243943221739,327.681513630447,1.78595376541955e-77,"Normal",7.57227786776788,"Normal"
"BN12","eightStreams",0.838788980722315,0.655795475183439,0.580008918073015,179.340089733103,340.281911683087,1.82384250180349e-69,"Normal",0.0800686031321751,"Gamma"
"EF6","eightStreams",0.522922185619002,3.48647431409958,1.95495266134448,326.678451048733,356.939948458752,4.54469443567885e-13,"Normal",2.15664698985415,"Neither"
"FC21","eightStreams",0.650939122337387,0.786980699797087,0.709743478534897,197.717810678823,271.544517952999,8.45166392825688e-32,"Normal",0.420009745571572,"Neither"
"GR13","eightStreams",0.763993869697508,0.753677119967327,0.848465326733552,243.280360372371,363.656343759229,6.54474072404825e-52,"Normal",3919.12821474188,"Normal"
"HT5","eightStreams",0.533731314903661,1.97926868398721,1.48030127499463,311.832808808611,352.258472009044,2.01565601802116e-17,"Normal",18.7636673285018,"Normal"
"JW8","eightStreams",0.639282671283427,1.76246846556403,1.09456766026114,278.104273880087,348.971520585973,1.59755566914343e-30,"Normal",5.55721518123882,"Normal"
"KH18","eightStreams",0.850254407151033,1.140131828722,0.66798983130004,141.884592861271,260.886121558753,2.57239382318558e-51,"Normal",0.330903118530469,"Gamma"
"MC10","eightStreams",0.60039768230323,1.04622410718447,0.561286138635121,170.036565426043,229.993480263569,8.05368986523192e-26,"Normal",1.69361149362554,"Neither"
"NC21","eightStreams",0.684694849832341,1.34879549135002,1.0222977118797,218.812201932898,288.215213987375,6.83745866095235e-30,"Normal",42.1477049106452,"Normal"
"RL11","eightStreams",0.771891004170112,0.653052537570471,0.679457558002768,228.024505384272,365.385080441248,2.93777576970004e-59,"Normal",92.3461486880902,"Normal"
"SH20","eightStreams",0.837143870548398,1.01518867783821,0.790741543782186,208.395530798022,354.107667852863,7.1401692509118e-63,"Normal",1.84898943801323,"Neither"
"ZZ9","eightStreams",0.496558215058896,1.89356877189446,1.45385713672082,303.702166255783,338.217568999507,6.88291747100278e-15,"Normal",1.36185124468863,"Neither"
