"participant","cueType","nStreams","efficacy","latency","precision","val","valGuessing","pLRtest","model","shape","scale","BF","favouredModel"
"CL","endogenous",2,0.621315316995698,192.924191675097,78.1512419793173,297.381307329841,369.733451848734,3.65606906763915e-31,"Gamma",6.09398821692205,0.474871754279185,1.62054479977234,"Neither"
"CT1","endogenous",2,0.72242513491252,152.746620668476,109.90827760582,283.835591673122,359.090333384407,2.0457860188236e-32,"Gamma",1.93144531983191,1.18626154543507,451501149.510936,"Normal"
"CL","exogenousRing",2,0.589664086055792,80.8111060339638,71.4029594298628,294.52971440557,369.14272972375,3.87010843045461e-32,"Gamma",1.28088363528865,0.946351844237818,29.5109445231416,"Normal"
"CT1","exogenousRing",2,0.562569809429962,54.9447225640848,44.5562141710649,273.380422748615,353.133173640926,2.34339698981629e-34,"Gamma",1.52067149082225,0.54197822701051,6703670788961.68,"Normal"
"CL","endogenous",6,0.794393170031989,243.524005459427,103.217484469823,259.723622139026,352.382141811552,6.26814138978862e-40,"Gamma",5.56643337790986,0.656229911308669,13.0856642829275,"Normal"
"CT1","endogenous",6,0.786210145347432,231.570965947815,107.469211800445,268.186616857478,357.996715606651,1.06533283943733e-38,"Gamma",4.6430150035183,0.74812691464169,2.1278286174402,"Neither"
"CL","exogenousRing",6,0.625999290358073,81.003938261659,64.8018913475417,271.458664479938,353.906285179444,1.60919108198669e-35,"Gamma",1.56256072710585,0.777607585322716,3.32500912592047,"Normal"
"CT1","exogenousRing",6,0.781847120972158,66.3135192128089,57.0160679168831,230.768324327294,363.921277812784,1.94383427780426e-57,"Gamma",1.35272534213922,0.735332411692013,408015.196319791,"Normal"
"CL","endogenous",2,0.656676165591668,180.022857864036,87.517581961367,296.898544940976,369.733451848734,2.26348664823132e-31,"Normal",NA,NA,1.62054479977234,"Neither"
"CT1","endogenous",2,0.869344430842314,120.252372468955,122.293110466971,263.907503196322,359.090333384407,5.08885532155394e-41,"Normal",NA,NA,451501149.510936,"Normal"
"CL","exogenousRing",2,0.664585498184569,60.206048290668,80.7440285588978,291.144953210243,369.14272972375,1.34044796588749e-33,"Normal",NA,NA,29.5109445231416,"Normal"
"CT1","exogenousRing",2,0.873350054813233,11.0567057778709,101.671325509287,243.846746377371,353.133173640926,4.08525680429761e-47,"Normal",NA,NA,6703670788961.68,"Normal"
"CL","endogenous",6,0.787497311356507,227.608847271225,91.4556058440308,257.152104837582,352.382141811552,4.85539999127798e-41,"Normal",NA,NA,13.0856642829275,"Normal"
"CT1","endogenous",6,0.768037133560633,211.391542242776,92.8179263849474,267.431514826159,357.996715606651,5.02744036311941e-39,"Normal",NA,NA,2.1278286174402,"Neither"
"CL","exogenousRing",6,0.6216204074071,60.2178566626136,55.5447886712123,270.257192061196,353.906285179444,4.87437757489121e-36,"Normal",NA,NA,3.32500912592047,"Normal"
"CT1","exogenousRing",6,0.853638144057687,49.3095544432637,61.2914621046596,217.84926462872,363.921277812784,4.98825100333329e-63,"Normal",NA,NA,408015.196319791,"Normal"
