"ID","crowded","ring","efficacy","latency","precision","val","valGuessing","pLRtest","model"
"AC5SONA","Bouma","0",0.709300969212041,0.0932942860869614,1.25342830450509,140.719374458756,180.810295135789,2.80563358143806e-17,"Normal"
"AG12SONA","Bouma","0",0.822292553600821,-0.333016529419339,1.408954780461,126.799032908454,175.750576577596,4.38856843702736e-21,"Normal"
"CC","Bouma","0",0.939891724352129,-0.764763601601137,0.944668454841535,98.3238303579617,187.959941392369,1.26657453335431e-38,"Normal"
"CL","Bouma","0",0.645789364982317,0.147334177357226,0.916927947900138,129.401796737808,168.645932030487,6.47533458856575e-17,"Normal"
"DP6SONA","Bouma","0",0.814268866951041,0.199369452945313,0.993158068796542,116.55808954137,176.561506147146,7.69068551028575e-26,"Normal"
"KH11SONA","Bouma","0",0.769529927567567,0.438255677872589,0.683046037805343,111.994763792759,178.860858189945,8.48582448122787e-29,"Normal"
"KM4SONA","Bouma","0",0.850488462217081,1.01200233318293,0.892922639666404,110.43239938677,182.337451796557,5.69975661444111e-31,"Normal"
"LC1SONA","Bouma","0",0.854591975757136,-0.0505966230934825,1.04833106379543,114.375370332508,179.102020181307,7.0939245152319e-28,"Normal"
"LS2SONA","Bouma","0",0.584347991351328,0.686926953180907,0.731201376024874,140.892987421658,180.226949271921,5.92564078832158e-17,"Normal"
"LY8SONA","Bouma","0",0.767833345033423,-0.282390069633427,1.43656614878542,136.632524069086,178.887523742883,3.30621916596005e-18,"Normal"
"MH9SONA","Bouma","0",0.742650632071117,0.546056636387017,1.27517080751258,141.282957294313,187.016834072589,1.05992781296097e-19,"Normal"
"MN10SONA","Bouma","0",0.891706781963954,-0.120518808486263,1.29873876877592,120.007434408664,184.327108240182,1.06239276229336e-27,"Normal"
"RN","Bouma","0",0.790023494826843,0.470465414303658,1.16116731147363,127.798355531799,181.363464463789,4.54845000216729e-23,"Normal"
"TM7SONA","Bouma","0",0.721712385705976,0.212778198179051,0.729521936366963,137.367143350223,200.616695211431,3.07217393135503e-27,"Normal"
"WN","Bouma","0",0.91216346724775,0.218575391286115,0.509007296308767,74.7611098161511,181.149054649835,7.31527703466204e-46,"Normal"
"AC5SONA","Yes","0",0.6929884555571,0.420638999328254,1.55911645130291,144.329212070836,175.750059915533,1.45183153479931e-13,"Normal"
"AG12SONA","Yes","0",0.464455478084558,0.517608110311137,0.17918941924815,141.845137534943,175.72931676456,1.28237139712036e-14,"Normal"
"CC","Yes","0",0.907306396543407,-0.13747395948591,0.877125387261646,93.4586025785249,172.512835122906,4.6916096916272e-34,"Normal"
"CL","Yes","0",0.524724655865886,0.215221690812158,0.485289746989818,152.23121996146,194.723040109395,2.61618080130996e-18,"Normal"
"DP6SONA","Yes","0",0.887083991168824,0.234076397256889,1.03418029020806,108.304403874245,178.68868121261,2.58073001115791e-30,"Normal"
"KH11SONA","Yes","0",0.8958320573202,0.550983583932889,0.846974095941754,100.403151542136,184.804032165606,2.30856524011485e-36,"Normal"
"KM4SONA","Yes","0",0.75364505974909,1.03809752633405,0.586139606097415,116.309732372138,188.674594463774,3.61018010299085e-31,"Normal"
"LC1SONA","Yes","0",0.827520268623839,0.407688055726567,1.08763120362809,119.076990068548,178.771778658784,1.04447722175295e-25,"Normal"
"LS2SONA","Yes","0",0.472260250461546,0.953464196881204,0.506719946844311,151.686342808202,186.06169000239,7.90204629376249e-15,"Normal"
"LY8SONA","Yes","0",0.760664550534748,-0.157700329229162,1.18507851518354,130.216940109367,176.983384084354,3.81579149205431e-20,"Normal"
"MH9SONA","Yes","0",0.688164216987735,0.499852363492585,1.15411561396622,140.241370027824,182.014051757321,5.32554559712079e-18,"Normal"
"MN10SONA","Yes","0",0.821197114918558,0.496541514559178,0.748335184659361,106.326418169084,178.905309925954,2.91883531108355e-31,"Normal"
"RN","Yes","0",0.680262621526032,0.827011571109356,1.36513408033547,141.150155831744,176.122064910468,4.38822407544516e-15,"Normal"
"TM7SONA","Yes","0",0.867003895686675,0.372009383971306,0.561073171083989,81.1790668992287,165.258786698095,3.17689105452788e-36,"Normal"
"WN","Yes","0",0.886994510475443,0.118892074292361,0.626626717631931,87.1503273481526,177.971001059487,3.89943324794896e-39,"Normal"
"AC5SONA","Bouma","1",0.652437084398726,0.693404806115537,0.883644210453164,140.835315884069,185.400091202296,3.36905468384502e-19,"Normal"
"AG12SONA","Bouma","1",0.499095190255134,-0.14123336988276,1.28110953038824,170.807238693648,192.318520779915,2.43400332755329e-09,"Normal"
"CC","Bouma","1",0.885711272419846,-0.973265678352077,0.612543278057017,83.4022157560752,171.614893878791,5.21653659448412e-38,"Normal"
"CL","Bouma","1",0.624326596596238,0.457679724328113,1.13964809705901,149.197979977624,183.555200739865,8.04452565108909e-15,"Normal"
