"participant","condition","stream","efficacy","latency","precision","val","valGuessing","pLRtest","model","BF","favouredModel"
"AH","6",1,0.869077240625418,4.94216866216534,0.1,141.394065175573,325.168777715649,2.36282292495871e-79,"Gamma",2.45606981147422,"Neither"
"CW","6",1,0.814545285874698,0.671016910931342,0.1,103.549118621441,317.805359034797,1.47444590493893e-92,"Gamma",655418.628871691,"Normal"
"EN","6",1,0.945453300090234,3.089420530238,0.1,73.5316747067958,318.10295669292,1.07543645211146e-105,"Gamma",2.17992548982278,"Neither"
"FJ","6",1,0.9236319620526,4.01198218377396,0.1,103.916382396503,320.567329656813,1.3521451200123e-93,"Gamma",9.1168932862947,"Normal"
"PG","6",1,0.81454451663635,1.73377747359752,0.1,114.321469856659,321.084509639453,2.60130163463892e-89,"Gamma",39546.5020177356,"Normal"
"SM","6",1,0.931234831187068,1.35237023162944,0.262574880720635,97.4615169178599,317.867234423196,3.19198969207169e-95,"Gamma",1.03220625112973,"Neither"
"AH","8",1,0.828681916009557,5.30641595723163,0.131585140091757,149.732335234188,320.209851633338,1.35553943150191e-73,"Gamma",1.30433518737101,"Neither"
"CW","8",1,0.759993075026823,3.16885529527679,0.1,158.756907866298,322.377303964318,1.26258241722834e-70,"Gamma",790030.940599871,"Normal"
"EN","8",1,0.858168161836712,4.71327852933563,0.1,140.42804127832,321.148275352319,4.96998000443764e-78,"Gamma",10.4106977825025,"Normal"
"FJ","8",1,0.83996805318062,4.43262643586842,0.12484747240384,148.051314053024,318.423398568325,1.50579928223097e-73,"Gamma",1779.22125853651,"Normal"
"PG","8",1,0.738250662907705,3.49938534757662,0.1,167.920490807177,318.680584364668,4.6639596772193e-65,"Gamma",36143658077.4922,"Normal"
"SM","8",1,0.771499016484737,0.999994597453426,0.585968123811416,188.555300863226,322.127119160346,1.28063544961606e-57,"Gamma",1378.87183407985,"Normal"
"AH","12",1,0.74920525649017,2.24844146585424,0.462513288305496,208.182343425854,321.305874445061,8.95804483878098e-49,"Gamma",13.2895798043392,"Normal"
"CW","12",1,0.541767365505152,5.01645119316685,0.1,244.71982441854,324.732912815369,1.80917971650256e-34,"Gamma",3386300.78310317,"Normal"
"EN","12",1,0.832046906262426,2.53268213729716,0.287933780446429,163.508224325543,318.807207337778,5.05754271926946e-67,"Gamma",8.13486708853181,"Normal"
"FJ","12",1,0.696536878866989,1.4361858551664,0.786062107501168,231.142223328255,319.099012834912,6.72805441821971e-38,"Gamma",6264359.84316838,"Normal"
"PG","12",1,0.476880228558951,5.21471919429277,0.1,260.900721723005,325.091139213646,1.20778671131726e-27,"Gamma",293910939.515222,"Normal"
"SM","12",1,0.772443959632408,4.08818162713493,0.192908884698576,177.324888829798,322.003021196649,2.00094504929304e-62,"Gamma",2.49591875063228,"Neither"
"AH","24",1,0.379650413223303,8,0.352733198278421,301.020441502917,328.83204737927,5.05531819270596e-12,"Gamma",10.2207082088328,"Normal"
"CW","24",1,0.305746724002028,0.978934008094718,1.04383224565699,305.362424810777,326.119933889751,5.08484808858194e-09,"Gamma",6248366.50607588,"Normal"
"EN","24",1,0.620746975463558,1.19238926862142,1.48253356192494,267.943434274115,322.036928081157,2.69452224136156e-23,"Gamma",5835.13446638944,"Normal"
"FJ","24",1,0.268056685240934,7.13512006321805,0.489746706512149,319.119953237948,331.183345041677,2.35028467681761e-05,"Gamma",2.02371576851811,"Neither"
"PG","24",1,0.219032384832386,1.88744473649243,0.906945369869715,325.062073849905,333.964286056785,0.000482646839884332,"Gamma",566.292609894625,"Normal"
"SM","24",1,0.492863737976178,1.9390264281341,1.27182124159999,295.760800081874,327.505448382194,1.05548102418467e-13,"Gamma",2.96622146432365,"Neither"
