RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX
MC10	NONE	7	323	512.00	385.20	25
MC10	NONE	334	449	523.90	389.10	25
MC10	NONE	458	3797	513.80	381.20	25
MC10	NONE	7	3791	515.10	387.40	26
MC10	NONE	7	3066	510.00	376.00	27
MC10	AFTER	3122	3243	144.60	356.50	27
MC10	BEFORE	3577	3791	525.40	369.00	27
MC10	NONE	7	2092	511.60	387.90	28
MC10	NONE	2106	3802	516.50	386.40	28
MC10	NONE	7	2500	514.00	368.30	29
MC10	NONE	2508	3800	517.60	359.20	29
MC10	NONE	7	1194	509.70	390.60	30
MC10	NONE	1213	3792	512.70	391.90	30
MC10	NONE	7	3802	516.60	385.90	31
MC10	NONE	7	1868	511.10	380.60	32
MC10	NONE	1884	3805	513.10	389.10	32
MC10	NONE	7	2957	518.60	391.90	33
MC10	NONE	2968	3798	518.00	388.30	33
MC10	NONE	7	3792	516.80	383.00	34
MC10	AFTER	7	356	513.60	383.10	35
MC10	BEFORE	779	3801	513.80	379.30	35
MC10	NONE	7	3802	510.80	387.90	36
MC10	NONE	7	3792	508.40	392.20	37
MC10	AFTER	7	1502	506.40	393.20	38
MC10	BEFORE	1924	3798	507.80	393.60	38
MC10	NONE	7	3802	511.10	387.40	39
MC10	NONE	7	3800	507.00	392.50	40
MC10	NONE	7	349	515.50	385.40	41
MC10	NONE	356	1567	521.20	385.90	41
MC10	NONE	1576	3798	517.10	390.10	41
MC10	NONE	7	3802	506.60	380.30	42
MC10	NONE	7	3792	508.70	393.30	43
MC10	NONE	7	3804	519.20	371.60	44
MC10	NONE	7	3792	509.10	394.60	45
MC10	NONE	7	1184	512.50	386.10	46
MC10	NONE	1201	3802	517.90	387.10	46
MC10	NONE	7	3807	514.50	388.40	47
MC10	NONE	7	1741	501.50	384.70	48
MC10	NONE	1748	3798	500.80	386.30	48
MC10	AFTER	7	3144	512.40	381.60	49
MC10	BEFORE	3502	3775	509.00	377.20	49
MC10	NONE	7	3797	508.70	392.90	50
MC10	NONE	7	3456	511.20	388.00	51
MC10	NONE	3464	3798	510.90	388.00	51
MC10	NONE	7	3794	518.20	392.80	52
MC10	NONE	7	2186	512.10	385.60	53
MC10	NONE	2202	3804	508.30	390.10	53
MC10	NONE	7	3791	517.00	388.30	54
MC10	NONE	7	3803	511.00	396.90	55
MC10	NONE	7	3810	511.30	386.70	56
MC10	NONE	7	3804	507.80	379.30	57
MC10	NONE	7	3811	506.80	389.90	58
MC10	NONE	7	3794	512.30	391.70	59
MC10	NONE	7	3250	503.50	393.80	60
MC10	NONE	7	3804	510.70	383.20	61
MC10	NONE	7	2227	516.80	385.80	62
MC10	NONE	2245	3799	523.30	377.60	62
MC10	AFTER	7	3669	518.00	383.20	63
MC10	BEFORE	3690	3796	513.40	370.10	63
MC10	AFTER	7	2156	506.90	368.20	64
MC10	BOTH	2357	2772	506.40	362.20	64
MC10	BEFORE	2829	3580	499.60	366.80	64
MC10	NONE	7	3796	517.80	372.00	65
MC10	NONE	7	3792	514.00	382.40	66
MC10	NONE	7	3808	511.20	388.70	67
MC10	AFTER	7	1907	511.60	395.00	68
MC10	BOTH	2146	2310	508.50	383.80	68
MC10	BEFORE	2399	2420	509.20	379.50	68
MC10	NONE	7	3798	512.70	393.30	69
MC10	NONE	9	3742	507.80	372.50	70
MC10	NONE	7	1620	517.80	377.80	71
MC10	NONE	1633	2152	513.60	378.70	71
MC10	NONE	2161	3792	515.10	388.60	71
MC10	NONE	7	3193	512.90	379.70	72
MC10	AFTER	7	3460	511.50	372.80	73
MC10	BEFORE	3557	3802	505.90	361.10	73
MC10	NONE	7	3802	509.30	381.70	74
MC10	AFTER	7	1179	513.60	380.40	75
MC10	BOTH	1402	1486	508.80	362.30	75
MC10	BEFORE	1509	2548	504.80	377.00	75
MC10	NONE	2563	3398	512.30	376.70	75
MC10	NONE	3411	3499	507.80	358.30	75
MC10	AFTER	7	2219	516.00	387.50	76
MC10	BEFORE	2349	2373	523.10	375.60	76
MC10	NONE	7	3801	516.60	383.50	77
MC10	NONE	7	1106	509.10	393.60	78
MC10	NONE	1114	3801	513.80	387.60	78
MC10	NONE	7	1594	510.00	383.10	79
MC10	NONE	1604	3803	515.40	383.70	79
MC10	NONE	7	3811	511.60	374.70	80
MC10	NONE	7	1795	515.60	389.30	81
MC10	NONE	1815	2537	515.40	388.40	81
MC10	AFTER	2557	2844	516.20	378.50	81
MC10	BEFORE	2893	2921	516.40	377.20	81
MC10	NONE	7	1753	508.00	382.70	82
MC10	NONE	1762	3791	504.60	380.40	82
MC10	NONE	7	3811	504.30	391.50	83
MC10	NONE	7	573	507.80	389.30	84
MC10	NONE	7	1654	507.50	385.00	85
MC10	NONE	1663	1797	496.20	379.80	85
MC10	NONE	1815	3811	502.80	379.90	85
MC10	NONE	7	2198	508.80	387.20	86
MC10	NONE	2206	3044	512.30	380.90	86
MC10	NONE	3061	3793	509.60	371.60	86
MC10	AFTER	7	1802	512.90	398.90	87
MC10	BOTH	2010	2034	518.10	391.70	87
MC10	BOTH	2056	2154	519.00	394.90	87
MC10	BEFORE	2175	3707	518.30	406.10	87
MC10	AFTER	7	3606	514.80	392.80	88
MC10	BEFORE	3700	3792	512.40	383.30	88
MC10	NONE	7	3043	508.00	387.60	89
MC10	NONE	3051	3792	505.30	392.30	89
MC10	AFTER	7	3300	518.30	382.00	90
MC10	BEFORE	3392	3429	520.10	383.20	90
MC10	NONE	7	210	512.20	369.50	91
MC10	NONE	228	385	494.00	376.10	91
MC10	NONE	394	1292	511.40	374.90	91
MC10	NONE	1300	3763	502.10	369.30	91
MC10	NONE	3770	3806	508.60	366.30	91
MC10	NONE	131	1078	511.60	382.20	92
MC10	NONE	1085	3801	510.90	381.50	92
MC10	NONE	7	3794	510.20	382.80	93
MC10	NONE	7	3806	524.00	390.60	94
MC10	NONE	7	1234	519.00	397.60	95
MC10	NONE	1242	3793	531.40	404.80	95
MC10	NONE	7	3216	521.80	387.60	96
MC10	NONE	3224	3796	521.60	373.30	96
MC10	NONE	7	245	510.10	383.40	97
MC10	NONE	265	373	537.60	366.00	97
MC10	NONE	392	526	557.80	354.90	97
MC10	NONE	549	3803	517.20	386.10	97
MC10	NONE	7	2804	512.60	388.60	98
MC10	NONE	2815	3800	518.10	378.80	98
MC10	NONE	7	3802	513.90	390.20	99
MC10	NONE	9	3799	511.20	394.40	100
MC10	AFTER	109	737	502.50	382.20	101
MC10	BOTH	919	984	496.60	385.80	101
MC10	BEFORE	2291	3124	504.60	397.30	101
MC10	NONE	3143	3801	508.70	390.90	101
MC10	NONE	7	3804	516.70	386.20	102
MC10	NONE	7	3791	514.80	388.80	103
MC10	NONE	7	3800	518.90	378.30	104
MC10	NONE	7	3792	511.10	392.20	105
MC10	NONE	7	2883	510.40	396.20	106
MC10	AFTER	2893	3082	519.80	396.20	106
MC10	BOTH	3103	3128	519.80	389.80	106
MC10	BOTH	3164	3191	518.50	390.50	106
MC10	BEFORE	3212	3272	518.30	388.30	106
MC10	NONE	7	2521	501.30	396.90	107
MC10	NONE	2530	3797	503.00	391.20	107
MC10	NONE	7	3802	524.80	388.50	108
MC10	NONE	7	1444	512.40	379.60	109
MC10	NONE	7	1661	508.40	392.80	110
MC10	NONE	1668	3770	513.60	386.70	110
MC10	NONE	7	3483	520.60	385.30	111
MC10	NONE	3493	3792	532.30	383.30	111
MC10	NONE	7	2400	514.40	386.50	112
MC10	NONE	7	284	508.90	389.10	113
MC10	NONE	307	484	530.40	362.10	113
MC10	NONE	493	628	543.70	362.90	113
MC10	AFTER	7	585	519.90	383.60	114
MC10	BEFORE	1547	2775	520.80	377.40	114
MC10	NONE	7	2907	521.90	377.40	115
MC10	NONE	7	1083	516.90	385.30	116
MC10	NONE	1090	2865	520.40	374.50	116
MC10	NONE	2874	3642	528.20	367.50	116
MC10	NONE	3650	3799	521.00	365.70	116
MC10	NONE	7	813	509.40	378.40	117
MC10	NONE	830	984	539.30	382.10	117
MC10	NONE	1003	1369	508.20	369.60	117
MC10	NONE	1380	1454	513.40	363.20	117
MC10	NONE	7	261	503.00	346.90	118
MC10	NONE	277	2975	500.10	374.10	118
MC10	NONE	2985	3792	505.40	375.50	118
MC10	NONE	7	361	512.20	391.70	119
MC10	NONE	369	3796	514.70	396.20	119
MC10	NONE	7	3438	511.60	401.00	120
MC10	NONE	7	3801	510.90	393.60	121
MC10	NONE	7	3694	511.90	383.10	122
MC10	NONE	3704	3792	505.90	374.90	122
MC10	NONE	7	3363	512.80	386.80	123
MC10	NONE	3370	3805	521.70	376.00	123
MC10	NONE	7	3102	509.90	386.70	124
MC10	NONE	3113	3390	528.90	378.80	124
MC10	NONE	3398	3811	518.60	380.90	124
MC10	NONE	7	3768	519.60	367.40	125
MC10	NONE	7	3445	500.50	391.40	126
MC10	NONE	7	2743	505.50	398.80	127
MC10	NONE	2753	3810	498.90	395.30	127
MC10	NONE	7	3797	508.60	378.10	128
MC10	AFTER	7	2486	500.80	400.70	129
MC10	BOTH	2523	2703	500.30	385.10	129
MC10	BEFORE	2790	2834	503.10	388.40	129
MC10	NONE	7	3792	501.60	383.40	130
MC10	NONE	7	3800	511.20	386.80	131
MC10	AFTER	7	632	518.60	376.10	132
MC10	BEFORE	1879	2290	512.30	373.10	132
MC10	NONE	7	3809	506.60	390.40	133
MC10	AFTER	7	842	517.60	396.20	134
MC10	BEFORE	1169	3163	524.60	405.50	134
MC10	AFTER	7	2317	521.70	389.40	135
MC10	BOTH	2786	3018	552.70	379.00	135
MC10	BEFORE	3649	3692	550.20	377.20	135
MC10	NONE	7	1151	519.20	380.50	136
MC10	NONE	7	3792	509.30	389.80	137
MC10	NONE	7	1580	515.90	380.90	138
MC10	NONE	7	2444	502.10	387.50	139
MC10	NONE	7	1095	512.40	377.60	140
