RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX
BN12	NONE	7	589	511.20	388.00	1
BN12	NONE	615	1006	505.30	309.40	1
BN12	NONE	1034	2171	507.40	391.70	1
BN12	NONE	2196	2373	505.00	325.90	1
BN12	NONE	2397	3799	508.70	390.70	1
BN12	NONE	7	3800	513.20	378.00	2
BN12	NONE	7	3803	510.00	384.70	3
BN12	NONE	7	3803	501.80	369.90	4
BN12	NONE	7	3798	509.50	392.10	5
BN12	NONE	7	3804	510.20	387.40	6
BN12	NONE	7	3795	510.60	361.40	7
BN12	NONE	7	3802	509.40	384.70	8
BN12	NONE	7	3796	517.00	342.10	9
BN12	NONE	7	3801	509.70	389.20	10
BN12	NONE	7	3796	506.10	388.20	11
BN12	NONE	7	882	509.80	387.60	12
BN12	NONE	1029	3802	512.60	384.10	12
BN12	NONE	7	3802	513.40	381.90	13
BN12	NONE	7	642	515.70	387.40	14
BN12	NONE	660	841	510.30	351.90	14
BN12	NONE	855	3798	516.50	376.20	14
BN12	NONE	7	633	506.50	378.30	15
BN12	NONE	655	851	494.40	319.00	15
BN12	NONE	871	3804	512.60	377.10	15
BN12	NONE	7	3800	510.80	388.90	16
BN12	NONE	7	3800	516.00	389.00	17
BN12	NONE	7	3799	504.20	380.20	18
BN12	NONE	7	3802	506.80	367.40	19
BN12	NONE	7	3799	510.40	374.60	20
BN12	NONE	7	3799	509.80	387.70	21
BN12	NONE	7	630	509.50	388.50	22
BN12	NONE	653	958	497.60	328.50	22
BN12	NONE	981	3804	507.90	379.60	22
BN12	NONE	7	3804	512.60	384.60	23
BN12	AFTER	7	791	510.00	390.80	24
BN12	BEFORE	1028	3131	513.20	386.40	24
BN12	NONE	3159	3478	596.10	372.70	24
BN12	NONE	3506	3800	515.10	373.90	24
BN12	AFTER	7	733	511.20	391.60	25
BN12	BEFORE	938	3802	512.30	392.20	25
BN12	NONE	7	3803	508.10	384.90	26
BN12	NONE	7	3800	516.30	380.90	27
BN12	NONE	7	3802	511.50	386.20	28
BN12	NONE	7	3804	511.30	382.50	29
BN12	NONE	7	520	512.80	390.80	30
BN12	NONE	541	702	504.50	348.70	30
BN12	NONE	722	3799	515.10	377.60	30
BN12	NONE	7	3803	510.00	385.90	31
BN12	NONE	7	3799	512.10	367.90	32
BN12	NONE	7	3799	509.20	362.90	33
BN12	NONE	7	3799	506.00	393.60	34
BN12	NONE	7	3802	514.90	372.30	35
BN12	AFTER	7	1049	507.30	382.10	36
BN12	BEFORE	1278	3796	507.70	383.40	36
BN12	NONE	7	3800	513.10	381.70	37
BN12	AFTER	7	936	514.30	382.50	38
BN12	BEFORE	1142	3799	513.60	393.90	38
BN12	NONE	7	3800	510.10	382.90	39
BN12	NONE	7	3800	516.80	383.80	40
BN12	NONE	7	3800	517.60	384.80	41
