RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX
GR13	NONE	7	3813	510.10	394.10	1
GR13	NONE	7	3800	523.20	397.30	2
GR13	NONE	7	3799	522.20	398.00	3
GR13	NONE	7	3799	516.50	384.50	4
GR13	NONE	7	3799	510.70	396.30	5
GR13	NONE	7	3799	513.20	401.60	6
GR13	NONE	7	3799	509.60	389.50	7
GR13	NONE	7	228	514.50	383.90	8
GR13	NONE	237	3800	520.10	392.10	8
GR13	NONE	8	3802	521.00	398.70	9
GR13	NONE	7	3799	519.30	391.90	10
GR13	NONE	7	3799	510.40	394.90	11
GR13	NONE	7	3799	510.80	383.60	12
GR13	NONE	7	1301	504.80	379.20	13
GR13	NONE	1319	3799	505.40	401.00	13
GR13	NONE	7	3800	511.20	387.50	14
GR13	NONE	7	3800	519.80	387.00	15
GR13	NONE	7	3802	509.50	388.10	16
GR13	NONE	7	3802	517.50	395.50	17
GR13	NONE	7	259	510.20	384.80	18
GR13	NONE	282	449	488.00	384.40	18
GR13	NONE	464	3809	512.70	387.20	18
GR13	NONE	7	3799	516.70	392.70	19
GR13	NONE	7	3799	516.00	390.50	20
GR13	NONE	7	3798	517.30	397.60	21
GR13	NONE	7	3799	521.00	389.80	22
GR13	NONE	7	3801	518.20	393.10	23
GR13	NONE	7	3802	511.50	385.10	24
GR13	NONE	7	3799	511.10	383.20	25
GR13	NONE	7	3800	515.50	385.00	26
GR13	NONE	7	1717	509.60	392.20	27
GR13	NONE	1735	3798	503.80	405.30	27
GR13	NONE	7	3799	518.10	389.60	28
GR13	NONE	32	233	490.40	359.80	29
GR13	NONE	240	3799	510.40	380.90	29
GR13	NONE	7	3803	522.70	397.90	30
GR13	NONE	7	3799	519.20	392.60	31
GR13	NONE	7	3801	519.30	401.40	32
GR13	NONE	7	3800	516.60	396.70	33
GR13	NONE	7	3800	517.50	390.70	34
GR13	NONE	7	3799	512.20	380.50	35
GR13	NONE	7	1445	511.30	383.90	36
GR13	NONE	1463	3799	512.30	386.00	36
GR13	NONE	7	3218	519.40	401.70	37
GR13	NONE	3237	3544	495.20	387.00	37
GR13	NONE	3567	3799	520.10	397.50	37
GR13	NONE	7	3803	511.80	387.20	38
GR13	NONE	7	3798	510.20	386.30	39
GR13	NONE	7	3799	512.40	401.20	40
GR13	NONE	7	3802	519.30	400.80	41
GR13	NONE	134	313	499.00	360.00	42
GR13	NONE	326	513	510.90	364.20	42
GR13	NONE	529	3803	513.00	390.50	42
GR13	NONE	7	226	514.70	383.00	43
GR13	NONE	246	436	490.10	354.30	43
GR13	NONE	453	3800	518.50	385.00	43
GR13	NONE	7	3798	509.80	393.10	44
GR13	NONE	7	3800	514.70	398.90	45
GR13	NONE	7	3741	512.60	384.90	46
GR13	NONE	7	3800	517.60	386.60	47
GR13	NONE	7	3799	512.10	386.70	48
GR13	NONE	7	3800	519.40	384.00	49
GR13	NONE	7	3799	512.30	386.20	50
GR13	NONE	7	1753	512.80	373.60	51
GR13	NONE	1770	3801	508.70	381.40	51
GR13	NONE	7	225	506.00	379.10	52
GR13	NONE	248	421	473.10	351.20	52
GR13	NONE	445	3800	514.70	399.80	52
GR13	NONE	7	1449	517.20	371.60	53
GR13	NONE	1470	3801	515.10	373.90	53
GR13	NONE	7	3800	519.90	383.20	54
GR13	NONE	7	3799	512.00	382.90	55
GR13	NONE	7	3801	514.50	390.80	56
GR13	NONE	7	3812	518.90	382.30	57
GR13	NONE	7	3799	517.60	363.60	58
GR13	NONE	7	1372	518.10	390.10	59
GR13	NONE	1390	3798	518.10	391.60	59
GR13	NONE	7	3802	512.50	387.50	60
GR13	NONE	7	3072	513.10	385.50	61
GR13	NONE	3103	3389	472.30	420.50	61
GR13	NONE	3417	3798	508.70	391.50	61
GR13	NONE	7	3801	516.70	390.00	62
GR13	NONE	7	3799	506.10	390.60	63
GR13	NONE	7	3798	511.80	384.20	64
GR13	NONE	7	3798	519.70	389.60	65
GR13	NONE	7	3799	514.40	384.80	66
GR13	NONE	7	3799	512.10	382.20	67
GR13	NONE	7	3798	506.60	384.60	68
GR13	NONE	7	3798	515.60	382.10	69
GR13	NONE	7	3798	513.00	381.80	70
GR13	NONE	7	3801	509.00	382.90	71
GR13	NONE	7	3703	516.90	387.10	72
GR13	NONE	3727	3799	469.90	410.60	72
GR13	NONE	7	3799	513.20	384.40	73
GR13	NONE	7	3802	505.50	384.60	74
GR13	NONE	7	3798	518.10	385.60	75
GR13	NONE	7	3522	516.40	388.60	76
GR13	NONE	3542	3573	561.70	394.10	76
GR13	NONE	3591	3742	585.00	393.50	76
GR13	NONE	7	3800	512.40	385.70	77
GR13	NONE	7	3799	508.60	383.40	78
GR13	NONE	7	3799	511.60	379.20	79
GR13	NONE	7	3799	515.90	382.20	80
GR13	NONE	7	3799	511.00	387.70	81
GR13	NONE	7	3799	517.70	377.20	82
GR13	NONE	7	3798	508.60	372.80	83
GR13	NONE	7	3799	506.40	385.10	84
GR13	NONE	7	3799	508.50	383.10	85
GR13	NONE	7	3799	510.70	395.00	86
GR13	NONE	7	266	506.10	380.30	87
GR13	NONE	290	453	509.70	329.20	87
GR13	NONE	481	3800	511.00	379.70	87
GR13	NONE	7	3598	515.50	385.20	88
GR13	NONE	3620	3800	508.20	395.10	88
GR13	NONE	7	1300	514.30	372.50	89
GR13	NONE	1308	3798	512.40	382.00	89
GR13	NONE	7	3782	515.20	380.50	90
GR13	NONE	7	3800	510.80	382.50	91
GR13	NONE	7	3308	516.50	392.20	92
GR13	NONE	3318	3799	519.90	400.30	92
GR13	NONE	7	3799	506.60	399.10	93
GR13	NONE	7	3799	515.20	382.80	94
GR13	NONE	7	3800	505.20	383.90	95
GR13	NONE	7	3308	516.70	384.30	96
GR13	NONE	3327	3534	482.30	417.10	96
GR13	NONE	3551	3802	461.70	431.30	96
GR13	NONE	7	3800	511.60	404.10	97
GR13	NONE	7	3654	513.20	378.70	98
GR13	NONE	3675	3799	498.80	386.90	98
GR13	NONE	7	3290	505.30	360.50	99
GR13	NONE	3316	3809	439.10	376.90	99
GR13	NONE	7	3801	509.20	369.00	100
GR13	NONE	7	3800	507.70	372.30	101
GR13	NONE	7	3798	513.00	376.40	102
GR13	NONE	7	426	506.80	387.60	103
GR13	NONE	435	3798	507.60	392.50	103
GR13	NONE	7	2646	512.20	384.20	104
GR13	NONE	2672	3310	514.80	328.80	104
GR13	NONE	3344	3511	526.80	412.70	104
GR13	NONE	3523	3800	519.80	403.70	104
GR13	NONE	7	3799	517.50	377.70	105
GR13	NONE	7	3800	514.70	384.60	106
GR13	NONE	7	3799	508.40	392.30	107
GR13	NONE	7	3799	513.10	377.00	108
GR13	NONE	7	3800	516.50	389.40	109
GR13	NONE	7	3799	515.30	385.80	110
GR13	NONE	7	3800	515.40	392.70	111
GR13	NONE	7	3799	503.30	410.20	112
GR13	NONE	7	1480	519.50	385.00	113
GR13	NONE	1488	3801	515.60	405.90	113
GR13	NONE	7	3799	515.60	400.50	114
GR13	NONE	7	3799	511.00	375.70	115
GR13	NONE	7	3803	511.40	412.50	116
GR13	NONE	7	1585	517.70	382.70	117
GR13	NONE	1608	3803	513.40	408.90	117
GR13	NONE	7	3799	508.70	392.80	118
GR13	NONE	7	3799	518.70	382.30	119
GR13	NONE	7	3799	510.20	394.60	120
GR13	NONE	7	3799	504.10	373.70	121
GR13	NONE	7	263	507.30	378.70	122
GR13	NONE	289	459	460.10	407.70	122
GR13	NONE	482	989	496.00	376.30	122
GR13	NONE	998	3799	507.10	392.80	122
GR13	NONE	7	1469	510.00	383.90	123
GR13	NONE	1477	3799	517.60	391.70	123
GR13	NONE	7	3799	509.40	386.70	124
GR13	NONE	7	281	519.50	396.80	125
