RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX
RL11	NONE	7	1603	520.80	395.90	1
RL11	NONE	1613	3800	526.80	381.40	1
RL11	NONE	7	3802	511.00	383.20	2
RL11	NONE	7	1024	515.60	389.30	3
RL11	NONE	1032	3417	525.30	373.00	3
RL11	NONE	3440	3800	515.90	320.80	3
RL11	NONE	7	3134	524.40	381.40	4
RL11	NONE	3157	3800	574.90	411.90	4
RL11	NONE	7	2020	512.90	388.80	5
RL11	NONE	2042	2439	469.70	393.50	5
RL11	NONE	2474	3800	578.90	394.20	5
RL11	NONE	7	264	515.30	384.20	6
RL11	NONE	289	625	485.20	338.60	6
RL11	NONE	648	964	541.70	369.30	6
RL11	NONE	973	3803	534.50	375.40	6
RL11	NONE	7	3800	512.10	377.30	7
RL11	NONE	7	3799	515.20	374.70	8
RL11	NONE	7	3800	516.70	382.50	9
RL11	NONE	7	3800	516.60	382.40	10
RL11	AFTER	7	999	519.60	380.20	11
RL11	BEFORE	1175	3800	514.30	382.60	11
RL11	NONE	7	3801	503.10	379.20	12
RL11	NONE	7	3799	515.50	377.90	13
RL11	NONE	7	763	502.50	384.20	14
RL11	NONE	773	3810	502.00	378.50	14
RL11	NONE	7	3647	516.60	381.50	15
RL11	NONE	3655	3799	510.30	371.50	15
RL11	NONE	7	3800	530.90	386.40	16
RL11	NONE	7	3800	519.50	365.50	17
RL11	NONE	7	238	493.70	389.70	18
RL11	NONE	251	3803	520.50	385.10	18
RL11	NONE	7	1016	502.50	390.30	19
RL11	NONE	1025	3800	512.40	377.70	19
RL11	NONE	7	1048	515.00	396.90	20
RL11	NONE	1064	1272	521.50	384.60	20
RL11	NONE	1284	3602	519.10	392.00	20
RL11	NONE	3618	3803	522.80	374.90	20
RL11	NONE	7	3799	520.30	374.60	21
RL11	NONE	7	3799	519.70	383.80	22
RL11	NONE	7	3799	525.40	382.20	23
RL11	NONE	7	1857	528.00	391.10	24
RL11	NONE	1869	3799	540.50	371.80	24
RL11	NONE	7	3796	526.10	385.90	25
RL11	NONE	7	3800	525.00	372.00	26
RL11	NONE	8	3803	533.40	380.80	27
RL11	NONE	7	494	518.70	388.90	28
RL11	NONE	505	3278	533.20	376.00	28
RL11	NONE	3302	3800	610.30	361.90	28
RL11	NONE	7	3800	526.70	376.40	29
RL11	NONE	7	3799	526.10	379.40	30
RL11	NONE	7	3800	521.90	372.00	31
RL11	NONE	7	3801	528.40	384.70	32
RL11	NONE	7	3796	523.30	385.20	33
RL11	NONE	7	3799	524.90	377.40	34
RL11	NONE	7	3800	520.10	376.80	35
RL11	NONE	7	3800	521.90	377.50	36
RL11	NONE	7	3800	524.90	380.50	37
RL11	NONE	7	3799	527.40	369.10	38
RL11	NONE	7	3802	514.80	381.20	39
RL11	NONE	7	3798	526.40	372.80	40
RL11	NONE	7	1589	513.00	378.20	41
RL11	NONE	1601	3801	509.10	367.20	41
RL11	NONE	7	3800	518.70	377.10	42
RL11	NONE	7	3799	513.90	376.40	43
RL11	NONE	7	3800	521.80	382.10	44
RL11	NONE	7	3803	514.80	376.90	45
RL11	NONE	7	3800	522.90	384.50	46
RL11	NONE	7	3801	514.40	364.00	47
RL11	NONE	7	3804	529.00	383.70	48
RL11	NONE	9	3802	526.00	373.60	49
RL11	NONE	7	3803	523.80	379.50	50
RL11	NONE	7	1587	526.30	390.50	51
RL11	NONE	1598	3801	532.90	396.80	51
RL11	NONE	7	1740	509.30	381.60	52
RL11	NONE	1749	3800	516.00	371.30	52
RL11	NONE	7	3809	512.00	377.40	53
RL11	NONE	7	3799	515.50	380.50	54
RL11	NONE	7	3800	519.30	368.70	55
RL11	NONE	7	3800	515.70	386.20	56
RL11	NONE	7	3801	531.00	383.50	57
RL11	NONE	7	3800	519.40	378.60	58
RL11	NONE	7	3802	512.50	398.40	59
RL11	NONE	7	3800	522.30	377.90	60
RL11	NONE	7	1317	511.60	383.70	61
RL11	NONE	1325	3802	518.00	380.40	61
RL11	NONE	7	3800	526.30	374.80	62
RL11	NONE	7	3799	521.60	379.70	63
RL11	NONE	7	3799	530.10	381.20	64
RL11	NONE	7	3801	513.40	381.70	65
RL11	NONE	7	3799	533.20	392.10	66
RL11	NONE	7	1299	521.60	376.10	67
RL11	NONE	1308	2069	514.00	376.20	67
RL11	NONE	2077	3804	529.70	380.70	67
RL11	NONE	7	3803	511.90	387.80	68
RL11	NONE	7	1780	509.20	381.50	69
RL11	NONE	1792	3800	516.00	378.10	69
RL11	NONE	7	3801	505.90	377.20	70
RL11	NONE	7	3801	508.50	379.00	71
RL11	NONE	7	3800	527.90	388.50	72
RL11	NONE	7	3799	529.90	379.80	73
RL11	NONE	7	3804	512.00	380.80	74
RL11	NONE	7	1545	526.30	375.10	75
RL11	NONE	1553	3804	527.40	399.40	75
RL11	NONE	7	3803	513.30	377.90	76
RL11	NONE	7	3800	526.90	373.30	77
RL11	NONE	7	751	513.50	378.60	78
RL11	NONE	761	1734	519.10	385.30	78
RL11	NONE	1741	3802	522.20	376.80	78
RL11	NONE	7	1454	526.40	389.70	79
RL11	NONE	1462	3800	531.40	397.60	79
RL11	NONE	7	3797	524.10	379.00	80
RL11	NONE	7	1734	513.10	379.20	81
RL11	NONE	1742	3800	521.50	377.30	81
RL11	NONE	7	3803	521.70	373.50	82
RL11	NONE	7	1843	510.60	374.70	83
RL11	AFTER	1853	2946	509.70	379.90	83
RL11	BEFORE	3306	3804	524.90	377.00	83
RL11	NONE	7	3796	524.70	388.20	84
RL11	NONE	7	1845	528.00	376.90	85
RL11	NONE	1854	3797	527.50	384.00	85
RL11	NONE	7	3798	542.60	399.90	86
RL11	NONE	7	3799	524.30	393.30	87
RL11	NONE	7	3802	515.40	387.80	88
RL11	NONE	7	1712	518.70	394.00	89
RL11	NONE	1723	1785	540.90	401.20	89
RL11	NONE	1798	3799	531.80	397.30	89
RL11	NONE	7	3796	523.00	398.10	90
RL11	NONE	7	3799	534.00	427.50	91
RL11	NONE	7	3775	507.40	359.10	92
RL11	NONE	7	655	521.50	402.50	93
RL11	NONE	664	2088	530.20	409.50	93
RL11	NONE	2098	3806	541.10	446.10	93
RL11	NONE	7	3802	525.30	401.50	94
RL11	NONE	7	3799	534.10	429.00	95
RL11	NONE	7	1770	520.40	396.90	96
RL11	NONE	1778	3800	534.90	436.40	96
RL11	NONE	7	3800	517.60	411.00	97
RL11	NONE	7	3803	520.70	358.60	98
RL11	NONE	7	3800	510.70	383.00	99
RL11	NONE	7	3801	516.40	381.60	100
RL11	NONE	7	3801	518.80	389.60	101
RL11	NONE	7	3800	514.00	387.10	102
RL11	NONE	7	843	514.30	373.10	103
RL11	NONE	852	3799	520.60	376.50	103
RL11	NONE	7	3052	508.20	415.30	104
RL11	NONE	3061	3800	529.70	474.10	104
RL11	NONE	7	1611	528.00	370.90	105
RL11	NONE	1618	3799	538.40	362.30	105
RL11	NONE	7	1425	511.60	386.80	106
RL11	NONE	1432	3800	520.80	410.80	106
RL11	AFTER	7	343	511.00	382.80	107
RL11	BEFORE	706	3803	521.20	328.40	107
RL11	AFTER	7	435	516.30	403.20	108
