"participant","pool","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model"
"LS","Experienced Observers",2,0.650417669194962,0.866459643075384,0.751185216288031,241.907817845889,326.271988096765,2.39437348938982e-36,"Normal"
"PG","Experienced Observers",2,0.905591235861559,0.037446181363535,0.935707554766488,179.255877121245,318.857641000824,3.14899521009797e-60,"Normal"
"SY","Experienced Observers",2,0.651956772643591,0.290162175309155,1.0792757187669,255.771783716584,323.839325529322,2.57467864617035e-29,"Normal"
"WC","Experienced Observers",2,0.547338471516739,0.137955860072069,0.946355929828415,274.450768288833,328.046634146446,4.41192628778764e-23,"Normal"
"EL","Experienced Observers",3,0.873922060460612,0.572172881926189,0.978420617592096,196.095605788233,324.105030554513,3.26569584802135e-55,"Normal"
"FJ","Experienced Observers",3,0.814440622571622,0.716000296965252,1.67468089613424,245.308800793836,321.758075225553,6.24391190987206e-33,"Normal"
"LS","Experienced Observers",3,0.755276332027054,0.610031449976776,1.12787069001333,233.316319454541,321.267314603209,6.76693192585457e-38,"Normal"
"PG","Experienced Observers",3,0.880369247608617,0.286381378724082,0.840871540175754,178.8002546907,319.763340309697,8.11054172773038e-61,"Normal"
"SY","Experienced Observers",3,0.765746408971188,0.315548276507254,1.20160261930384,237.110838253551,323.109824741883,4.71324246807444e-37,"Normal"
"WC","Experienced Observers",3,0.679930861491465,-0.157104564012387,1.11301148435678,250.864984340928,322.582274205159,6.86816193025643e-31,"Normal"
"EL","Experienced Observers",4,0.890156718565921,0.621209590805494,0.576466894830081,149.080329494278,318.696956808716,3.19814831093312e-73,"Normal"
"FJ","Experienced Observers",4,0.601174027503724,0.736865879454158,1.24080238186682,270.810531404687,323.782886069134,8.18316126567934e-23,"Normal"
"LS","Experienced Observers",4,0.571191748181587,0.430979527638639,0.721277206876981,259.021660743577,327.080910860412,2.59595999600769e-29,"Normal"
"PG","Experienced Observers",4,0.836059762305508,0.284873460388756,0.884026794578052,195.456878456374,319.144203053949,2.41902409372835e-53,"Normal"
"SY","Experienced Observers",4,0.72467594185428,0.0366926924128383,0.98093997111257,240.455875841449,328.65099959296,5.30839571582665e-38,"Normal"
"WC","Experienced Observers",4,0.723022441616222,0.2585912660068,0.832177619619936,230.662780668741,326.617486243686,2.36121016503622e-41,"Normal"
