"participant","pool","condition","efficacy","latency","precision","val","valGuessing","pLRtest","model"
"EL","Experienced Observers",2,0.787209778672257,2.07287176312049,0.408262677393715,189.16377485033,319.507685696507,3.19165306784916e-56,"Gamma"
"FJ","Experienced Observers",2,0.624774952937698,1.83748780526878,0.68098120544495,250.556174367107,323.291441939344,2.49894955123866e-31,"Gamma"
"JA","SONA",2,0.837386828581804,2.26584836083548,0.394982114481754,171.578610458164,318.121440498808,3.12010484382341e-63,"Gamma"
"JB","SONA",2,0.554592020727207,4.76382437944942,0.116637753460087,238.721085540158,321.293713527651,1.42115914790668e-35,"Gamma"
"JC","SONA",2,0.795806867041585,3.58409178388759,0.189877965539706,171.491600784829,322.599749160931,3.29681029426809e-65,"Gamma"
"JD","SONA",2,0.588378252502799,1.18864369721065,0.554757220015198,239.270252400612,319.031914546374,2.32273531328815e-34,"Gamma"
"JE","SONA",2,0.759996174126357,8,0.0675426563800031,175.762831699325,319.026989307153,8.18839127950255e-62,"Gamma"
"JF","SONA",2,0.802804005959397,1.72168628549863,0.489834628581823,184.555322116005,318.403882470862,9.72039872807841e-58,"Gamma"
"JG","SONA",2,0.681068308581678,1.35513432197682,0.383693799303929,209.028648723994,321.547671522601,1.63528892026559e-48,"Gamma"
"JH","SONA",2,0.628688490429002,1.50013576431937,0.438464164997999,227.388373695133,318.92132059931,1.92018569284461e-39,"Gamma"
"JI","SONA",2,0.523418894216872,1.96987937309075,0.386276316044772,259.910071939907,325.480338782823,3.07098763585818e-28,"Gamma"
"JJ","SONA",2,0.69430610399982,1.42643272691447,0.436520522799382,212.15210162149,322.437206699193,1.51166884661014e-47,"Gamma"
"JK","SONA",2,0.488376609290697,1.56677575310963,0.774744068131229,275.409504263696,322.132633530049,3.98289569761404e-20,"Gamma"
"JL","SONA",2,0.771477881417878,3.53704869188933,0.117991153101545,166.055536408019,319.044670109504,5.05663102233435e-66,"Gamma"
"JM","SONA",2,0.51304725521739,1.54401140941877,0.325556708606922,253.322547803301,324.091812677717,1.76081077323512e-30,"Gamma"
"JN","SONA",2,0.439149239188008,3.75573325846378,0.208333431900569,272.915912990768,327.572015683218,1.54294493664836e-23,"Gamma"
"JO","SONA",2,0.598519390722558,1.96907045653751,0.377818622331386,236.489579240662,320.031153022071,5.42423144535791e-36,"Gamma"
"JP","SONA",2,0.581059228564045,0.983559983331901,1.1706924402128,264.253985647453,324.480215134809,6.16581413337884e-26,"Gamma"
"JQ","SONA",2,0.789917655386711,2.24853816393852,0.350382081447819,181.903738428528,318.535767683184,6.07121501516641e-59,"Gamma"
"JR","SONA",2,0.387442196016662,1.32424557314839,0.604012095877286,293.946524327966,330.3744483626,1.04368332096184e-15,"Gamma"
"JS","SONA",2,0.211395879210479,2.33675511418395,0.319456278743262,315.089948146826,329.482783096793,2.48409976884688e-06,"Gamma"
"JT","SONA",2,0.465893568415546,3.84201025246505,0.224837394320663,265.71808143546,325.921976422131,6.30392361522381e-26,"Gamma"
"LS","Experienced Observers",2,0.61546162002278,2.32956553081022,0.419518170970728,243.935769888537,326.271988096765,1.79762458399798e-35,"Gamma"
"PG","Experienced Observers",2,0.599948135093472,4.178048351081,0.134555118891473,224.884293157176,318.857641000824,1.69489797761167e-40,"Gamma"
"SY","Experienced Observers",2,0.450199684242147,2.45326021402311,0.32516667128619,272.03322850236,323.839325529322,2.59821991834262e-22,"Gamma"
"WC","Experienced Observers",2,0.380675690936255,2.57078420955083,0.239250071553417,286.341780606825,328.046634146446,5.69477805788906e-18,"Gamma"
"EL","Experienced Observers",3,0.747753321322447,2.16291992195681,0.391335846898545,204.095755241124,324.105030554513,9.42963030329795e-52,"Gamma"
"FJ","Experienced Observers",3,0.615746214274189,1.41162184398086,0.9068539825972,255.761296803015,321.758075225553,2.01109879439105e-28,"Gamma"
"LS","Experienced Observers",3,0.583951462035425,2.35598039398147,0.405866020011819,244.170709977454,321.267314603209,3.28195318879073e-33,"Gamma"
"PG","Experienced Observers",3,0.714634956262195,3.24323801784058,0.17465891940144,194.114244124566,319.763340309697,3.42802214717622e-54,"Gamma"
"SY","Experienced Observers",3,0.539520354607899,1.17929194665556,0.713581784261329,260.959509460603,323.109824741883,9.14303619946839e-27,"Gamma"
"WC","Experienced Observers",3,0.402822875208811,2.01805914983951,0.276955776977052,276.482005140457,322.582274205159,7.37649926471011e-20,"Gamma"
"EL","Experienced Observers",4,0.839568722373197,3.47008109575052,0.203218949377667,153.540919664114,318.696956808716,2.73121307281906e-71,"Gamma"
"FJ","Experienced Observers",4,0.43774361607229,2.64817322296034,0.455335559326838,279.820839809743,323.782886069134,6.11473580946477e-19,"Gamma"
"LS","Experienced Observers",4,0.495623686505443,2.01398240550935,0.318645891759344,264.14226693971,327.080910860412,4.18232652556058e-27,"Gamma"
"PG","Experienced Observers",4,0.680335031702308,2.16503589847375,0.281631266976433,208.505813649969,319.144203053949,1.06344618577707e-47,"Gamma"
"SY","Experienced Observers",4,0.443804041369742,6.57621546220032,0.0809565476899747,271.740279416975,328.65099959296,1.6512274042848e-24,"Gamma"
"WC","Experienced Observers",4,0.553729302110258,2.27944461246402,0.268875671830018,248.734596397528,326.617486243686,1.50254868638092e-33,"Gamma"
"EL","Experienced Observers",2,0.887857875925687,0.644713080910811,0.828996808395183,176.160874684638,319.507685696507,7.54096712585161e-62,"Normal"
"FJ","Experienced Observers",2,0.740274820106481,0.913582098256998,1.17224469746258,241.243115322187,323.291441939344,2.39319024372307e-35,"Normal"
"JA","SONA",2,0.849707413092113,0.832932605273096,0.641114972021182,170.176691924484,318.121440498808,7.71573483315696e-64,"Normal"
"JB","SONA",2,0.82968668274984,0.217402272575099,0.993162369969816,207.284025999532,321.293713527651,3.7071488543141e-49,"Normal"
"JC","SONA",2,0.803910751966473,0.653944507444711,0.457616903218547,171.166886813487,322.599749160931,2.38525900496439e-65,"Normal"
"JD","SONA",2,0.756167687302962,0.259094184733531,0.981290108642414,223.30948878809,319.031914546374,2.97503174006727e-41,"Normal"
"JE","SONA",2,0.873924713357478,0.347439509261667,0.62399138853677,161.836128780423,319.026989307153,7.67220617865567e-68,"Normal"
"JF","SONA",2,0.855478361082434,0.659416666949388,0.759155467854054,178.673729861939,318.403882470862,2.77084149665641e-60,"Normal"
"JG","SONA",2,0.799677193101196,0.258292695850575,0.684517774056777,193.461913327599,321.547671522601,3.02658584505861e-55,"Normal"
"JH","SONA",2,0.912551810438063,0.151283368628028,1.12130347009175,189.903409621487,318.92132059931,1.19587740318678e-55,"Normal"
"JI","SONA",2,0.655928738341595,0.421971580191371,0.969057342137349,251.504865083276,325.480338782823,7.29063089056396e-32,"Normal"
"JJ","SONA",2,0.838665704565973,0.324098975796429,0.803132732699377,192.475667486698,322.437206699193,4.67137210976045e-56,"Normal"
"JK","SONA",2,0.756860730240015,0.550964318911416,1.95570228052216,265.359179192159,322.132633530049,1.89193099983263e-24,"Normal"
"JL","SONA",2,0.860643241124773,0.191371691409234,0.527523488160553,154.395165031236,319.044670109504,4.52560515461465e-71,"Normal"
"JM","SONA",2,0.631713931845245,0.189207268226091,0.723598915074848,242.428737860107,324.091812677717,3.50978260273544e-35,"Normal"
"JN","SONA",2,0.607783774910799,0.357136510172069,0.983114149240425,264.246108922537,327.572015683218,2.84802125213501e-27,"Normal"
"JO","SONA",2,0.711065098429422,0.488167771808235,0.840588144876876,226.67306687239,320.031153022071,3.12562542315956e-40,"Normal"
"JP","SONA",2,0.588038339128279,0.908839584263316,1.02431981541503,266.102605344724,324.480215134809,3.85635908473756e-25,"Normal"
"JQ","SONA",2,0.822393184024113,0.682918385125186,0.638371048965918,178.915737851577,318.535767683184,3.09219879733232e-60,"Normal"
"JR","SONA",2,0.416741371257964,0.5964451591733,0.778187595683377,292.78420301823,330.3744483626,3.31453133421688e-16,"Normal"
"JS","SONA",2,0.2189298246169,0.675458151604559,0.59873440173233,315.000612165223,329.482783096793,2.27839995863255e-06,"Normal"
"JT","SONA",2,0.588352827466476,0.604487897442907,0.952397629856385,263.913740409367,325.921976422131,1.05270217567428e-26,"Normal"
