Participant,Group,Parameter,Model,Estimate
18AH2,2,Precision,Truncated Normal,51.3905
18GL7,2,Precision,Truncated Normal,66.6726
18HB9,2,Precision,Truncated Normal,71.5742
18JC,2,Precision,Truncated Normal,73.5823
18JG,2,Precision,Truncated Normal,63.4944
18LS4,2,Precision,Truncated Normal,77.8619
18PF6,2,Precision,Truncated Normal,41.6667
18PG8,2,Precision,Truncated Normal,64.7872
18RC3,2,Precision,Truncated Normal,42.8468
18RN,2,Precision,Truncated Normal,58.0763
18TM5,2,Precision,Truncated Normal,140.9768
18TR1,2,Precision,Truncated Normal,53.6172
18WN,2,Precision,Truncated Normal,41.6667
18AH2,6,Precision,Truncated Normal,54.0558
18GL7,6,Precision,Truncated Normal,66.0240
18HB9,6,Precision,Truncated Normal,106.9907
18JC,6,Precision,Truncated Normal,80.1908
18JG,6,Precision,Truncated Normal,70.2898
18LS4,6,Precision,Truncated Normal,81.1148
18PF6,6,Precision,Truncated Normal,43.1217
18PG8,6,Precision,Truncated Normal,64.1362
18RC3,6,Precision,Truncated Normal,62.0778
18RN,6,Precision,Truncated Normal,98.6447
18TM5,6,Precision,Truncated Normal,59.5429
18TR1,6,Precision,Truncated Normal,50.8101
18WN,6,Precision,Truncated Normal,67.1792
18AH2,18,Precision,Truncated Normal,62.3349
18GL7,18,Precision,Truncated Normal,104.8361
18HB9,18,Precision,Truncated Normal,88.1229
18JC,18,Precision,Truncated Normal,77.0433
18JG,18,Precision,Truncated Normal,77.9956
18LS4,18,Precision,Truncated Normal,79.5075
18PF6,18,Precision,Truncated Normal,53.6296
18PG8,18,Precision,Truncated Normal,84.9873
18RC3,18,Precision,Truncated Normal,74.3675
18RN,18,Precision,Truncated Normal,95.2083
18TM5,18,Precision,Truncated Normal,65.7813
18TR1,18,Precision,Truncated Normal,61.6617
18WN,18,Precision,Truncated Normal,142.4080
