Group,Estimate
2,0.2258
2,0.1375
2,0.0690
2,0.1500
2,0.1733
2,0.1094
2,0.3043
2,0.2000
2,0.2203
2,0.0610
2,0.2794
2,0.1818
2,0.3750
6,0.2319
6,0.1410
6,0.1111
6,0.1205
6,0.1125
6,0.1000
6,0.3889
6,0.2394
6,0.2241
6,0.0811
6,0.2778
6,0.2273
6,0.2857
18,0.2462
18,0.1406
18,0.0870
18,0.1111
18,0.0405
18,0.0952
18,0.2500
18,0.1034
18,0.1667
18,0.0278
18,0.2319
18,0.1241
18,0.2763
