Participant,Group,Parameter,Model,Estimate
18AH2,2,Latency,Normal,-51.1289
18GL7,2,Latency,Normal,29.5438
18HB9,2,Latency,Normal,-35.8887
18JC,2,Latency,Normal,11.2381
18JG,2,Latency,Normal,68.9995
18LS4,2,Latency,Normal,44.3605
18PF6,2,Latency,Normal,-3.8540
18PG8,2,Latency,Normal,27.3140
18RC3,2,Latency,Normal,-4.6230
18RN,2,Latency,Normal,74.4206
18TM5,2,Latency,Normal,53.3232
18TR1,2,Latency,Normal,-20.5543
18WN,2,Latency,Normal,-26.1143
18AH2,6,Latency,Normal,6.8935
18GL7,6,Latency,Normal,77.0130
18HB9,6,Latency,Normal,116.7678
18JC,6,Latency,Normal,91.4973
18JG,6,Latency,Normal,89.8242
18LS4,6,Latency,Normal,103.1463
18PF6,6,Latency,Normal,22.0302
18PG8,6,Latency,Normal,38.8450
18RC3,6,Latency,Normal,65.4636
18RN,6,Latency,Normal,104.0350
18TM5,6,Latency,Normal,62.3542
18TR1,6,Latency,Normal,51.2505
18WN,6,Latency,Normal,61.4521
18AH2,18,Latency,Normal,64.2445
18GL7,18,Latency,Normal,124.6551
18HB9,18,Latency,Normal,112.4514
18JC,18,Latency,Normal,95.3127
18JG,18,Latency,Normal,113.5745
18LS4,18,Latency,Normal,98.4543
18PF6,18,Latency,Normal,55.1350
18PG8,18,Latency,Normal,100.0159
18RC3,18,Latency,Normal,87.9394
18RN,18,Latency,Normal,154.8110
18TM5,18,Latency,Normal,71.9129
18TR1,18,Latency,Normal,78.9406
18WN,18,Latency,Normal,87.9376
