Participant,Group,Parameter,Model,Estimate
18AH2,2,Precision,Normal,121.6427
18GL7,2,Precision,Normal,257.5153
18HB9,2,Precision,Normal,282.7012
18JC,2,Precision,Normal,174.8907
18JG,2,Precision,Normal,61.5226
18LS4,2,Precision,Normal,128.3101
18PF6,2,Precision,Normal,81.1338
18PG8,2,Precision,Normal,85.5955
18RC3,2,Precision,Normal,98.6878
18RN,2,Precision,Normal,135.0058
18TM5,2,Precision,Normal,117.3084
18TR1,2,Precision,Normal,131.7206
18WN,2,Precision,Normal,95.2017
18AH2,6,Precision,Normal,103.8202
18GL7,6,Precision,Normal,54.3915
18HB9,6,Precision,Normal,97.7225
18JC,6,Precision,Normal,68.3429
18JG,6,Precision,Normal,50.1942
18LS4,6,Precision,Normal,55.7190
18PF6,6,Precision,Normal,54.9335
18PG8,6,Precision,Normal,82.5492
18RC3,6,Precision,Normal,61.6118
18RN,6,Precision,Normal,100.7370
18TM5,6,Precision,Normal,54.9084
18TR1,6,Precision,Normal,54.5143
18WN,6,Precision,Normal,64.7160
18AH2,18,Precision,Normal,60.7223
18GL7,18,Precision,Normal,82.6740
18HB9,18,Precision,Normal,65.0543
18JC,18,Precision,Normal,55.8046
18JG,18,Precision,Normal,55.7126
18LS4,18,Precision,Normal,59.6739
18PF6,18,Precision,Normal,53.6875
18PG8,18,Precision,Normal,64.8547
18RC3,18,Precision,Normal,59.6867
18RN,18,Precision,Normal,79.6954
18TM5,18,Precision,Normal,58.3557
18TR1,18,Precision,Normal,46.4653
18WN,18,Precision,Normal,86.9936
