"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"
"main"	119	"AC5SONA"	2	2	"Yes"	"D"	0	9	"S"	"False"	120	120	0	0	0	1	"JXNTBGYIFSDKOMAEQULRHZVP"	"ODBHAVIMFEJZGTULXYKNSQRP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	122	"AC5SONA"	2	2	"Yes"	"M"	0	10	"Y"	"False"	60	60	0	0	0	-6	"DGPIMQTKXUYNBLJFZOERASVH"	"NXBKIQMUALTEJZYODHVFGRPS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	4
"main"	127	"AC5SONA"	2	2	"Yes"	"D"	0	7	"J"	"False"	120	300	0	1	1	3	"LUMRZBJEQHFIODYGANTPSKXV"	"ZOEMUPRJHYDTINXQBVAGKFSL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	134	"AC5SONA"	2	2	"Yes"	"O"	0	7	"N"	"False"	0	0	0	0	0	1	"LSADGVTNOMBPHKRIEXZYQUJF"	"UZXATIYERLHDPMKSVGFBJNOQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	8
"main"	138	"AC5SONA"	2	2	"Yes"	"G"	0	6	"G"	"True"	0	0	0	0	0	0	"AXYOBEGSHKLQZIUPMRTNDVJF"	"DBORTPNVESGIAKXJFMZHYLUQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	142	"AC5SONA"	2	2	"Yes"	"K"	0	8	"N"	"False"	0	0	0	0	0	2	"JUPTBOQGNZKISXHERYFLDMAV"	"LSRJUOVZANQMKTEXIYHFGDPB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	147	"AC5SONA"	2	2	"Yes"	"G"	0	9	"R"	"False"	60	240	0	1	1	-2	"ELIMYPUXHZFGTVQSJROKBAND"	"HYAQVUPGFROMXJBEDTLNZIKS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	7
"main"	157	"AC5SONA"	2	2	"Yes"	"A"	0	9	"E"	"False"	0	0	0	0	0	1	"UJBSOGIKLEAVQHFDRMZXYTNP"	"SFJBXANZILUVQDMKEYRHGOTP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10
"main"	165	"AC5SONA"	2	2	"Yes"	"S"	0	7	"O"	"False"	60	240	0	1	1	-1	"SORBMHEJXTZUDLVFINYKQPAG"	"HYJNEVSOXGPABUDQILKMFTZR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	6
"main"	171	"AC5SONA"	2	2	"Yes"	"T"	0	10	"J"	"False"	120	300	0	1	1	1	"BLXGOUTANMPFJQYEKZIRVSDH"	"ZKSQHDRGPLJTIMEFUONVYXBA"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11
"main"	177	"AC5SONA"	2	2	"Yes"	"H"	0	7	"O"	"False"	0	180	0	1	1	8	"RJGBYVXKPEQHLTZFUOIADMSN"	"REMKQNXOLIVJTFAHYGBSDUZP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	15
