"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"correctPos"	"responsePos"
"main"	22	"AOH "	" oneCued "	0	" right "	2	225	"H "	0	"N "	0	0	0	2	"IBTFMUOELKNXHRSWGPVJYDQACZ"	"OUZSKQIRBHNDLVAPXECWYJFGTM"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	12
"main"	27	"AOH "	" oneCued "	0	" right "	2	45	"M "	0	"Z "	0	0	0	1	"BHXDQGKZMESPWCRTILYFUOVNAJ"	"LJBRCQSZENAYMTPUWIOKFVGXDH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	8
"main"	28	"AOH "	" oneCued "	0	" right "	2	180	"Z "	2	"F "	0	1	0	1	"TXALRMNIFYVPBDEUCKGZJOWQSH"	"NKTIVRFZADHOPJEGQUXWLCMSYB"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	7
"main"	29	"AOH "	" oneCued "	0	" right "	2	0	"R "	2	"G "	0	0	0	-6	"TIOMRFEYXNGPBCQKADJLVWHZSU"	"UZVNQCAITOXYMHBWLPEKJRGSFD"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	4
"main"	30	"AOH "	" oneCued "	0	" right "	2	45	"E "	2	"J "	0	1	0	2	"GTEKAMCZQRNXWSBLPOJFHIVDUY"	"UKXRCWYMNJVEITGFDOAPLHZBQS"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	11
"main"	31	"AOH "	" oneCued "	0	" right "	2	270	"H "	2	"U "	0	0	0	1	"QEOVRPYNUHTGIMFLAXSZDCWJBK"	"JSRVGOKEACPFUWXTZNMDYBIQLH"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	9
"main"	32	"AOH "	" oneCued "	0	" right "	2	315	"P "	2	"E "	0	1	0	2	"WOCATXBLHZSGVFIEJUPRYNDKQM"	"CHILVSGWEBPJOQYNTFRXDMAKZU"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	10
"main"	33	"AOH "	" oneCued "	0	" right "	2	90	"T "	2	"B "	0	1	0	1	"ONDYAHJQCVLMSEGUZRFBXTWKPI"	"SXQOZRPHBTVJUILAKFDCMYWNGE"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	9
"main"	35	"AOH "	" oneCued "	0	" right "	2	180	"E "	2	"M "	0	1	0	1	"TQGXSBZIMLUAVHOKJYWNPECDRF"	"RZPNACKVMEBGTHSIYQLDOFXJUW"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	9
"main"	36	"AOH "	" oneCued "	0	" right "	2	135	"K "	2	"F "	0	0	0	2	"IPBZUJHQFNKXMWEODSLCTGRVAY"	"MVSGBKFPLUCERQIDXZJTONYAHW"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	10
