"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"correctPos"	"responsePos"
"main"	21	"CBTest "	" oneCued "	0	" right "	2	225	"S "	0	"S "	1	1	0	0	"XVCDMWHIZFQRBPJAGNKOESYLTU"	"ABYCXRQFSEDHTKIUNLJZOWVGPM"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	8	8
"main"	22	"CBTest "	" oneCued "	0	" right "	2	90	"O "	2	"Q "	0	0	0	3	"MXVNWJLQPYOTASHZFKDIUEBGRC"	"KFIVGXZBRUPCHMJEWQSATDLONY"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	10
"main"	25	"CBTest "	" oneCued "	0	" right "	2	135	"A "	2	"A "	1	0	0	0	"UZYMNKBETSALGQDJHOIFRWXVPC"	"CAZPHGIKLQBJXMYFRDWSUOTVNE"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	10
"main"	26	"CBTest "	" oneCued "	0	" right "	2	45	"M "	0	"Z "	0	1	0	2	"JSTXPUYLKNAQWEBOGFDIZCMVHR"	"RHSEPXOZYMIVLWKFBGQATDNJUC"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	9
"main"	27	"CBTest "	" oneCued "	0	" right "	2	180	"C "	2	"J "	0	1	0	1	"HICYQLDUNZAPXWRVMKSJFBGTEO"	"VWQGIUNRYJCXOEPMSDATBZKFHL"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	10
"main"	28	"CBTest "	" oneCued "	0	" right "	2	45	"W "	2	"U "	0	0	0	1	"KFTXDGLBNMUWJSHAOEQRIZPCVY"	"BRCVNOFGUWDSZEKAPQJXLYTMHI"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	11
"main"	30	"CBTest "	" oneCued "	0	" right "	2	180	"A "	2	"A "	1	0	0	0	"NKEGTWCFOAQBIVUSJMHPXLRZYD"	"ASKIEHMFOVQRBLCPTGZJDUYNWX"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	9
"main"	34	"CBTest "	" oneCued "	0	" right "	2	315	"F "	0	"E "	0	1	0	3	"NLIYVRKTBOGJZPUHWFQDCXMASE"	"ZHTUSGWEPVFMRCANLYQIXOKBDJ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	10
"main"	38	"CBTest "	" oneCued "	0	" right "	2	180	"X "	0	"D "	0	1	0	1	"FTVLUNHRQBJZOPSCMXEKDIAGWY"	"GASCLBZRKUDXFTIYMEOWJVNHPQ"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	11
"main"	40	"CBTest "	" oneCued "	0	" right "	2	45	"U "	2	"H "	0	0	0	1	"FAGJRMPCTVHUIKNBOWXDQZLSEY"	"QXZKRPLHFNTEUBCOJWGDMSIVYA"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	10	11
"main"	43	"CBTest "	" oneCued "	0	" right "	2	315	"U "	0	"R "	0	1	0	2	"PCQASFBNZTHWDEYKIVUGOLMRJX"	"VQFMEHRAULJXIZWDBSNKOTYCGP"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	8
"main"	45	"CBTest "	" oneCued "	0	" right "	2	90	"C "	2	"S "	0	0	0	1	"BPLWDGFZVSCTAERXJNMKUOHYQI"	"HGJSIQWCRUFPEYVMOTBDZKAXNL"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	9	10
"main"	46	"CBTest "	" oneCued "	0	" right "	2	135	"L "	0	"L "	1	0	0	0	"BEVQFOLUGMAWRSKHPJXZYCDNTI"	"WECGTURNYVMBQLOAHPDXIJSKZF"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	6	6
"main"	47	"CBTest "	" oneCued "	0	" right "	2	0	"H "	2	"N "	0	1	0	1	"OBCPHSUGDMYFIKLZNJAQEXVTWR"	"IGQZARXNHUBDFPEJYTVKOLSWCM"	"-99"	"-99"	"-99"	"-99"	"-99"	"-99"	0	7	8
