"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"eccentricity"
"main"	2	"CharlieBouma"	2	0	"Bouma"	"G"	0	10	"Q"	"False"	120	120	0	0	0	12	"RSTNEYUOKBQXJZMFILPAHVGD"	"TBHVOQMKPFARXUJIYDLGEZSN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	22	3
"main"	6	"CharlieBouma"	2	0	"Bouma"	"F"	0	6	"E"	"False"	120	300	0	1	1	1	"FZKIJYDMNLBTSOHVRGEUXPQA"	"UIZAMJEFTQXSKNVDPYORGHLB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	7	3
"main"	10	"CharlieBouma"	2	0	"Bouma"	"O"	0	8	"O"	"True"	0	180	0	1	1	0	"QXMKTVZJNOYSUHGLIDFPBARE"	"MJRAPDQHOYTFGVSIBKXZNLUE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	3
"main"	11	"CharlieBouma"	2	0	"Bouma"	"T"	0	8	"T"	"True"	0	0	0	0	0	0	"QOBYFKMZTVAIHERUSNGDPLJX"	"OGDHSYUZTQVELPFRBKXANJIM"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	8	3
"main"	16	"CharlieBouma"	2	0	"Bouma"	"O"	0	7	"O"	"True"	60	240	0	1	1	0	"SOTBDRLKYVUANEJPFMHZQGIX"	"ZAQJUBVODEIGXHMNLFPTRKSY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	7	3
"main"	21	"CharlieBouma"	2	0	"Bouma"	"B"	0	9	"B"	"True"	0	180	0	1	1	0	"SZEGOIBTNVMAKXQRYPUDLJHF"	"SXGIEHMYUBNKLQDFRTPZJVAO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	9	3
"main"	22	"CharlieBouma"	2	0	"Bouma"	"J"	0	9	"U"	"False"	120	120	0	0	0	1	"BHYNKAROZUJMQPISEVXTLDGF"	"HOQIKBDRPLNSUYTAGEXMJZFV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	10	3
"main"	24	"CharlieBouma"	2	0	"Bouma"	"Z"	0	6	"N"	"False"	0	0	0	0	0	1	"HUBVTDNZFOYSQEJGXIRAPMLK"	"RBZFKQUMESPTYIDANHXJGVLO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	7	3
"main"	25	"CharlieBouma"	2	0	"Bouma"	"A"	0	9	"P"	"False"	0	0	0	0	0	-1	"MRDEXUVOAPLYINZGBFQSTJKH"	"JQUDTEOALPFXNSMVYBHIZRGK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	3
"main"	26	"CharlieBouma"	2	0	"Bouma"	"J"	0	7	"X"	"False"	0	180	0	1	1	1	"XLJVERGUHKOZMIDPFNTASQBY"	"VLORZAKXJIHYQSDFGPUBTMEN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	8	3
"main"	28	"CharlieBouma"	2	0	"Bouma"	"O"	0	6	"Q"	"False"	0	180	0	1	1	11	"OSYRXAFKTDIHNPEGJLZQMVBU"	"JMVSHRQUAKGXDNTPEOFIBZYL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	17	3
"main"	29	"CharlieBouma"	2	0	"Bouma"	"X"	0	7	"X"	"True"	120	300	0	1	1	0	"HMPVYODQKGIEUZBNFLSXTAJR"	"IZUYTMFXGPVREKJSLBAHONDQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	7	3
"main"	31	"CharlieBouma"	2	0	"Bouma"	"E"	0	10	"A"	"False"	120	300	0	1	1	-1	"LGQVPEKMXUROAISJYTHNDFZB"	"HSFUTVJYMEANKBRGDZIQPLXO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	9	3
"main"	38	"CharlieBouma"	2	0	"Bouma"	"L"	0	6	"H"	"False"	60	240	0	1	1	-2	"PYUZIEGQSLBVNRXDFAHTJMOK"	"PXYNLTHSRDAGMEZUOKBIQJFV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	4	3
"main"	41	"CharlieBouma"	2	0	"Bouma"	"J"	0	10	"T"	"False"	60	60	0	0	0	2	"IQKHUZMFERTPJGXNLVASBODY"	"RTQJKVNZSULFGHYIDOPXMAEB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	12	3
"main"	43	"CharlieBouma"	2	0	"Bouma"	"U"	0	10	"Y"	"False"	0	180	0	1	1	1	"SXPFBKLMVZYIDEGQTNAOUHJR"	"OLPITMXHEZYUVBFQASGNKDJR"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	11	3
"main"	44	"CharlieBouma"	2	0	"Bouma"	"V"	0	8	"K"	"False"	120	300	0	1	1	2	"LXTAIJSGPVHNDBKQZRYEUMFO"	"ETNLGQJFKPVYAXUODZHIMRBS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10	3
