"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"crowded"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"eccentricity"
"main"	3	"CharlieWiderBouma"	2	0	"Bouma"	"S"	0	8	"K"	"False"	60	240	0	1	1	1	"DXYEJAGHFQLUIRVPNZSOMKTB"	"YMGQPLRUKSIBEXHZOFDTVANJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	9	3
"main"	9	"CharlieWiderBouma"	2	0	"Bouma"	"U"	0	10	"U"	"True"	0	0	0	0	0	0	"PADZFENXLYUGISMVHBQRKTJO"	"PDNBLZYUIOTVQGHFRMSXKAEJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	10	3
"main"	10	"CharlieWiderBouma"	2	0	"Bouma"	"D"	0	8	"H"	"False"	0	0	0	0	0	-2	"ZAYMSXDEHNKFOVTLPQGUJIBR"	"QKLVDPAONYUZFTRSJBXMGIHE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	6	3
"main"	11	"CharlieWiderBouma"	2	0	"Bouma"	"O"	0	9	"E"	"False"	60	240	0	1	1	1	"HBNIATVQJDFEOSPZKXGMLRUY"	"FHQVZDASBEOXGUTJMYRNLPKI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	10	3
"main"	12	"CharlieWiderBouma"	2	0	"Bouma"	"H"	0	10	"F"	"False"	120	120	0	0	0	1	"EIZPJRQXBYFHKTNSDMOGLVAU"	"FKNQXUDMVEPYSLHIGBZORTAJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	11	3
"main"	15	"CharlieWiderBouma"	2	0	"Bouma"	"D"	0	7	"D"	"True"	120	300	0	1	1	0	"TRLZHGBNQASKMFUPOEJIYDXV"	"PSHVILTDGYRNQABXKMZJOUEF"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	3
"main"	17	"CharlieWiderBouma"	2	0	"Bouma"	"P"	0	8	"F"	"False"	0	180	0	1	1	-3	"QYNOFTBAJEVPSIKGLZDRMUHX"	"JVXYGPUOFDRTZSEANQLHMIKB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	5	3
"main"	20	"CharlieWiderBouma"	2	0	"Bouma"	"G"	0	9	"X"	"False"	60	60	0	0	0	-3	"ERQFHPGDBXOZYKAULMTJISNV"	"SLEUMTQPBFKRAVHZYIOGXJDN"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	3
"main"	22	"CharlieWiderBouma"	2	0	"Bouma"	"T"	0	10	"L"	"False"	0	180	0	1	1	-9	"JIBERSKAYDVFGHQUTXNZMOLP"	"DTXAGVOJIYLPEFHZNKQBRMSU"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0	1	3
"main"	24	"CharlieWiderBouma"	2	0	"Bouma"	"P"	0	6	"O"	"False"	0	180	0	1	1	8	"QDSJZIVKBOGFEYHLARXUMNTP"	"ETYFNLOJZUAHBQPSGRIMVXDK"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	14	3
"main"	27	"CharlieWiderBouma"	2	0	"Bouma"	"B"	0	10	"T"	"False"	60	60	0	0	0	-1	"GLKJYNSFMBTZHIOPARVXDUEQ"	"TNFHMRKZLPGYBAEXUIQJVODS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	9	3
"main"	32	"CharlieWiderBouma"	2	0	"Bouma"	"J"	0	9	"Z"	"False"	120	120	0	0	0	-1	"PMVSAYLIJZUFOQNHKRGETBXD"	"ZMBDJAXQFEIOGYPNSUVRHKTL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	8	3
"main"	44	"CharlieWiderBouma"	2	0	"Bouma"	"P"	0	9	"P"	"True"	120	300	0	1	1	0	"QHUZRGJDVAYNMLBSOITEKPXF"	"QLRNBMVAYPKIOTGSHUFJEZDX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	9	3
"main"	50	"CharlieWiderBouma"	2	0	"Bouma"	"O"	0	8	"Z"	"False"	60	60	0	0	0	-1	"UPQBDKAOZILFJVREXTSGHYMN"	"LXTKRFUYQDIAEBHMNVJPSGZO"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	7	3
"main"	53	"CharlieWiderBouma"	2	0	"Bouma"	"M"	0	9	"Q"	"False"	0	0	0	0	0	1	"HEAXIFGUYQMNVOPRJSZTKLDB"	"LGJMZHBPIKVYFSETDOQUNARX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	10	3
"main"	54	"CharlieWiderBouma"	2	0	"Bouma"	"E"	0	6	"E"	"True"	60	60	0	0	0	0	"RLUXFMEBTKZPJIYSAVOGNHDQ"	"OVKXYSEFHGRLAMDJIQPNZUTB"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	3
"main"	55	"CharlieWiderBouma"	2	0	"Bouma"	"F"	0	7	"S"	"False"	60	240	0	1	1	1	"IHUFEMYXLGNTJPBDSQKZVROA"	"OIRLTHVSFUBMGDZXQPEAKYNJ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	3
"main"	56	"CharlieWiderBouma"	2	0	"Bouma"	"N"	0	7	"D"	"False"	60	60	0	0	0	-1	"PEVXFONDKBSARQGYLTUHIJMZ"	"FPKTNSBEAMRYUQGHXZIJVODL"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	6	3
"main"	59	"CharlieWiderBouma"	2	0	"Bouma"	"A"	0	7	"M"	"False"	120	120	0	0	0	2	"RYZHIOEMSANFUGLQVKXTJDBP"	"GZRNSTKDOUYALBHMJPVIEFQX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	9	3
"main"	62	"CharlieWiderBouma"	2	0	"Bouma"	"D"	0	7	"H"	"False"	0	180	0	1	1	7	"QAIESXDJYZLOGUBKVPMTRHFN"	"JTSBPAOHZRNUVLDFXMYQGKEI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	14	3
"main"	67	"CharlieWiderBouma"	2	0	"Bouma"	"H"	0	6	"S"	"False"	0	0	0	0	0	1	"TFVJIUSHOZYKDQLBGEAMXNPR"	"SBUXHVAIDQEKMJLGFOYZTNRP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	7	3
"main"	69	"CharlieWiderBouma"	2	0	"Bouma"	"A"	0	6	"F"	"False"	60	240	0	1	1	-1	"MPUOHYDGNITLESKQZXRBVAJF"	"NRJSTAFBMQIEPOKGHUYZVLDX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	5	3
"main"	70	"CharlieWiderBouma"	2	0	"Bouma"	"F"	0	6	"P"	"False"	120	120	0	0	0	-2	"XEQTFYPNHGZUVKJLDRMSAIOB"	"TIHDFJYORAXPVEMBLGUSNKZQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	4	3
"main"	74	"CharlieWiderBouma"	2	0	"Bouma"	"V"	0	8	"L"	"False"	120	300	0	1	1	1	"XGKVJURTIDPAOHBFQMYLZENS"	"AMPDNIHZLVBGTRUYOFJKSEQX"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	9	3
"main"	77	"CharlieWiderBouma"	2	0	"Bouma"	"S"	0	8	"S"	"True"	120	120	0	0	0	0	"IPHGQRDTSBLVANUKMFOYJEXZ"	"JNVTQHAMGXEZUIBDOPKRFYLS"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	8	3
"main"	80	"CharlieWiderBouma"	2	0	"Bouma"	"J"	0	10	"J"	"True"	120	300	0	1	1	0	"UFJLKYDMZEVTQGRIBSOPHAXN"	"TRLKFDVHGEJBAXOMUNSPQZIY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	10	3
"main"	81	"CharlieWiderBouma"	2	0	"Bouma"	"D"	0	9	"H"	"False"	0	180	0	1	1	1	"NDIMJUZPOTLAHGYRKXFVBQSE"	"STYGJIFMAHDUKQPVLBNROXZE"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	10	3
"main"	82	"CharlieWiderBouma"	2	0	"Bouma"	"X"	0	7	"D"	"False"	0	0	0	0	0	-1	"AIQGTLXDKYMHNUEFROBSZVPJ"	"SGFRUTONJHAKPDLQBEYXZVMI"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	6	3
"main"	83	"CharlieWiderBouma"	2	0	"Bouma"	"X"	0	6	"X"	"True"	120	300	0	1	1	0	"IMQUTOZYGVXARDJHKFEPNBLS"	"TVRPGUXOEBFDISJQMLHKZANY"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	6	3
"main"	85	"CharlieWiderBouma"	2	0	"Bouma"	"M"	0	10	"S"	"False"	60	240	0	1	1	1	"RADHYLFKJPVOEGMXUTZQBSNI"	"OIXFPYDTEUSMNHBAGQRZJLKV"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	11	3
"main"	90	"CharlieWiderBouma"	2	0	"Bouma"	"R"	0	7	"R"	"True"	0	0	0	0	0	0	"GAFEOTIRDHLYQBPXKMJSVNZU"	"PDBXVFLKOSEIJGATRQUNMZYH"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	3	7	3
"main"	93	"CharlieWiderBouma"	2	0	"Bouma"	"E"	0	10	"K"	"False"	120	300	0	1	1	-1	"RDYQSKBMOXVTLZUPIJFNAHEG"	"DGZBOFRHNEKSQAVLJMIYXTUP"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	1	9	3
"main"	94	"CharlieWiderBouma"	2	0	"Bouma"	"P"	0	10	"B"	"False"	60	240	0	1	1	4	"RIYJPEMTHOKBXVGLNSQZAFDU"	"KUDRTJOVZNBYMAPXEFISHGLQ"	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	2	14	3
