experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	CL 	 oneCued 	 0.0 	 left 	B 	B 	1.0 	0 	0 	0.0 	KFQTZAPBHLMEWROCNSXJYIGDVU	BTIRCFNDAXWVMKEYZLGQHOUJSP	DCUXFIOPGTYBWMZHRNLVAQJSEK	SXAINULYMQHFBPGTEDRCVJOZKW	CMLTDVYBFZUGNSAHOQPXJIKRWE	BRCPYNDKLIQOFAEUZWSXTMJHGV	0
main	1 	CL 	 oneCued 	 0.0 	 right 	P 	R 	0.0 	5 	0 	7.0 	QLTIFKOPZUSDAWBVREXCYMHGNJ	QSZYLEUCWPJFDARIOVNMTGHBKX	VHCIWOTLEJFGXNDYUMBQRASKZP	RMYSEJPZCUIWTAKXGFQOBVNDLH	INQZKJVYEDAPGBRCTOWSFULMXH	DMBHTFJRQWLCYZPOGXVSUAKEIN	0
main	2 	CL 	 oneCued 	 0.0 	 right 	M 	D 	0.0 	2 	0 	1.0 	YXVRPAENSCHFKZTWUGMOIDJLBQ	ODUSHRMNTFXQWACPGZLVJKYEIB	TYZLEIFDMNXGCSRQOHWKUVPBAJ	GPNWROUEKVMSJBTIDAXHCYLQFZ	OWVFRTDEJBICZMNUPKYHGSQLAX	OEVXKWTIGFNZYPCHQDRUAMLSBJ	1
main	3 	CL 	 oneCued 	 0.0 	 left 	T 	I 	0.0 	2 	0 	9.0 	SGAVBFPCDRLEMTJKNIUOXWQYHZ	EZYWNBHSKRAOPIULDQCGMVXTJF	HKQBCUWZIRVMOAXDPTLJSNGYEF	TOUFHPQMAYICDXGVSKNBLRJZEW	ACZNEGSFJIHPTBVYXRKOMDUQLW	ZCHTUYWEVIARJFGDQLOBKNMXPS	0
main	4 	CL 	 oneCued 	 0.0 	 right 	M 	C 	0.0 	3 	0 	11.0 	AIUMVDYWSPRCZLQHKJEXBFOGNT	WDRKQMLBXNZPFTOCIYAJHGVUES	FTZJOLXEQCVYMRWBDGIHNAUPKS	ZVWFPAOIJLCNKQUEBHRSTMGYXD	XKIVQPWCFJLEYRHSGMBOZTDNUA	XIWLNGFJABEVDOKHSUTQCYMRZP	0
main	5 	CL 	 oneCued 	 0.0 	 right 	U 	U 	1.0 	3 	0 	0.0 	VSCLDTURJIBEXFANYPKWMQZHGO	NRQZTGMUAXYBCHSEFKODPJVILW	OZQUALJYRXMWFTVBPGSECKIDNH	BPAWFXYZUJGHRCILSTNVMKEODQ	EJOBIVTRXWMSYHPNQGKUZCAFDL	YMHUQPIXFWCRBJESVTDNGKOALZ	0
main	6 	CL 	 oneCued 	 0.0 	 left 	A 	Q 	0.0 	0 	0 	2.0 	NSKDPTQJAELIUGXZWBCVRHYMOF	HLKXWFTRCYZGNPADSQEUVBIJOM	KEHFJQAVGYWXMDOBNRCLPISZTU	MGKHYQWRIVAJZXFEODPUCLSNBT	HLMYQDJCRBSWNTEZGKVPOIXUFA	DXHUOMRLFYEGVZWBCPJAQNSIKT	0
main	7 	CL 	 oneCued 	 0.0 	 right 	X 	K 	0.0 	3 	0 	2.0 	FCYLXUSAWBMKJDQOHPNGTVIREZ	HRSUMNLDYZPOXWKACQFBIJETVG	DOGPVCERJUAINLWYBTKMHQXSFZ	CLGOAMHZPEKVXDYUSQWIFTBNRJ	OFAMXUJHWEDPBKCSLZINGRTQYV	HEXCMWYUDVARTBSPKGZQJONIFL	0
main	8 	CL 	 oneCued 	 0.0 	 left 	W 	D 	0.0 	3 	0 	1.0 	WTPYEDAOQLFHUKSIJMGCVBXRZN	RUJMOPZIQSYNLDBAWVTFGCHXEK	NVGODZAUIPBYCSWXMJKQTEFLRH	IUQRGOFDWJSCPZNVHMXETYLBKA	GBURHXTCJSVPALIFYDKQNMEOZW	SATXVCRGLWNMKYJHFOQBZDIEUP	0
main	9 	CL 	 oneCued 	 0.0 	 left 	U 	Z 	0.0 	1 	0 	1.0 	XZOEJNSHRBQUDGYVKTWFCAMIPL	TMCGVPZUXRLIFDJOHQWYESAKNB	KRGCTFYNHVESQXOPZAWLUJDBMI	BANIHKGCSYDEOZLWJXMFVQTUPR	OLHBSRVUWCGQMZJDINYEPKFXTA	LSIQFDRKJWOATVXYUCBHNGZPEM	0
