experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	0 	KR 	 oneCued 	 0.0 	 left 	L 	D 	0.0 	1 	0 	1.0 	ODLMXPANZIRCKVYWUEQGSBJHTF	WTKNHCDLIGZEOSXMAUBYPVQJFR	JYUSITBEVQRADZCHWKLPFONMGX	WJVTRYNZIMLQGCPADOESFHUBXK	JKXBPEYAMVFIWCQSORZDTUNLGH	QWTPVCYIMOKUESANDBJRXZGFHL	0
main	1 	KR 	 oneCued 	 0.0 	 right 	P 	O 	0.0 	1 	0 	-5.0 	YEVLDSXWBFAIMNKZURCPGJQOTH	QETUZPVLCKOYDSWFJANMXGBRHI	TBISPYQUVDZXOGMFHJAKWLCERN	OWQDTXPSCAHEIUGNBYJRZKMFVL	NZQYJSAOKRMEFHDCUVIXGPWBLT	KMOHXIEZJPWRBLCFSUQVDANGYT	0
main	2 	KR 	 oneCued 	 0.0 	 right 	X 	L 	0.0 	4 	0 	2.0 	XLCYUPRFMAEBVNTKWZSOGJQIDH	ASGYZOVPTWKQJMXUDCBFRHNIEL	HMJOWUQYLKARSZDNPGECXBVITF	DCERZUVKQLAOFIXNWTHMBPYSJG	DGSVQELBXJNCFAYUIWMKRZHPTO	BQZHDMOSIUNXRPTYKFWLCVJGEA	0
main	3 	KR 	 oneCued 	 0.0 	 left 	K 	Y 	0.0 	1 	0 	1.0 	ONCWMSBVZGDUXFPYEQIJHRKTLA	FMXJIZSUGYKDVREHOWCQPBNLAT	MEIRPATBKHCSOQLZUDFVGXYWNJ	RAZFYGXIVUBQWDCLMPKJONESHT	NXAHKQWBULYJMZORVPSIDTFCEG	MOAWXEYIVBHUDGFKCLSZQTRNPJ	0
main	4 	KR 	 oneCued 	 0.0 	 right 	M 	O 	0.0 	1 	0 	1.0 	HTLYVJKPXMZGORUWCNASEQFDIB	RSQVEXCOMINTKDLFYHWUZPJAGB	HBNYWDPKZIXCRSUJQOEAMGFVLT	RXWDTHIAJNGPFYCVSOEUMLBQKZ	ODVLCBGKSTMJPWZQFHEARYXNUI	QOVGUXJCBLKWTPAHFSNDZERYMI	0
main	5 	KR 	 oneCued 	 0.0 	 right 	T 	U 	0.0 	2 	0 	1.0 	GEMIZFTYOPHDBUKNSARLCVJWXQ	QVPDTHJICRXKOEMBZSLYUFNWAG	ACLGKENDHUTZRPFBJSMQYIVXWO	LEYSUAIZOKJNHGCQRFVWPXTBMD	NLXSQPEDFTCKWJRAHOZVYBMIGU	JBFVANDZTYQWPKLHOIXREMSCGU	0
main	6 	KR 	 oneCued 	 0.0 	 left 	D 	B 	0.0 	4 	0 	2.0 	OYNLXMSUDHKITPAQWJCERVFGZB	BUWFSZVDEITXJPCLKGYRMHONAQ	VHPZBATDLWXJOFEYQRGKSCMNUI	FSCGEIPQBMJULODHXVRYKAZWTN	CQOMZSAXTBNDFKHEGILWRVJYUP	KRPSJLCXZHNUYVDAIGFBOQMWET	0
main	7 	KR 	 oneCued 	 0.0 	 right 	Z 	J 	0.0 	3 	0 	2.0 	HJCXIPGVFSDMKLZEURNOBATYWQ	DTVXSJEGOLKAHCZPQBRWYNFUMI	XJFSVDCPOQHELIKTNZRYABWUMG	YFVANRJQZBODCGUTHSPIMXKWLE	HXRFPSLJBGIOUYEVCNDKQTWZMA	COQYVBGUTEMAXSWIHJFKZLDNPR	0
main	8 	KR 	 oneCued 	 0.0 	 left 	W 	F 	0.0 	4 	0 	1.0 	YWMDJNXBIKFQUSOLCAPERGHZVT	ONVISGRYDCAZFLMXWBTKPEHJQU	REFNXJCOGLHWBDTAZQKSMPIVYU	FIZCNDGLRYKVPOUMQABESWHXJT	EYCBLHTFWSUGXIZQVAORKMNJPD	SLKWQBIURHXZFTPMJAEYONDGVC	0
main	9 	KR 	 oneCued 	 0.0 	 left 	C 	D 	0.0 	1 	0 	3.0 	DAWGLIHKOPUVZREXCTFYNQJBSM	FVMAPHZUDQXCRTOWKIGLSENJYB	FBTSRAXNMKQUEHCWDJGOYPLVIZ	UJFVHCEBKWNLYGTSRXAOZDIQMP	OWUKYGTMBRAZPXSELICNHVDFJQ	JVTEHYNLQIUSCDPAFZOMXWKGBR	0
