"experimentPhase"	"trialnum"	"subject"	"nStreams"	"ring"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"pairAngle0"	"whichStreamCuedAngle0"	"whichRespCue0"	"whichInPair0"	"cuedStream0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"streamLtrSequence8"	"streamLtrSequence9"	"streamLtrSequence10"	"streamLtrSequence11"	"streamLtrSequence12"	"streamLtrSequence13"	"streamLtrSequence14"	"streamLtrSequence15"	"streamLtrSequence16"	"streamLtrSequence17"	"timingBlips"	"responsePos"	"fixationReject"
"main"	67	"18RC3"	18	0	"F"	0	8	"N"	"False"	120	300	0	1	5	1	"TQIFVUAJBRNOGLYESMPDKHXZ"	"BHODZLAQMTVIPERSJGKFYXUN"	"LMTPVSFHBZUKYDQGXAOJNERI"	"PDSYMOTBFKXQAUZRENVLHGIJ"	"BUOAIMEKHDPXTZLVQGSFRNJY"	"PTXHYMLSNFEJDBOVQURIAGKZ"	"EIJYBNDSRAKXZFMOLQHVGUTP"	"BZLQAORFPUKIHJMTNYSEDXGV"	"TMDXPYIUHFVJGZANLEKOQSBR"	"DXUSTNGMRQBJHVPAKZFIELYO"	"FHUKZOVILAQGPBMNXSJETDRY"	"ZHKQLIMVPOSRJBFTDEUANXGY"	"OGIVQAYFXZNKUTJSDMBRLEPH"	"JTGVYQAMBKSEDZNOUXRIHPFL"	"ZVYBNTGXFHAESOKRDUIJLPQM"	"RAJZQTUPKBXFYOESILGVDMHN"	"YLVKJMEGHZAQOSINPDXTBRUF"	"ZEHJOFQYDIMUBXGRLVTKSNAP"	0	9	FALSE
"main"	74	"18RC3"	18	0	"O"	0	9	"H"	"False"	60	60	0	0	1	1	"EXAHFDJNMIZYGOURPTQVLSBK"	"NGYLIMQAKHORZJUPVFDBXSET"	"NGAKVMEJBDYPSRXQZIFUHLTO"	"JBMXHFYSGPOLEKQVITNURZAD"	"FZENOHDUMYRBQLPKGAXVSJTI"	"VUPTXLBESJDRMNHKFAQYZGIO"	"VFUOQLZTXKMYRDAJBNEIHSGP"	"EPRVSXJZDMUOYKIAHLQNBGTF"	"ARJTSFEZMUVIOKDPQXGHYBLN"	"FDPYLRJHBVUZKEOTAISNGMXQ"	"KMXIUVFGPYLQTDJASRNOEBZH"	"OTSMPXIVQRUNBGLKHYJEFAZD"	"VHXKJGDOPYSBUINRTMEZAFLQ"	"GYJSUDRXBQLKOVINEMFAZTHP"	"RBXHFTGPYJMOQZNKDLVIASUE"	"ZTIDPSRQXULOBNFMGVHJEAKY"	"PXOQTDZJAHILBMNEYSVFGRKU"	"LDFZYEUTSIXRNQKPVHJOAMBG"	0	10	FALSE
"main"	81	"18RC3"	18	1	"M"	0	10	"Q"	"False"	60	90	0	0	7	2	"HQVFTBOPMDUJZIYLKENGXRSA"	"RBQGNLUMFZYKOVDEASJIPXTH"	"DKTBJGPQAZVFSNILEXHOURYM"	"BTYGHJMQKOIRFUVEASZPXDNL"	"HYGKOTUJZQMNLDABIXERSFVP"	"YMHKTOEFPDRQZJNULVXASBIG"	"DUIVRZLMHFXGPBSATQJOKEYN"	"BPHFDYTNURQKMALIVXGOJZSE"	"BOETGQZALFVSIXRDMYPJHNKU"	"VRPZDUHGTXOAFEKJIYLSBMNQ"	"UBJRZLQAGFENPDKSYXTHIMOV"	"XJAYOMEHNQSDLGFBZUITRKVP"	"KZEBPDNLUYGMASTQOFXRJVIH"	"GTUIDHEOJSNMAQLVFXKPYBRZ"	"IANDKBEHPRFOVJXLQMGUTZYS"	"BKNPJMULTXQODRHAYSZVGEFI"	"FBSNTOXQRDUPJAZVHEIMGKYL"	"RIDEVABQTKGFYMUZXHSONJLP"	0	12	FALSE
"main"	84	"18RC3"	18	0	"Y"	0	10	"G"	"False"	0	0	0	0	0	1	"JBSPNFLTRDGYEVZXAQIOKUMH"	"UJLBTDFIYEOVSNXHZAQMRPGK"	"XSLUPTGRYJEINDMFKZOAQVHB"	"ZQXOGELIAMVDFKJPTUYSBRHN"	"BLVOPUATMQYEKIFJGNXDZHSR"	"ZMYONHQTFVARKGDBLSIJEPXU"	"PUZKFAMYGLXHBTIDRSJNVOEQ"	"ZBYQFTHKURGDIENPJMSAOLVX"	"PNHQYDVOJBKZSMULTIXREAFG"	"HXJLFDRTVMSAKYENOIUBZQGP"	"LFNVMJDIHXKQRYSTABZGOUEP"	"IYQTPDSMVXFLJRNEAGKHZOUB"	"DJPISNEBMLGTQVURXAYKOZFH"	"ILNXTAMPQZGJRESKVDBYFHOU"	"UVZYMEXQKDRTBLSFNAGOIJHP"	"VAEZRQKFDHYGJNLMTBIOXPUS"	"TRLOYZNDKPABUXGVFHSMJIQE"	"ZESLPBIYGOUDKMRHAQXVJNFT"	0	11	FALSE
"main"	89	"18RC3"	18	0	"F"	0	8	"X"	"False"	120	120	0	0	2	2	"EJXGBZAPUDLYSIFOQMTNKVHR"	"KQZLOSHBXIVEJPYNGRUMAFDT"	"ZIRMQKGSXJFUPONAEDTHYVBL"	"HKGIQYPBJEDOTMSLFNAUVXRZ"	"NOEYZKJQXFGHMPLVATBDRIUS"	"VMKOFXTHIEGANBLJSRPDQZYU"	"DKZXVUBIFGOMHTRALSQPJEYN"	"QGBADFJVNOTHYRXSLZKEMIPU"	"VGBDJFSAZNQOYMIHEPTLKXUR"	"XLYOMAUETQKPFDISRVGZHNBJ"	"YFKXQRBLMANSIHDUZVPTOGJE"	"STAMHRJQYOIXEUGNLFVBPKDZ"	"RSOBZQTYFKJMLXNEGDVHUAPI"	"FHMASEKQPBUNZRIYOVJDGLXT"	"IEQTRLHUSBJXPAKDYNFVOGMZ"	"MVKNUSTRZXLABIJFHGEPOYQD"	"LGOHJFPEMKZSVNTADXQRIUBY"	"VULJPBRSZHFXDQOEMKYGANIT"	0	10	FALSE
"main"	99	"18RC3"	18	1	"T"	0	7	"F"	"False"	0	210	0	1	9	1	"DGVKUTLOAHIFZQNRYXSBJPEM"	"TSVEQPAZKIGXFYBDHULNOMJR"	"USTRZFQXJKOPDYBHLAEVMIGN"	"JVKYXSQDULPEFRIHGNBMTZAO"	"IGTKUSQVZMBYDOEXNRHFJALP"	"LFYHJGKOVEQMBZURIDSNAXPT"	"XMRKLEZVDFJPIOSGHUTYQBAN"	"IONVSRZJTHXAPUYDKELGBFQM"	"NVBEQDLRSIYPJUXFOTKHAMGZ"	"RBYKQNOFTHGZLSEUVAJXMPID"	"KSFZHVBPEJYQTNDRIAUMXOGL"	"MSUJAGIYDFNLVBKEXRPHZQOT"	"QUOTRFDXBASHPZVKYIJNMGEL"	"SNDHOPFBKLRTQUYJMEZAIXVG"	"ZDOJMXGTQNPAEHYBFUVIKLSR"	"FMEKIUPJYNQLAOBTXDGZRSVH"	"DABZOITREVSUNJXKGPLQMFHY"	"TBEQLMHRAPXOIKJFVSNYZUDG"	0	8	FALSE
"main"	102	"18RC3"	18	2	"K"	0	8	"I"	"False"	120	300	0	1	17	10	"PGZDKYHRVMJBXSELUQFNTOIA"	"HUQFLBSGMXTYNVIEZKAJDPOR"	"RTPIKVXEFJYLOQZGMHUNSDBA"	"QYDAOVENJZPRBLHUITMXKSGF"	"JIZOPRHAYNTUGKBEFMQVLSXD"	"PFXNRKDAVMTQHSIUBOYGZLJE"	"IJXFMEGTZLOHAQSBDRVUPYNK"	"UNGFMAIJSEHBTOXLDKZRQVPY"	"OKAUQSNJDZHGFVREXTPBYIML"	"LIBGDAQTVSXOMHNPERYKJUZF"	"OGEVQJBPMKRTDSXUYFAZILNH"	"NZEHYLRAOMGTQVIFBJSDPUKX"	"DKNRXEJGVQUZPOITYSFAMBLH"	"GQUZKLJNYODHAVIMPEXRFBST"	"FHMKXPDBURSVAGNOTLIZYEQJ"	"GKYDFAMLRVJZBITHNQEXOUSP"	"HRUOBENYADGTKXIFVZQSPJML"	"RYJOEBTPIQNVXGLAFMKDUZHS"	0	18	FALSE
"main"	103	"18RC3"	18	1	"S"	0	8	"B"	"False"	0	30	0	0	6	12	"NLPKOAQYFTZJVMDGHBEUXRIS"	"QENBUZYIDASFORTLVHKJGPXM"	"EZFDNXBLGQPHRMTUOAISKVJY"	"VLPEKDGAYRZBFHUMQINOTJXS"	"AERXOVJFBLSGIHMZYNTPKUQD"	"THFVAQYMIUPNESZKBXJGRLDO"	"TMQIPXLRBFODYNGAHEUKSJVZ"	"TVPHZQNXFBDKIJMARSYUGOEL"	"ZSIKEQBFYPLMRNAOUTHDVGJX"	"VDPEROLXQKNTMIHFSUABJZYG"	"AELSUIOHQZFNGVTYDMKXJBRP"	"LJEYRGOHKZQUXNDSMAFTVBIP"	"NABMHIRJSFYUKDOQLZGXEPVT"	"MZDSYABKFHIOJQTNPULVXERG"	"ZBIGMVFNSQEXATYHULOJPRKD"	"OJVXIFZUMNLGERAPSYQKBDTH"	"ARYSFLOPGIEKDTNHBQMJXUVZ"	"DTPSOXLGJBFKIMZYNVAHUERQ"	0	20	FALSE
"main"	107	"18RC3"	18	0	"D"	0	10	"J"	"False"	60	60	0	0	1	1	"NVBEZQORHLUADXSJGIPFTMYK"	"TZBSUKNQLGJDXYAVHEOFMRIP"	"RPJVALDTSZUEMHNQFBGKYOXI"	"FKXDSNTOAVUMPJLGQZBHYRIE"	"RSFTNDYJHVXAQKGLIUBOZMPE"	"RDZHTLKXIGOMNAUPVYEQJBSF"	"BEURXDINJHFOGZVYLKTPQMSA"	"NRIVLADTHKBOQFEMJPSGUXZY"	"ZLGNFOVBIDYREMHXAJQSUTPK"	"MGEONDKZFUISPHVRXAQJLBYT"	"OVBHLQDPZGUIKYMFAEJSTNXR"	"KARSXDPVEHBUGJYQFTMIZLON"	"PLHINESQDGAXFKZJOVUYRBTM"	"EVZGUKBJFTXLNSQROAPYDIHM"	"QPUDTOVBGIAYXKNZMJLHFRES"	"FSZNOQVUXMHTKLPGBAIRJDYE"	"AIQRJVXKLPFEHOZTDGUNSBYM"	"LFOIEADBRGJVXKUHNPQSMYZT"	0	11	FALSE
"main"	111	"18RC3"	18	2	"R"	0	10	"X"	"False"	60	240	0	1	16	9	"ZRAKGQPHOTLIDSEFMVJYXUNB"	"KQMRGTIVPDHOXYUJASLFBNZE"	"HGMLXRSUBIYPDAJZKTNOFVQE"	"EMAOHKQVPTRZNUIJGYDLFSBX"	"DJBMKNAHQIEROTFXLSZGPUYV"	"YHGKXETAVJZRFSDQUMNLPOIB"	"YIEQRMJTBPNAGZVKOHXLUSDF"	"PNTQZGMFVXJOKBESIUYRLHAD"	"NFVTJQHULZDBEOYXAMISGKPR"	"DBNVSYKRGEMJPZQXAIUHFTOL"	"SOPGRFUETYALJMQDKXBZHNIV"	"FVZRGUJALSNPHQYEKBMXDIOT"	"UEKOGYALBNSIRQPXTFHDMZJV"	"GYBHIUTEKZXVMNRPQFLSOAJD"	"XNUETJPHVDOIFRBZASYLMGKQ"	"XQYBZJROEGKAVTPFIMDNHLUS"	"YEGDTFSAUHXBMPIZVKNROLQJ"	"HKUZQPOYSMVGJBTXFRLADEIN"	0	19	FALSE
