1,0,0.5,0.6,0,NaN,NaN
1,0,0.5,0.84,0,NaN,NaN
1,0,1,0.6,0,NaN,NaN
1,0,1,0.84,0,NaN,NaN
1,0,1.5,0.6,0,NaN,NaN
1,0,1.5,0.84,0,NaN,NaN
1,0.5,0.5,0.6,0.53264,0.64729,0.62735
1,0.5,0.5,0.84,0.52476,0.43178,0.99074
1,0.5,1,0.6,0.56609,0.99635,0.72481
1,0.5,1,0.84,0.4355,0.77737,0.8692
1,0.5,1.5,0.6,0.50409,1.5261,0.61602
1,0.5,1.5,0.84,0.54708,1.5151,0.83973
1,1,0.5,0.6,1,0.45558,0.62686
1,1,0.5,0.84,1,0.45,0.94736
1,1,1,0.6,1,0.99497,0.66155
1,1,1,0.84,1,1.02,0.8658
1,1,1.5,0.6,1,1.4652,0.6682
1,1,1.5,0.84,1,1.565,0.83411
2,0,0.5,0.6,0,NaN,NaN
2,0,0.5,0.84,0,NaN,NaN
2,0,1,0.6,0,NaN,NaN
2,0,1,0.84,0,NaN,NaN
2,0,1.5,0.6,0,NaN,NaN
2,0,1.5,0.84,0,NaN,NaN
2,0.5,0.5,0.6,0.5362,0.38991,0.71655
2,0.5,0.5,0.84,0.4871,0.39539,0.75687
2,0.5,1,0.6,0.51819,0.8651,0.74506
2,0.5,1,0.84,0.50219,0.93625,0.88225
2,0.5,1.5,0.6,0.50995,1.4202,0.69964
2,0.5,1.5,0.84,0.54056,1.3615,0.88537
2,1,0.5,0.6,1,0.44166,0.58904
2,1,0.5,0.84,1,0.52,0.88294
2,1,1,0.6,1,0.98485,0.63944
2,1,1,0.84,1,0.975,0.92433
2,1,1.5,0.6,1,1.5,0.65333
2,1,1.5,0.84,1,1.555,0.92573
3,0,0.5,0.6,0,NaN,NaN
3,0,0.5,0.84,0,NaN,NaN
3,0,1,0.6,0,NaN,NaN
3,0,1,0.84,0,NaN,NaN
3,0,1.5,0.6,0,NaN,NaN
3,0,1.5,0.84,0,NaN,NaN
3,0.5,0.5,0.6,0.51599,0.47567,0.5979
3,0.5,0.5,0.84,0.54111,0.40253,0.86456
3,0.5,1,0.6,0.43649,1.0321,0.71704
3,0.5,1,0.84,0.59596,0.76995,0.7876
3,0.5,1.5,0.6,0.54571,1.6772,0.5553
3,0.5,1.5,0.84,0.44474,1.6729,0.65285
3,1,0.5,0.6,1,0.52401,0.57099
3,1,0.5,0.84,1,0.335,0.92346
3,1,1,0.6,1,1.0301,0.67174
3,1,1,0.84,1,0.98,0.9163
3,1,1.5,0.6,1,1.505,0.69911
3,1,1.5,0.84,1,1.475,0.89965
4,0,0.5,0.6,0,NaN,NaN
4,0,0.5,0.84,0,NaN,NaN
4,0,1,0.6,0,NaN,NaN
4,0,1,0.84,0,NaN,NaN
