experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	14 	SH 	 oneCued 	 0.0 	 right 	G 	T 	0.0 	0 	0 	13.0 	VWDERCFMZTNYPHLXUBKOAQGJIS	UOAKWRDFLMVQNZTCBYHGJPSEIX	DYGWFARKITMOPENUQZBSJLXVHC	EPUBKWQIJZOYMDTGVSLANXHRFC	XJVZSGWUFHEMTQIYPCKLBNROAD	REGLTWPHDKQBXJYZSVOCUINAFM	0
main	15 	SH 	 oneCued 	 0.0 	 right 	P 	U 	0.0 	3 	0 	3.0 	GOWKUMAZXHLBTQYSRCPDJEFVIN	AVFXBPIJZKYGLTSUDHCEMOWNQR	HLSZDATGCYNIJOUQKVEBMFXPRW	YXWZDNKHUTJPLCFIAVQMSOBREG	TKSMORHIGPYVNXDFJEWUBZQCLA	KWEJMRAVTUZFPOLHDCQNXISBGY	0
main	16 	SH 	 oneCued 	 0.0 	 right 	W 	H 	0.0 	3 	0 	1.0 	ICKABJNMZYRGULDXOQVHETPWSF	CVZRBSIKJONTLUFXPYHGDMWEAQ	PABHDCYETXKLZNGIFOWQSURVMJ	BMIVQZHWJUOENKYFCSALXDPRTG	QCYXNSFPWTZIDKELJVBRUAGHOM	UGXOZISVHNYCMEFLRKPDTWQJBA	0
main	17 	SH 	 oneCued 	 0.0 	 left 	D 	F 	0.0 	0 	0 	8.0 	KRWEXZCMFPTUQABODGSJYHVLIN	CKPQVMSDXWRBHGLOEZANFUYITJ	QLYINCVDHBAKWORSXGJUTEMPFZ	XBKUOZFJYMHVPWRIDEGLCQNTSA	HXYWEKNDMSJUZVBACLIFTGQPRO	WCOVPTBKRNDQHGXZFMLAJUIEYS	0
main	18 	SH 	 oneCued 	 0.0 	 left 	W 	F 	0.0 	3 	0 	15.0 	QACTPKFUMHIOJXEWGZDYLVBSRN	AOSTZYEBKFLPCDJURQXVWGMHIN	YSBREDKWLGMZHJFNVOQTUXACPI	JLGBTENDCFYSIXMAZKPQOUVRWH	ERAKWIYVTUOHLJMXQPGNSZCFBD	BODKSNGPJUXCYEWAQTIRFLZHMV	0
main	19 	SH 	 oneCued 	 0.0 	 right 	S 	G 	0.0 	4 	0 	5.0 	LVMNUQYPSZJIDERACOWXBTFKHG	ENJBPXVMZYGCTDRIKUSFHLOQWA	VEXNMPJIZKRDUBOSTWLGCAYFQH	MABZYRSELFDPITGJVHKUWOXQCN	IALVZXKGRHFOSJTECQYDWBUPNM	CQBMTZFILVHYDGKWRSAENOUJPX	0
main	20 	SH 	 oneCued 	 0.0 	 left 	E 	L 	0.0 	2 	0 	-1.0 	DGJTKNSMQZCWXVPERAOFILUHYB	DQWKCTGIJLVNRSEBOAZXUYFMPH	DPNVRBUYELMZJGQWHTKFIXCSOA	HWVUFKNCZTJODBLAPSYQXERIGM	YLQORNSADUCPGEIJKFWVTMBHXZ	CQYNIKJHMFDVWUTLXGZBOREPSA	0
main	21 	SH 	 oneCued 	 0.0 	 left 	C 	G 	0.0 	3 	0 	2.0 	GCEVFYBNJRADXTSOLMZUIPWQKH	FWHBPLSDQORIKXAYNJUCTMEZVG	RPLXMNJAUBYVFDTWHZKOQEISCG	SZAOETJYGQCHWRDIXLBFPVNMUK	SJXYKMVRGHZAQFDNCOBWTPULIE	VKNQRWSBJHPGZCFTOAXUDIEYML	0
main	22 	SH 	 oneCued 	 0.0 	 right 	G 	L 	0.0 	0 	0 	4.0 	EUQHNRLBFSGCPAZTDIYMOKJVWX	YGURJTOBVSWHLCKPIQXAEFDMNZ	UJRGFONEVTDYWLPCAHZBQXISMK	BKHAJDXIUQMWOZVSCYFPGNLTER	SBIAJFODEVYGMWPRKZCTQNLUHX	FEUDHCAPGNTLBWMSZIVKJROYXQ	0
main	23 	SH 	 oneCued 	 0.0 	 right 	S 	Z 	0.0 	0 	0 	5.0 	HJPXDCEZWAOKSRMBYULQFGTNVI	EQVAGIRFUZPTHJWNKBXDCLOSYM	XVDKGBUYJNHSMAPCZRLEWITQFO	YLRWEKBSFTAJVNMZGUDQCIHOPX	OITYNGBFDSCPLWZEKUHMQXJRAV	UWCDZRPOMEHNGKBLJQFSIVXTAY	0
